"incident_id2";"hack";"cleaned_names";"year";"date_of_breach";"breach_end";"discover_date";"reported_date";"total_affected";"SSN_breach";"drivers_license";"credit_debit";"city";"state";"org_type";"credit_monitoring";"breach_type";"letter_url";"California";"Connecticut";"Delaware";"Hawaii";"Indiana";"Iowa";"Maine";"Maryland";"Massachusetts";"Montana";"New_Hampshire";"New_Jersey";"North_Carolina";"N_Dakota";"Oregon";"Rhode_Island";"South_Carolina";"Vermont";"Virginia";"Washington";"Wisconsin";"State";"Clearinghouse";"HHS"
"1";"00020";"2, 3, 3, 2";"21st Century Oncology";"2016";"2015-10-03";"2015-10-03, ";"2015-11-13";"2016-03-04, 2016-04-27";"2213597, 2213671, 2213597, ";"1";"";", 0";"Fort Meyers, ";", Florida, FL";"MED";", 1";"HACKERS/ UNAUTHORIZED, HACK, Hacking/IT Incident, Electronic, unauthorized access";"https://www.oag.ca.gov/system/files/21st.Adult_.Notice_0.pdf, https://www.iowaattorneygeneral.gov/media/cms/21st_Century_Oncology_E7FC6670722FE.pdf, https://www.doj.nh.gov/consumer/security-breaches/documents/21st-century-oncology-20160304.pdf, https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/21stCenturyOncology2016-03-04.pdf, https://media.dojmt.gov/wp-content/uploads/21st-Century-Oncology.pdf, http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270383.pdf";"1";"1";"";"";"1";"1";"1";"1";"1";"1";"1";"";"1";"";"";"";"1";"";"1";"1";"1";"8";"8";"4"
"2";"00322";"3, 2";"Advantage Consolidated LLC";"2015";"2015-02-23";"";"";"2015-03-18, 2015-03-23";"151626, ";"";"";"";"";"Oregon, OR, ";"MED";"";"Hacking/IT Incident, HACK, ";"https://www.oag.ca.gov/system/files/Basic%20Letter%20to%20Patients%20Advantage_0.pdf-- https://www.oag.ca.gov/system/files/Basic%20Letter%20to%20Minors%20Family%20Secure%20Advantage_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"3";"00325";"3, 3, 2";"ADVANTAGE Health Solutions";"2016";"2016-03-12";"";"2016-08-08";"2016-12-22";"2387";"";"";"";"";"IN, , Indiana";"MED";"";"HACK, HACKERS/ UNAUTHORIZED, Hacking/IT Incident";"";"";"";"";"";"1";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"2";"2";"2"
"4";"00346";"2, 1, 1";"Aegis Sciences Corporation";"2011";"";"";"2011-11-22";"2011-12-20, 2011-12-21";", 2185";"";"";"";"";", Tennessee, TN";"MED";"";"STOLEN LAPTOPS, COMPUTERS, & EQUIP, Theft, PHYS";"https://www.doj.nh.gov/consumer/security-breaches/documents/aegis-20111220.pdf";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";"1";"1";"1"
"5";"00465";"3, 2";"Alana Healthcare";"2019";"2018-12-26";"";"";"2019-04-18, 2019-04-12";"2691, 2685";"";"";"";"";"TN, Tennessee, ";"MED";"";"HACK, Hacking/IT Incident, ";"https://ago.vermont.gov/blog/2019/04/12/alana-healthcare-notice-of-data-breach-to-consumers/";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"2";"2";"2"
"6";"00482";"1, 2";"Alere Toxicology";"2017";"";"";"2017-10-09";"2017-11-28";"2146";"";"";"";"";"Massachusetts, MA, ";"MED";"";"Unauthorized Access/Disclosure, DISC, RELEASE/ DISPLAY OF INFO";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"1";"1";"1"
"7";"00603";"2, 1";"AltaMed Health Services Corporation";"2014";"";"";"";"2014-08-29";", 3206";"";"";"";"";", California, CA";"MED";"";", Theft, PHYS";"https://www.oag.ca.gov/system/files/AltaMed%20Individual%20Notice%20Template_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"8";"00604";"3, 2";"AltaMed Health Services Corporation";"2019";"2018-05-21";"";"";"2019-02-15";"6000, ";"";"";"";"";"California, , CA";"MED";"";"Hacking/IT Incident, unauthorized access to network, HACK";"https://www.oag.ca.gov/system/files/AltaMed%20--%20CA%20AG_0.pdf, http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-309290 (1).pdf, http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-309290 (2).pdf";"1";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"9";"00799";"1, 2";"American Sleep Medicine";"2015";"";"";"";"2015-04-16";"1787, ";"";"";"";", San Diego";"CA, California, ";"MED";"";"PHYS, Theft, PORT, ";"https://www.oag.ca.gov/system/files/San%20Diego%20Patient%20Breach%20Notification%20Letter_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"1"
"10";"01148";"1, 2";"Arthritis & Osteoporosis Consultants of the Carolinas";"2018";"";"";"2018-09-10";"2018-11-09";"3930";"";"";"";"";"NC, North Carolina, ";"MED";"";"PHYS, Improper Disposal, RELEASE/ DISPLAY OF INFO";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"2";"2";"2"
