incident_id.hack.clean_name.year.date_of_breach.breach_end.discover_date.reported_date.total_affected.SSN_breach.drivers_license.credit_debit.credit_monitoring.breach_type.letter_url.California.Delaware.Hawaii.Indiana.Iowa.Maine.Maryland.Massachusetts.Montana.New_Hampshire.New_Jersey.N_Dakota.North_Carolina.Oregon.South_Carolina.Vermont.Washington.Wisconsin
000001;2;;2016;2016-03-01;;;2016-03-01;;;;;;;;;;;1;;;;;;;;;;;;;;
000002;2;;2018;;;;2018-10-05;;;;;;;https://ago.vermont.gov/blog/2018/10/05/notice-of-data-breach-to-consumers/;;;;;;;;;;;;;;;;1;;
000003;2;
000004;2, 1;1-800 Contacts Inc;2018;2018-10-10;2018-10-10;;2018-11-13, 2018-11-16, 2018-11-27;150;;;1;;programming error;;;;;1;;;2;;1;;;;;;;;;
000005;2;1-800 Flowers.com Inc;2016;2016-02-15;2016-02-17;2016-02-15;2016-03-08;;;;1;;;https://www.oag.ca.gov/system/files/CA%20Notification_1.pdf;1;;;1;;1;;;1;;;;;;;;;
000006;3, 2;1 Hotel;2017;2016-08-10;2017-03-09;2017-07-20;2017-08-17, 2017-08-28;500, 529;;;1;;HACKERS/ UNAUTHORIZED;;;;;1;;1;1;;;;;;1;;;;;
000007;2;101INK.COM;2013;2013-10-01;;;2013-11-15;;;;1;;;;;;;;;1;;;;;;;;;;;;
000008;2;1873349 Ontario Inc;2018;2016-06-01;;;2018-11-30, 2018-12-03;74,548;;;;;;https://www.doj.nh.gov/consumer/security-breaches/documents/ontario-20181205.pdf;;;;1;;;;;;1;;;;;;;;
000009;2, 3;1st Mariner Bank;2018;2017-09-21;2017-10-29;2018-11-10;2018-02-05, 2018-02-12;1500;1;1;1;1;PHISHING, phishing, Electronic, skimming device;https://ago.vermont.gov/blog/2018/02/05/1st-mariner-sbn-consumers/;;;;1;;1;3;1;;;;;1;;;1;;
000010;2;1st National Bank of Southern California;2013;2013-02-01;;;2013-05-02;;1;;;;;;;;;;;1;;;;;;;;;;;;
000011;3, 2;1st Source Bank;2008;;;2008-05-12;2008-05-29, 2008-06-02;;1;;1;1;HACKERS/ UNAUTHORIZED ACCESS, Electronic;;;;;;;;;2;;;;;1;;;;;
000012;2;20/20 Communications;2015;2015-07-27;;;2015-08-03;2;;;;;;;;;;1;;;;;;;;;;;;;;
000013;2;210 Footwear Foundation;2007;;;;2007-12-18;;;;1;;Paper;;;;;;;;;1;;;;;;;;;;
000014;2;211 LA County;2018;2018-03-14;2018-04-23;;2018-07-05;;;;;;;;;;;;;;;;1;;;;;;;;;
000015;2, 3;21c Museum Hotels LLC;2017;2016-08-10;2017-03-09;2017-06-08;2017-07-06, 2017-07-10, 2017-07-11, 2017-07-28, 2017-07-31;3746;;;1;;unauthorized access, HACKERS/ UNAUTHORIZED, Electronic;;;;;1;;1;1;1;1;;;;1;;;;;
000016;2, 3;21st Century Oncology;2016;2015-10-03;2015-10-03;2015-11-13;2016-03-04, 2016-03-14;2213671, 2213597;1;;;;HACKERS/ UNAUTHORIZED;https://www.iowaattorneygeneral.gov/media/cms/21st_Century_Oncology_E7FC6670722FE.pdf, https://www.oag.ca.gov/system/files/21st.Adult_.Notice_0.pdf;1;;;1;1;1;;;1;;;;1;;;;1;1
000017;2;21st Century Oncology;2016;2015-10-03;;2015-11-13;2016-04-27, 2016-04-28;;1;;;1;Electronic;;;;;;;;;1;;;;;;;1;;;
000018;2;24 On Physicians PC;2014;;;2014-06-10;2014-08-07;43;;;;;RELEASE/ DISPLAY OF INFO;;;;;;;;;;;;;;1;;;;;
000019;2;24X7;2017;2016-09-01;;;2017-04-17;;;;1;;;;;;;;;1;;;;;;;;;;;;
000020;2;24X7;2017;2017-04-01;;;2017-05-16;;;;1;;;;;;;;;1;;;;;;;;;;;;
000021;2;37th Parallel Properties;2016;2016-04-25;;;2016-06-07;120;;;;;;;;;;1;;;;;;;;;;;;;;
000022;2;39DollarGlasses.com;2017;2016-09-01;;;2017-04-17;;;;1;;;;;;;;;1;;;;;;;;;;;;
000023;2;39DollarGlasses.com;2017;2017-05-31;2017-06-08;;2017-07-21;;;;;;;;;;;;;;;;1;;;;;;;;;
000024;2;39DollarGlasses.com;2017;2019-10-17;;;2017-11-20;;;;1;;;;;;;;;1;;;;;;;;;;;;
000025;2;3balls.com;2013;2012-09-19;2013-05-11;;2013-05-31;;;;1;;;;;;;;;1;;;;;;;;;;;;
000026;2;3C Packaging Inc;2016;2016-03-30;;;2016-04-07;232;;;;;;;;;;1;;;;;;;;;;;;;;
000027;2;3M;2008;;;;2008-03-14;;1;;;1;Electronic;;;;;;;;;1;;;;;;;;;;
000028;2;3M;2016;;;;2016-03-23;;1;;;;;;;;;;;;1;;;;;;;;;;;
000029;3;4 Ever Life Insurance;2018;;;2018-02-01;2018-03-22;3;;;;;PHISHING;;;;;;;;;;;;;;1;;;;;
000030;2;4 Ever Life Insurance;2019;2018-10-29;2018-11-13;;2019-01-16;;;;;;;;;;;;;;;;1;;;;;;;;;
000031;2;44North;2018;2018-05-09;;;2018-09-25;242;;;;;;;;;;1;;;;;;;;;;;;;;
000032;3;44North;2018;;;2018-05-09;2018-11-01;242;;;;;PHISHING;;;;;;;;;;;;;;1;;;;;
000033;2;4As Benefits;2018, 2019;2017-12-06;2017-12-12;;2018-12-26, 2019-01-16, 2019-01-23;4711, 5370;1;0;;;;https://ago.vermont.gov/blog/2018/12/26/4as-benefits-notice-of-data-breach-to-consumers/;;;;1;;2;;;1;;;;;;;1;;
000034;2;50CAN;2012;;;;2012-09-17;;1;;;1;Electronic;;;;;;;;;1;;;;;;;;;;
000035;3, 2;626498 Alberta Ltd;2017;;;2017-07-20;2017-09-21;262;;;1;;malware, Electronic, PHISHING;;;;;;;;1;1;;;;;1;;;;;
000036;2;700 Credit;2015;;;;2015-07-30;;1;;;1;Electronic;;;;;;;;;1;;;;;;;;;;
000037;2;700 Credit;2016;2016-06-13;;;2016-08-09;7832;;;;;;;;;;1;;;;;;;;;;;;;;
000038;3, 2;80sTees.com;2013;;;2013-03-12;2013-04-04;73432;;;1;;HACKERS/ UNAUTHORIZED, Electronic;;;;;;;;;1;;;;;1;;;;;
000039;2;80sTees.com;2013;;;;2013-08-23;;;;1;;;;;;;;;1;;;;;;;;;;;;
000040;2;80sTees.com;2014;2012-06-03;;;2014-02-28, 2014-03-03;;;;1;;Electronic;https://www.oag.ca.gov/system/files/Resident%20Notice%20Letter_1.pdf;1;;;;;;;1;;;;;;;;;;
000041;2;9W Halo OpCo LP;2018;2018-04-10, 2018-04-03;2018-04-10;;2018-06-07;201;1;;;1;Electronic;https://www.oag.ca.gov/system/files/Angelica%20-%20Sample%20Notification%20Letter%20for%20California%201_0.pdf,  https://www.oag.ca.gov/system/files/Angelica%20-%20Sample%20Notification%20Letter%20for%20California%202_0.pdf;1;;;1;;;;1;;;;;;;;;;
000042;2;A Richard Nernberg;2013;;;2013-01-18;2013-02-22;147;;;;;RELEASE/ DISPLAY OF INFO;;;;;;;;;;;;;;1;;;;;
000043;2;A&A Global Imports;2017;2017-06-22;;;2017-07-14;303;;;;;;;;;;1;;;;;;;;;;;;;;
000044;2;A&A Global Imports;2019;2017-08-15;;;2019-01-09;52,441;;;;;;https://ago.vermont.gov/blog/2019/01/09/aa-global-imports-notice-of-data-breach-to-consumers/, https://www.doj.nh.gov/consumer/security-breaches/documents/ez-up-20190111.pdf;;;;1;;;;;;1;;;;;;1;;
000045;2;A&M LLC;2017;2017-04-01;;;2017-05-16;;;;1;;;;;;;;;1;;;;;;;;;;;;
000046;2;A.D. Makepeace Companies;2016;;;;2016-03-08;;1;;;1;Electronic;;;;;;;;;1;;;;;;;;;;
000047;2;A.O.S. 
000048;2;A.S.K. Services Inc;2018;2018-01-24;;;2018-01-25;229;;;;;;;;;;1;;;;;;;;;;;;;;
000049;2;A1 J. Schneider Co;2017;2016-12-21;2017-04-11;;2017-07-26;;;;1;;;;;;;;;1;;;;;;;;;;;;
000050;2;AAA Business Supplies;2018;2018-04-08;;;2018-06-13;;;;;;;https://www.oag.ca.gov/system/files/Confidential%20Security%20Alert_0.pdf;1;;;;;;;;;;;;;;;;;
000051;1;AAA Life Insurance Co;2016;;;2016-07-25;2016-07-29, 2016-08-04;9;;;1;;DATA THEFT BY EMPLOYEE OR CONTRACTOR, improper access by employee;;;;;;;;1;;;;;;1;;;;;
000052;2;AAC Orthodontics PC;2016;2016-09-07;;;2016-09-13;9;;;;;;;;;;1;;;;;;;;;;;;;;
000053;2;AAIM Employers Association;2018;;;;2018-09-18;;1;1;;1;Electronic;;;;;;;;;1;;;;;;;;;;
