Year,State,Bill,Status,Description,URL
2019,Arkansas,HB 1943,"Status: Enacted, Act 1030","Amends the Personal Information Protection Act; relates to biometric data generated by automatic measurements of an individual's biological characteristics including fingerprints, faceprint, retina or iris scan, hand geometry, voiceprint analysis, deoxyribonucleic acid, or any other unique biological characteristics of an individual if the characteristics are used by the owner or licensee to uniquely authenticate the individual's identity when the individual accesses a system or account.",
2019,California,AB 1035,Status: Pending,"Requires a person or business, as defined, that owns or licenses computerized data that includes personal information to disclose any breach of the security of the system within 72 hours following discovery or notification of the breach, subject to legitimate needs of law enforcement",
2019,California,AB 1130,Status: Pending,Revises the definition of personal information to add specified unique biometric data and government-issued identification numbers in addition to those for driver's licenses and California identification.,
2019,Connecticut,HB 5989,Status: Failed,Offers protection to certain business data holders in the event of a data breach.,
2019,Florida,SB 7008,"Status: Enacted, Chap. 32","Relates to a review under the Open Government Sunset Review Act, which provides a public records exemption for information received by the Department of Legal Affairs pursuant to a notification of a security breach or during the course of an investigation of such breach, removes the scheduled repeal of the exemption.",
2019,Iowa,HSB 14,Status: Pending-Carryover,Modifies certain provisions relating to personal information security breach protection.,
2019,Iowa,SB 204,Status: Pending-Carryover,Provides for an affirmative defense to certain claims relating to personal information security breach protection.,
2019,Iowa,SB 575,Status: Pending-Carryover,"Relates to the conduct of state and local elections, provides penalties, includes effective date provisions.",
2019,Iowa,SSB 1071,Status: Pending-Carryover,Modifies certain provisions relating to personal information security breach protection.,
2019,Iowa,SSB 1078,Status: Pending-Carryover,Relates to the administration of elections.,
2019,Iowa,SSB 1241,Status: Pending-Carryover,"Relates to the conduct of state and local elections, provides penalties.",
2019,Illinois,HB 2237,Status: To Governor,"Amends the State Treasurer Act, provides that the state treasurer shall establish the Higher Education Savings Program for the purpose of expanding access to higher education through savings, provides for enrollment in the program, provides further duties and requirements of the treasurer regarding the program, creates the Higher Education Savings Program Fund as a fund held outside of the state treasury to be the official repository of all contributions, appropriations, interest and dividend payments.",
2019,Illinois,HB 2871,Status: Pending,"Creates the Data Broker Registration Act, requires a data broker to annually register with the secretary of state, defines data broker as a business or unit of a business, separately or together, that knowingly collects and sells or licenses to third parties the brokered personal information of a consumer with whom the business does not have a direct relationship.",
2019,Illinois,HB 3200,Status: Pending,"Amends the Personal Information Protection Act, provides that if there is a breach of the security of system data, a data collector must notify the attorney general in addition to the resident to whom the breach relates, requires the notice to be provided no later than a certain number of days after the breach.",
2019,Illinois,SB 1393,Status: Pending,"Amends the State Treasurer Act, provides that the state treasurer shall establish the Higher Education Savings Program for the purpose of expanding access to higher education through savings, provides for enrollment in the program, provides further duties and requirements of the treasurer regarding the program, creates the Higher Education Savings Program Fund as a fund held outside of the state treasury to be the official repository of all contributions, appropriations, interest and dividend payments.",
2019,Illinois,SB 1624,Status: To Governor,"Amends the Personal Information Protection Act, provides that a data collector required to report breaches to more than 100 residents as a result of a single breach must also report to the attorney general, provides that the attorney general shall report to the General Assembly specified information concerning breaches of data security by Feb. 1 of each year.",
2019,Massachusetts,SB 98,Status: Pending,Protects biometric information under the security breach law.,
2019,Massachusetts,SB 100,Status: Pending,Relates to data breach notification.,
2019,Massachusetts,SB 170,Status: Pending,Protects personal identifying information.,
