Company Name,Company Type,D-U-N-S@ Number,Import/Export,Fax No,Global Duns No,Global Name,Immediate Parent Duns No,Immediate Parent Name,Latitude,Line of Business,Longtitude,Manufacturing Indicator,Marketing Prescreen Score,Marketing Prescreen Ranking,Minority Owned Indicator,Owns/Rents,Phone No,Subsidiary Status,Web Address (URL),Year of Founding,Auditors,Trade Style,Employer ID Number (EIN),Domestic Parent Duns No,Domestic Parent Name,Former Name,Location Type,Mailing Address,Mailing City,Mailing Country/Region,Mailing County,Mailing State,Mailing Zipcode,Physical Address,Physical City,Physical Country/Region,Physical County,Physical State,Physical Zipcode,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1),Employees Total (Year 1),Facility Size
BANK OF AMERICA CORPORATION,Public,05-516-9452,,,05-516-9452,BANK OF AMERICA CORPORATION,05-516-9452,BANK OF AMERICA CORPORATION,35.227256,"NATIONAL COMMERCIAL BANKS, NSK",-80.842912,Manufacturer,Low,2 - Likely to pay,No,Owns,(704) 386-5681,Non-Subsidiary,WWW.BANKOFAMERICA.COM,1968,PricewaterhouseCoopers LLP,BANK OF AMERICA,560906609,05-516-9452,BANK OF AMERICA CORPORATION,,Headquarters,,,,,,,100 N TRYON ST STE 170,CHARLOTTE,USA,MECKLENBURG,NORTH CAROLINA,282024024,522110,Commercial Banking,"522110, 522220, 522292, 523120, 523991","""Commercial Banking "", ""Sales Financing "", ""Real Estate Credit "", ""Securities Brokerage "", ""Trust, Fiduciary, and Custody Activities ""","6021, 6022, 6091, 6159, 6162, 6211","""National commercial banks"", ""State commercial banks"", ""Nondeposit trust facilities"", ""Misc. business credit institutions"", ""Mortgage bankers and correspondents"", ""Security brokers and dealers""",60210000,National commercial banks,"$113,589,000,000","208,000",121,"$113,589,000,000","208,000","1,212,177"
HUMANA INC.,Public,04-994-4143,,,04-994-4143,HUMANA INC.,04-994-4143,HUMANA INC.,38.256781,ACCIDENT AND HEALTH INSURANCE,-85.758431,Manufacturer,Low,5 - Least Likely to pay,No,,(502) 580-1000,Non-Subsidiary,WWW.HUMANA.COM,1961,PricewaterhouseCoopers LLP,HUMANA,611316926,04-994-4143,HUMANA INC.,,Headquarters,P.O. BOX 14601,LOUISVILLE,USA,JEFFERSON,KENTUCKY,402140601,500 W MAIN ST STE 300,LOUISVILLE,USA,JEFFERSON,KENTUCKY,402024268,524114,Direct Health and Medical Insurance Carriers,"524114, 524292","""Direct Health and Medical Insurance Carriers "", ""Third Party Administration of Insurance and Pension Funds ""","6321, 6324, 6411","""Accident and health insurance"", ""Hospital and medical service plans"", ""Insurance agents, brokers, & service""",63210102,Health insurance carriers,"$64,888,000,000","46,000",57,"$64,888,000,000","43,600",0
"BEST BUY CO., INC.",Public,02-305-8159,Importer,,02-305-8159,"BEST BUY CO., INC.",02-305-8159,"BEST BUY CO., INC.",44.864421,"COMPUTER AND SOFTWARE STORES, NSK",-93.308471,Manufacturer,Low,1 - Most likely to pay,No,Owns,(612) 291-1000,Non-Subsidiary,WWW.BESTBUY.COM,1966,Deloitte & Touche LLP,BEST BUY,411953804,02-305-8159,"BEST BUY CO., INC.",,Headquarters,,,,,,,7601 PENN AVE S,RICHFIELD,USA,HENNEPIN,MINNESOTA,554233683,443142,Electronics Stores,"337110, 443141, 443142","""Wood Kitchen Cabinet and Countertop Manufacturing"", ""Household Appliance Stores "", ""Electronics Stores ""","5712, 5722, 5731, 5734, 5735","""Furniture stores"", ""Household appliance stores"", ""Radio, TV, & electronic stores"", ""Computer and software stores"", ""Record & prerecorded tape stores""",57340000,Computer and software stores,"$43,638,000,000","125,000",120,"$43,638,000,000","125,000","1,452,000"
CIGNA HOLDING COMPANY,Public,02-905-3964,,,08-116-1936,CIGNA CORPORATION,08-116-1936,CIGNA CORPORATION,41.81687,"HOSPITAL AND MEDICAL SERVICE PLANS, NSK",-72.740913,Manufacturer,High,5 - Least Likely to pay,No,Owns,(860) 226-6000,Subsidiary,WWW.CIGNA.COM,1792,,CIGNA,061059331,08-116-1936,CIGNA CORPORATION,,Headquarters,,,,,,,900 COTTAGE GROVE RD,BLOOMFIELD,USA,HARTFORD,CONNECTICUT,060022920,524114,Direct Health and Medical Insurance Carriers,,,,,63249902,Group hospitalization plans,"$41,616,000,000","74,000",329,"$41,616,000,000","74,000","893,000"
WALGREEN CO.,Public,00-896-5063,Both,,07-960-8595,"WALGREENS BOOTS ALLIANCE, INC.",07-960-8595,"WALGREENS BOOTS ALLIANCE, INC.",42.156719,DRUG STORES AND PROPRIETARY STORES,-87.867308,Manufacturer,High,4 - Less likely to pay,No,,(847) 940-2500,Subsidiary,WWW.WALGREENS.COM,1901,Deloitte & Touche LLP,WALGREENS,621625299,07-960-8595,"WALGREENS BOOTS ALLIANCE, INC.",,Headquarters,,,,,,,200 WILMOT RD STE 2002,DEERFIELD,USA,LAKE,ILLINOIS,600154681,446110,Pharmacies and Drug Stores,446110,"""Pharmacies and Drug Stores """,5912,"""Drug stores and proprietary stores""",59129901,Drug stores,"$34,562,464,592","210,500","1,200","$38,468,974,592","253,400",0
THERMO FISHER SCIENTIFIC INC.,Public,00-140-8673,,,00-140-8673,THERMO FISHER SCIENTIFIC INC.,00-140-8673,THERMO FISHER SCIENTIFIC INC.,42.392272,"ANALYTICAL INSTRUMENTS, NSK",-71.261695,Non Manufacturer,Low,4 - Less likely to pay,No,,(781) 622-1000,Non-Subsidiary,WWW.THERMOFISHER.COM,1956,PricewaterhouseCoopers LLP,THERMO FISHER,521762325,00-140-8673,THERMO FISHER SCIENTIFIC INC.,,Headquarters,,,,,,,168 3RD AVE,WALTHAM,USA,MIDDLESEX,MASSACHUSETTS,024517551,334516,Analytical Laboratory Instrument Manufacturing,"334510, 334513, 334516, 335999","""Electromedical and Electrotherapeutic Apparatus Manufacturing "", ""Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables "", ""Analytical Laboratory Instrument Manufacturing "", ""All Other Miscellaneous Electrical Equipment and Component Manufacturing ""","3629, 3823, 3826, 3845","""Electrical industrial apparatus, nec"", ""Process control instruments"", ""Analytical instruments"", ""Electromedical equipment""",38260000,Analytical instruments,"$25,542,000,000","75,000",210,"$25,542,000,000","70,000",0
"MACY'S, INC.",Public,00-698-7135,Both,,00-698-7135,"MACY'S, INC.",00-698-7135,"MACY'S, INC.",40.750669,DEPARTMENT STORES,-73.989741,Manufacturer,Low,4 - Less likely to pay,No,Owns,(212) 494-1602,Non-Subsidiary,WWW.MACYSINC.COM,1830,KPMG LLP,MACY'S,310513863,00-698-7135,"MACY'S, INC.",,Headquarters,,,,,,,151 W 34TH ST,NEW YORK,USA,NEW YORK,NEW YORK,100012101,452210,Department Stores,452210,"""Department Stores """,5311,"""Department stores""",53119902,"Department stores, non-discount","$25,331,000,000","123,000",650,"$25,331,000,000","130,000",0
SOUTHWEST AIRLINES CO.,Public,05-532-9262,,,05-532-9262,SOUTHWEST AIRLINES CO.,05-532-9262,SOUTHWEST AIRLINES CO.,32.845874,"AIR TRANSPORTATION, SCHEDULED, NSK",-96.864244,Manufacturer,Low,2 - Likely to pay,No,,(214) 792-4000,Non-Subsidiary,WWW.SOUTHWEST.COM,1971,Ernst & Young LLP,SOUTHWEST AIRLINES,756404061,05-532-9262,SOUTHWEST AIRLINES CO.,,Headquarters,P.O. BOX 36611,DALLAS,USA,DALLAS,TEXAS,752351611,2702 LOVE FIELD DR,DALLAS,USA,DALLAS,TEXAS,752351908,481111,Scheduled Passenger Air Transportation,481111,"""Scheduled Passenger Air Transportation """,4512,"""Air transportation, scheduled""",45129902,"Air passenger carrier, scheduled","$22,428,000,000","60,800","12,210","$22,428,000,000","60,800",0
"PAYPAL HOLDINGS, INC.",Public,07-980-9888,,,07-980-9888,"PAYPAL HOLDINGS, INC.",07-980-9888,"PAYPAL HOLDINGS, INC.",37.377347,"BUSINESS SERVICES, NEC, NSK",-121.92144,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(408) 967-1000,Non-Subsidiary,WWW.PAYPAL.COM,2015,PricewaterhouseCoopers LLP,PAYPAL,,07-980-9888,"PAYPAL HOLDINGS, INC.",,Headquarters,,,,,,,2211 N 1ST ST,SAN JOSE,USA,SANTA CLARA,CALIFORNIA,951312021,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","518210, 522320","""Data Processing, Hosting, and Related Services"", ""Financial Transactions Processing, Reserve, and Clearinghouse Activities ""","6099, 7374, 7389","""Functions related to deposit banking"", ""Data processing and preparation"", ""Business services, nec""",73890900,Financial services,"$17,772,000,000","23,200",106,"$17,772,000,000","18,100","700,000"
"WHOLE FOODS MARKET, INC.",Public,09-373-5686,,,88-474-5530,"AMAZON.COM, INC.",88-474-5530,"AMAZON.COM, INC.",30.270662,"GROCERY STORES, NSK",-97.752734,Manufacturer,Low,2 - Likely to pay,No,Rent,(512) 477-4455,Subsidiary,WWW.WHOLEFOODSMARKET.COM,1980,Ernst & Young LLP,WHOLE FOODS,741989366,88-474-5530,"AMAZON.COM, INC.",,Headquarters,,,,,,,550 BOWIE ST,AUSTIN,USA,TRAVIS,TEXAS,787034644,445110,Supermarkets and Other Grocery (except Convenience) Stores,445110,"""Supermarkets and Other Grocery (except Convenience) Stores """,5411,"""Grocery stores""",54110101,"Supermarkets, chain","$16,030,000,000","95,000",160,"$16,030,000,000","89,000",0
"UBER TECHNOLOGIES, INC.",Public,01-389-5459,,,01-389-5459,"UBER TECHNOLOGIES, INC.",01-389-5459,"UBER TECHNOLOGIES, INC.",37.775799,"LOCAL PASSENGER TRANSPORTATION, NEC",-122.418376,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(415) 612-8582,Non-Subsidiary,WWW.UBER.COM,2009,PricewaterhouseCoopers LLP,UBER,,01-389-5459,"UBER TECHNOLOGIES, INC.",,Headquarters,,,,,,,1455 MARKET ST FL 4,SAN FRANCISCO,USA,SAN FRANCISCO,CALIFORNIA,941031355,485999,All Other Transit and Ground Passenger Transportation,"485999, 541511","""All Other Transit and Ground Passenger Transportation "", ""Custom Computer Programming Services ""","4119, 7371","""Local passenger transportation, nec"", ""Computer programming services""",41190000,"Local passenger transportation, nec","$14,147,000,000","26,900","9,000","$14,147,000,000","26,900","2,400,000"
"AMERIPRISE FINANCIAL, INC.",Public,00-696-1957,,,00-696-1957,"AMERIPRISE FINANCIAL, INC.",00-696-1957,"AMERIPRISE FINANCIAL, INC.",44.9767,"BUSINESS SERVICES, NEC, NSK",-93.2682,Manufacturer,High,3 - Neutral,No,Rent,(612) 671-3131,Non-Subsidiary,WWW.AMERIPRISE.COM,1894,PricewaterhouseCoopers LLP,,133180631,00-696-1957,"AMERIPRISE FINANCIAL, INC.",,Headquarters,,,,,,,55 AMERIPRISE FINCL CTR,MINNEAPOLIS,USA,HENNEPIN,MINNESOTA,554749900,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","522320, 523930, 524113, 524210","""Financial Transactions Processing, Reserve, and Clearinghouse Activities "", ""Investment Advice "", ""Direct Life Insurance Carriers "", ""Insurance Agencies and Brokerages ""","6282, 6311, 6411, 7389","""Investment advice"", ""Life insurance"", ""Insurance agents, brokers, & service"", ""Business services, nec""",73890900,Financial services,"$12,967,000,000","12,500",148,"$12,967,000,000","13,000","848,000"
"W. W. GRAINGER, INC.",Public,00-510-3494,,,00-510-3494,"W. W. GRAINGER, INC.",00-510-3494,"W. W. GRAINGER, INC.",42.239788,"INDUSTRIAL SUPPLIES, NSK",-87.910628,Manufacturer,Low,1 - Most likely to pay,No,Owns,(847) 535-1000,Non-Subsidiary,WWW.GRAINGER.COM,1927,Ernst & Young LLP,GRAINGER,361150280,00-510-3494,"W. W. GRAINGER, INC.",,Headquarters,P.O. BOX 66,LAKE FOREST,USA,LAKE,ILLINOIS,600450066,100 GRAINGER PKWY,LAKE FOREST,USA,LAKE,ILLINOIS,600455202,423840,Industrial Supplies Merchant Wholesalers,"423610, 423710, 423730, 423830, 423840","""Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers "", ""Hardware Merchant Wholesalers "", ""Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers "", ""Industrial Machinery and Equipment Merchant Wholesalers "", ""Industrial Supplies Merchant Wholesalers""","5063, 5072, 5075, 5084, 5085","""Electrical apparatus and equipment"", ""Hardware"", ""Warm air heating & air-conditioning"", ""Industrial machinery and equipment"", ""Industrial supplies""",50850000,Industrial supplies,"$11,486,000,000","25,300",115,"$11,486,000,000","25,300","947,000"
"AVIS BUDGET GROUP, INC.",Public,06-250-6134,Both,,06-250-6134,"AVIS BUDGET GROUP, INC.",06-250-6134,"AVIS BUDGET GROUP, INC.",40.847263,PASSENGER CAR RENTAL,-74.449454,Manufacturer,High,5 - Least Likely to pay,No,Rent,(973) 496-4700,Non-Subsidiary,WWW.AVISBUDGETGROUP.COM,1946,Deloitte & Touche LLP,AVIS,060918165,06-250-6134,"AVIS BUDGET GROUP, INC.",,Headquarters,,,,,,,6 SYLVAN WAY STE 1,PARSIPPANY,USA,MORRIS,NEW JERSEY,070543826,532111,Passenger Car Rental,"532111, 532120","""Passenger Car Rental "", ""Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing ""","7513, 7514","""Truck rental and leasing, no drivers"", ""Passenger car rental""",75149902,Rent-a-car service,"$9,172,000,000","30,000",168,"$9,172,000,000","30,000",0
