Company Name,clean_name,Company Type,D-U-N-S@ Number,Manufacturing Indicator,Subsidiary Status,Year of Founding,Location Type,Physical State,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1)
AT&T INC.,AT&T,Public,10-802-4050,Non Manufacturer,Non-Subsidiary,1983,Headquarters,TEXAS,517312,Wireless Telecommunications Carriers (except Satellite),"334210, 334220, 511140, 517312, 517911","""Telephone Apparatus Manufacturing"", ""Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing"", ""Directory and Mailing List Publishers "", ""Wireless Telecommunications Carriers (except Satellite)"", ""Telecommunications Resellers ""","2741, 3661, 3663, 4812, 4813","""Miscellaneous publishing"", ""Telephone and telegraph apparatus"", ""Radio & TV communications equipment"", ""Radiotelephone communications"", ""Telephone communications, exc. radio""",48129901,Cellular telephone services,"$181,193,000,000 ","246,000",590,"$170,756,000,000 "
ALPHABET INC.,Google Inc,Public,07-994-2718,Manufacturer,Non-Subsidiary,1998,Headquarters,CALIFORNIA,541511,Custom Computer Programming Services,541511,"""Custom Computer Programming Services """,7371,"""Computer programming services""",73710300,Computer software development and applications,"$161,857,000,000 ","118,899",48,"$136,819,000,000 "
CIGNA CORPORATION,Cigna Corp,Public,08-116-1936,Manufacturer,Non-Subsidiary,2018,Headquarters,CONNECTICUT,524114,Direct Health and Medical Insurance Carriers,524114,"""Direct Health and Medical Insurance Carriers """,6324,"""Hospital and medical service plans""",63240000,Hospital and medical service plans,"$153,566,000,000 ","73,700",19,"$141,680,600,000 "
BANK OF AMERICA CORPORATION,Bank of America,Public,05-516-9452,Manufacturer,Non-Subsidiary,1968,Headquarters,NORTH CAROLINA,522110,Commercial Banking,"522110, 522220, 522292, 523120, 523991","""Commercial Banking "", ""Sales Financing "", ""Real Estate Credit "", ""Securities Brokerage "", ""Trust, Fiduciary, and Custody Activities ""","6021, 6022, 6091, 6159, 6162, 6211","""National commercial banks"", ""State commercial banks"", ""Nondeposit trust facilities"", ""Misc. business credit institutions"", ""Mortgage bankers and correspondents"", ""Security brokers and dealers""",60210000,National commercial banks,"$113,589,000,000 ","208,000",161,"$110,584,000,000 "
COMCAST CORPORATION,Comcast Corp,Public,05-715-6663,Manufacturer,Non-Subsidiary,1963,Headquarters,PENNSYLVANIA,515210,Cable and Other Subscription Programming,"512110, 515210, 517911, 713110","""Motion Picture and Video Production "", ""Cable and Other Subscription Programming"", ""Telecommunications Resellers "", ""Amusement and Theme Parks ""","4813, 4841, 7812, 7996","""Telephone communications, exc. radio"", ""Cable and other pay TV services"", ""Motion picture & video production"", ""Amusement parks""",48419901,Cable television services,"$108,942,000,000 ","190,000",70,"$94,507,000,000 "
CITIGROUP INC.,Citigroup Inc,Public,19-732-9691,Manufacturer,Non-Subsidiary,1812,Headquarters,NEW YORK,522110,Commercial Banking,"522110, 522291, 524113, 524126","""Commercial Banking "", ""Consumer Lending "", ""Direct Life Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers ""","6021, 6141, 6311, 6321, 6331","""National commercial banks"", ""Personal credit institutions"", ""Life insurance"", ""Accident and health insurance"", ""Fire, marine, and casualty insurance""",60210000,National commercial banks,"$103,449,000,000 ","204,000","2,000","$72,854,000,000 "
"FACEBOOK, INC.",Facebook Inc,Public,19-633-7864,Manufacturer,Non-Subsidiary,2004,Headquarters,CALIFORNIA,519190,All Other Information Services,519190,"""All Other Information Services""",7375,"""Information retrieval services""",73759902,On-line data base information retrieval,"$70,697,000,000 ","44,942",800,"$55,838,000,000 "
AETNA INC.,Aetna Inc,Public,94-515-5190,Manufacturer,Subsidiary,1853,Headquarters,CONNECTICUT,524114,Direct Health and Medical Insurance Carriers,"524113, 524114, 525110, 621491","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Pension Funds "", ""HMO Medical Centers ""","6321, 6324, 6371, 8011","""Accident and health insurance"", ""Hospital and medical service plans"", ""Pension, health, and welfare funds"", ""Offices & clinics of medical doctors""",63249903,"Health Maintenance Organization (HMO), insurance only","$60,535,000,000 ","48,290","7,800","$60,700,000,000 "
"CHARTER COMMUNICATIONS, INC.",Charter Communications Inc,Public,15-077-6503,Manufacturer,Non-Subsidiary,1999,Headquarters,CONNECTICUT,517911,Telecommunications Resellers,"515210, 517911","""Cable and Other Subscription Programming"", ""Telecommunications Resellers ""","4813, 4841","""Telephone communications, exc. radio"", ""Cable and other pay TV services""",48130000,"Telephone communication, except radio","$45,764,000,000 ","98,000",129,"$43,634,000,000 "
HONEYWELL INTERNATIONAL INC.,Honeywell International Inc,Public,13-969-1877,Non Manufacturer,Non-Subsidiary,1920,Headquarters,NORTH CAROLINA,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","325211, 325220, 333415, 334511, 336390, 336412","""Plastics Material and Resin Manufacturing "", ""Artificial and Synthetic Fibers and Filaments Manufacturing"", ""Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing "", ""Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing "", ""Other Motor Vehicle Parts Manufacturing"", ""Aircraft Engine and Engine Parts Manufacturing ""","2821, 2824, 3585, 3714, 3724, 3812","""Plastics materials and resins"", ""Organic fibers, noncellulosic"", ""Refrigeration and heating equipment"", ""Motor vehicle parts and accessories"", ""Aircraft engines and engine parts"", ""Search and navigation equipment""",38120201,"Aircraft control systems, electronic","$36,709,000,000 ","113,000","1,400","$41,802,000,000 "
3M COMPANY,3M,Public,00-617-3082,Non Manufacturer,Non-Subsidiary,1902,Headquarters,MINNESOTA,327910,Abrasive Product Manufacturing,"322220, 325520, 325612, 327910, 339112, 339113","""Paper Bag and Coated and Treated Paper Manufacturing"", ""Adhesive Manufacturing"", ""Polish and Other Sanitation Good Manufacturing "", ""Abrasive Product Manufacturing"", ""Surgical and Medical Instrument Manufacturing "", ""Surgical Appliance and Supplies Manufacturing ""","2672, 2842, 2891, 3291, 3841, 3842","""Paper coated and laminated, nec"", ""Polishes and sanitation goods"", ""Adhesives and sealants"", ""Abrasive products"", ""Surgical and medical instruments"", ""Surgical appliances and supplies""",32910000,Abrasive products,"$32,136,000,000 ","96,163","10,000","$32,765,000,000 "
HEWLETT PACKARD ENTERPRISE COMPANY,Hewlett-Packard Co,Public,07-983-4910,Non Manufacturer,Non-Subsidiary,1939,Headquarters,CALIFORNIA,511210,Software Publishers,"334112, 511210, 541519","""Computer Storage Device Manufacturing "", ""Software Publishers"", ""Other Computer Related Services""","3572, 7372, 7379","""Computer storage devices"", ""Prepackaged software"", ""Computer related services, nec""",73729902,Business oriented computer software,"$29,135,000,000 ","60,000",112,"$30,852,000,000 "
"GILEAD SCIENCES, INC.",Gilead Sciences Inc,Public,18-504-9848,Non Manufacturer,Non-Subsidiary,1987,Headquarters,CALIFORNIA,325412,Pharmaceutical Preparation Manufacturing,325412,"""Pharmaceutical Preparation Manufacturing """,2834,"""Pharmaceutical preparations""",28340000,Pharmaceutical preparations,"$22,449,000,000 ","11,000",289,"$22,127,000,000 "
"KRAFT FOODS GROUP, INC.",Knights of Columbus,Public,03-901-0590,Non Manufacturer,Non-Subsidiary,0,Single Location,ILLINOIS,311513,Cheese Manufacturing,,,,,20229902,Natural cheese,"$16,541,624,490 ","22,100",120,"$18,205,000,000 "
THE BANK OF NEW YORK MELLON CORPORATION,The Bank of New York Mellon,Public,05-155-0713,Manufacturer,Non-Subsidiary,1784,Headquarters,NEW YORK,522110,Commercial Banking,522110,"""Commercial Banking """,6022,"""State commercial banks""",60220000,State commercial banks,"$16,462,000,000 ","52,500",300,"$16,392,000,000 "
THE GAP INC,The Gap,Public,04-862-6915,Manufacturer,Non-Subsidiary,1969,Headquarters,CALIFORNIA,448130,Children's and Infants' Clothing Stores,"448110, 448120, 448130, 448140, 448150","""Men's Clothing Stores "", ""Women's Clothing Stores "", ""Children's and Infants' Clothing Stores "", ""Family Clothing Stores "", ""Clothing Accessories Stores ""","5611, 5621, 5632, 5641, 5651","""Men's & boys' clothing stores"", ""Women's clothing stores"", ""Women's accessory & specialty stores"", ""Children's and infants' wear stores"", ""Family clothing stores""",56410000,Children's and infants' wear stores,"$16,383,000,000 ","135,000","2,500","$16,580,000,000 "
"ANHEUSER-BUSCH COMPANIES, LLC",Anheuser-Busch Companies LLC,Private,09-863-0254,Non Manufacturer,Subsidiary,1848,Headquarters,MISSOURI,312120,Breweries,"312120, 332431, 713110","""Breweries"", ""Metal Can Manufacturing "", ""Amusement and Theme Parks ""","2082, 3411, 7996","""Malt beverages"", ""Metal cans"", ""Amusement parks""",20829902,Beer (alcoholic beverage),"$16,306,142,201 ","30,236","1,000","$16,849,808,474 "
GOLDMAN SACHS & CO. LLC,Goldman Sachs & Co LLC,Private,00-698-4561,Manufacturer,Subsidiary,2012,Headquarters,NEW YORK,523110,Investment Banking and Securities Dealing,,,,,62110202,Investment bankers,"$14,388,091,596 ","32,400","1,500","$16,751,980,972 "
"AUTOMATIC DATA PROCESSING, INC.",Automatic Data Processing Inc,Public,00-191-5172,Manufacturer,Non-Subsidiary,1949,Headquarters,NEW JERSEY,518210,"Data Processing, Hosting, and Related Services",518210,"""Data Processing, Hosting, and Related Services""",7374,"""Data processing and preparation""",73749902,Data processing service,"$14,175,200,000 ","57,000","1,500","$13,325,800,000 "
"AMERIPRISE FINANCIAL, INC.",Ameriprise Financial Inc,Public,00-696-1957,Manufacturer,Non-Subsidiary,1894,Headquarters,MINNESOTA,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","522320, 523930, 524113, 524210","""Financial Transactions Processing, Reserve, and Clearinghouse Activities "", ""Investment Advice "", ""Direct Life Insurance Carriers "", ""Insurance Agencies and Brokerages ""","6282, 6311, 6411, 7389","""Investment advice"", ""Life insurance"", ""Insurance agents, brokers, & service"", ""Business services, nec""",73890900,Financial services,"$12,967,000,000 ","13,000",120,"$12,835,000,000 "
"CIRCUIT CITY STORES, INC.",Circuit City Stores Inc,Public,00-895-6757,Manufacturer,Non-Subsidiary,0,Single Location,VIRGINIA,443142,Electronics Stores,,,,,57310000,"Radio, television, and electronic stores","$11,743,691,000 ","45,885","1,000","$11,743,691,000 "
DAVITA INC.,DaVita Inc,Public,88-307-3371,Manufacturer,Non-Subsidiary,1994,Headquarters,COLORADO,621492,Kidney Dialysis Centers,"621492, 621498","""Kidney Dialysis Centers "", ""All Other Outpatient Care Centers ""","8092, 8093","""Kidney dialysis centers"", ""Specialty outpatient clinics, nec""",80920000,Kidney dialysis centers,"$11,388,479,000 ","70,335",100,"$11,404,851,000 "
BAXTER INTERNATIONAL INC.,Baxter International Inc,Public,00-514-6311,Non Manufacturer,Non-Subsidiary,1931,Headquarters,ILLINOIS,339112,Surgical and Medical Instrument Manufacturing,"325412, 339112, 339113","""Pharmaceutical Preparation Manufacturing "", ""Surgical and Medical Instrument Manufacturing "", ""Surgical Appliance and Supplies Manufacturing ""","2834, 2835, 3841, 3842","""Pharmaceutical preparations"", ""Diagnostic substances"", ""Surgical and medical instruments"", ""Surgical appliances and supplies""",38410000,Surgical and medical instruments,"$11,362,000,000 ","50,000","1,500","$11,127,000,000 "
"FISERV, INC.",Fiserv Inc,Public,12-159-4832,Manufacturer,Non-Subsidiary,1984,Headquarters,WISCONSIN,518210,"Data Processing, Hosting, and Related Services","518210, 541511","""Data Processing, Hosting, and Related Services"", ""Custom Computer Programming Services ""","7371, 7374","""Computer programming services"", ""Data processing and preparation""",73749902,Data processing service,"$10,187,000,000 ","24,000",65,"$5,823,000,000 "
FRESENIUS MEDICAL CARE NORTH AMERICA HOLDINGS LIMITED PARTNERSHIP,Fresenius Medical Care NA,Private,96-927-3528,Non Manufacturer,Subsidiary,2006,Headquarters,MASSACHUSETTS,339112,Surgical and Medical Instrument Manufacturing,,,,,38410000,Surgical and medical instruments,"$8,723,755,773 ","18,500",51,"$10,333,258,087 "
