Year,Month,Theft Type,State Name,No of Reports
2015,1,Attempted Identity Theft,Alabama,25
2015,1,Attempted Identity Theft,Alaska,1
2015,1,Attempted Identity Theft,Arizona,21
2015,1,Attempted Identity Theft,Arkansas,6
2015,1,Attempted Identity Theft,California,242
2015,1,Attempted Identity Theft,Colorado,20
2015,1,Attempted Identity Theft,Connecticut,12
2015,1,Attempted Identity Theft,District of Columbia,5
2015,1,Attempted Identity Theft,Florida,229
2015,1,Attempted Identity Theft,Georgia,44
2015,1,Attempted Identity Theft,Hawaii,3
2015,1,Attempted Identity Theft,Idaho,7
2015,1,Attempted Identity Theft,Illinois,58
2015,1,Attempted Identity Theft,Indiana,14
2015,1,Attempted Identity Theft,Iowa,8
2015,1,Attempted Identity Theft,Kansas,11
2015,1,Attempted Identity Theft,Kentucky,9
2015,1,Attempted Identity Theft,Louisiana,12
2015,1,Attempted Identity Theft,Maine,4
2015,1,Attempted Identity Theft,Maryland,22
2015,1,Attempted Identity Theft,Massachusetts,31
2015,1,Attempted Identity Theft,Michigan,39
2015,1,Attempted Identity Theft,Minnesota,19
2015,1,Attempted Identity Theft,Mississippi,7
2015,1,Attempted Identity Theft,Missouri,24
2015,1,Attempted Identity Theft,Montana,2
2015,1,Attempted Identity Theft,Nebraska,5
2015,1,Attempted Identity Theft,Nevada,14
2015,1,Attempted Identity Theft,New Hampshire,2
2015,1,Attempted Identity Theft,New Jersey,30
2015,1,Attempted Identity Theft,New Mexico,13
2015,1,Attempted Identity Theft,New York,100
2015,1,Attempted Identity Theft,North Carolina,29
2015,1,Attempted Identity Theft,North Dakota,1
2015,1,Attempted Identity Theft,Ohio,41
2015,1,Attempted Identity Theft,Oklahoma,10
2015,1,Attempted Identity Theft,Oregon,15
2015,1,Attempted Identity Theft,Pennsylvania,36
2015,1,Attempted Identity Theft,Puerto Rico,7
2015,1,Attempted Identity Theft,Rhode Island,2
2015,1,Attempted Identity Theft,South Carolina,16
2015,1,Attempted Identity Theft,South Dakota,1
2015,1,Attempted Identity Theft,Tennessee,20
2015,1,Attempted Identity Theft,Texas,79
2015,1,Attempted Identity Theft,Utah,6
2015,1,Attempted Identity Theft,Vermont,1
2015,1,Attempted Identity Theft,Virginia,23
2015,1,Attempted Identity Theft,Washington,25
