Year,Month,State Name,# of Reports
2015,1,Alabama,311
2015,1,Alaska,37
2015,1,Arizona,474
2015,1,Arkansas,149
2015,1,California,"3,259"
2015,1,Colorado,338
2015,1,Connecticut,189
2015,1,Delaware,46
2015,1,District of Columbia,93
2015,1,Florida,"2,735"
2015,1,Georgia,"1,009"
2015,1,Hawaii,46
2015,1,Idaho,60
2015,1,Illinois,955
2015,1,Indiana,322
2015,1,Iowa,97
2015,1,Kansas,126
2015,1,Kentucky,198
2015,1,Louisiana,305
2015,1,Maine,50
2015,1,Maryland,443
2015,1,Massachusetts,296
2015,1,Michigan,818
2015,1,Minnesota,222
2015,1,Mississippi,198
2015,1,Missouri,456
2015,1,Montana,38
2015,1,Nebraska,71
2015,1,Nevada,247
2015,1,New Hampshire,45
2015,1,New Jersey,484
2015,1,New Mexico,136
2015,1,New York,"1,246"
2015,1,North Carolina,548
2015,1,North Dakota,18
2015,1,Ohio,778
2015,1,Oklahoma,228
2015,1,Oregon,246
2015,1,Pennsylvania,697
2015,1,Puerto Rico,277
2015,1,Rhode Island,47
2015,1,South Carolina,286
2015,1,South Dakota,19
2015,1,Tennessee,431
2015,1,Texas,"1,988"
2015,1,Utah,139
2015,1,Vermont,20
2015,1,Virginia,487
2015,1,Washington,429
2015,1,West Virginia,99
2015,1,Wisconsin,287
2015,1,Wyoming,22
2015,2,Alabama,650
2015,2,Alaska,69
2015,2,Arizona,814
2015,2,Arkansas,318
2015,2,California,"4,926"
2015,2,Colorado,690
2015,2,Connecticut,"1,060"
2015,2,Delaware,130
2015,2,District of Columbia,136
2015,2,Florida,"5,089"
2015,2,Georgia,"1,865"
2015,2,Hawaii,75
2015,2,Idaho,178
2015,2,Illinois,"2,215"
2015,2,Indiana,867
2015,2,Iowa,280
2015,2,Kansas,315
2015,2,Kentucky,460
2015,2,Louisiana,574
2015,2,Maine,203
2015,2,Maryland,"1,078"
2015,2,Massachusetts,688
2015,2,Michigan,"1,747"
2015,2,Minnesota,560
2015,2,Mississippi,415
2015,2,Missouri,"3,210"
2015,2,Montana,118
2015,2,Nebraska,209
2015,2,Nevada,368
2015,2,New Hampshire,159
2015,2,New Jersey,"1,291"
2015,2,New Mexico,202
2015,2,New York,"2,332"
2015,2,North Carolina,"1,309"
2015,2,North Dakota,73
2015,2,Ohio,"2,298"
2015,2,Oklahoma,711
2015,2,Oregon,705
2015,2,Pennsylvania,"1,726"
2015,2,Puerto Rico,407
2015,2,Rhode Island,120
2015,2,South Carolina,565
2015,2,South Dakota,58
2015,2,Tennessee,928
2015,2,Texas,"4,799"
2015,2,Utah,289
2015,2,Vermont,57
2015,2,Virginia,"1,052"
2015,2,Washington,"1,049"
2015,2,West Virginia,150
2015,2,Wisconsin,711
2015,2,Wyoming,56
2015,3,Alabama,757
2015,3,Alaska,104
2015,3,Arizona,"1,453"
2015,3,Arkansas,522
2015,3,California,"6,784"
2015,3,Colorado,"1,198"
2015,3,Connecticut,"2,210"
2015,3,Delaware,209
2015,3,District of Columbia,257
2015,3,Florida,"6,532"
2015,3,Georgia,"2,200"
2015,3,Hawaii,130
2015,3,Idaho,343
2015,3,Illinois,"3,834"
2015,3,Indiana,"1,245"
2015,3,Iowa,624
2015,3,Kansas,621
2015,3,Kentucky,709
2015,3,Louisiana,724
2015,3,Maine,361
2015,3,Maryland,"2,243"
2015,3,Massachusetts,"1,555"
2015,3,Michigan,"2,691"
2015,3,Minnesota,917
2015,3,Mississippi,456
2015,3,Missouri,"6,973"
2015,3,Montana,200
2015,3,Nebraska,359
2015,3,Nevada,497
2015,3,New Hampshire,424
2015,3,New Jersey,"1,772"
2015,3,New Mexico,304
2015,3,New York,"3,580"
2015,3,North Carolina,"1,729"
2015,3,North Dakota,124
2015,3,Ohio,"3,151"
2015,3,Oklahoma,895
2015,3,Oregon,981
2015,3,Pennsylvania,"2,514"
2015,3,Puerto Rico,448
2015,3,Rhode Island,255
2015,3,South Carolina,723
2015,3,South Dakota,100
2015,3,Tennessee,"1,074"
2015,3,Texas,"5,967"
2015,3,Utah,344
2015,3,Vermont,101
2015,3,Virginia,"1,743"
2015,3,Washington,"1,515"
2015,3,West Virginia,321
2015,3,Wisconsin,"1,719"
2015,3,Wyoming,95
2015,4,Alabama,824
2015,4,Alaska,181
2015,4,Arizona,"1,721"
2015,4,Arkansas,576
2015,4,California,"7,495"
2015,4,Colorado,"1,480"
2015,4,Connecticut,"1,899"
2015,4,Delaware,266
2015,4,District of Columbia,268
2015,4,Florida,"7,267"
2015,4,Georgia,"2,562"
2015,4,Hawaii,140
2015,4,Idaho,419
2015,4,Illinois,"4,205"
2015,4,Indiana,"1,083"
2015,4,Iowa,824
2015,4,Kansas,727
2015,4,Kentucky,644
2015,4,Louisiana,676
2015,4,Maine,347
2015,4,Maryland,"2,450"
2015,4,Massachusetts,"2,262"
2015,4,Michigan,"3,018"
2015,4,Minnesota,"1,253"
2015,4,Mississippi,418
2015,4,Missouri,"6,653"
2015,4,Montana,184
2015,4,Nebraska,445
2015,4,Nevada,501
2015,4,New Hampshire,595
2015,4,New Jersey,"2,109"
2015,4,New Mexico,316
2015,4,New York,"4,606"
2015,4,North Carolina,"2,193"
2015,4,North Dakota,147
2015,4,Ohio,"3,163"
2015,4,Oklahoma,921
2015,4,Oregon,"1,106"
2015,4,Pennsylvania,"2,824"
2015,4,Puerto Rico,372
2015,4,Rhode Island,390
2015,4,South Carolina,905
2015,4,South Dakota,149
2015,4,Tennessee,"1,266"
2015,4,Texas,"7,456"
2015,4,Utah,521
2015,4,Vermont,135
2015,4,Virginia,"2,438"
2015,4,Washington,"1,823"
2015,4,West Virginia,253
2015,4,Wisconsin,"2,368"
2015,4,Wyoming,143
2015,5,Alabama,337
2015,5,Alaska,53
2015,5,Arizona,735
2015,5,Arkansas,211
2015,5,California,"4,109"
2015,5,Colorado,491
2015,5,Connecticut,446
2015,5,Delaware,80
2015,5,District of Columbia,111
2015,5,Florida,"3,342"
2015,5,Georgia,"1,071"
2015,5,Hawaii,59
2015,5,Idaho,127
2015,5,Illinois,"1,321"
2015,5,Indiana,426
2015,5,Iowa,147
2015,5,Kansas,222
2015,5,Kentucky,229
2015,5,Louisiana,318
2015,5,Maine,100
2015,5,Maryland,789
2015,5,Massachusetts,613
2015,5,Michigan,"1,074"
2015,5,Minnesota,359
2015,5,Mississippi,222
2015,5,Missouri,"1,068"
2015,5,Montana,51
2015,5,Nebraska,133
2015,5,Nevada,285
2015,5,New Hampshire,117
2015,5,New Jersey,841
2015,5,New Mexico,169
2015,5,New York,"1,710"
2015,5,North Carolina,787
2015,5,North Dakota,35
2015,5,Ohio,964
2015,5,Oklahoma,341
2015,5,Oregon,339
2015,5,Pennsylvania,"1,017"
2015,5,Puerto Rico,316
2015,5,Rhode Island,123
2015,5,South Carolina,362
2015,5,South Dakota,33
2015,5,Tennessee,553
2015,5,Texas,"3,118"
2015,5,Utah,196
2015,5,Vermont,39
