Month,Year,Month_Yr,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto_Rico,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,Grand_Total
1,2015,2015-1,334,41,517,167,3704,369,205,50,106,3014,1144,55,66,1061,356,105,143,216,333,55,500,320,913,245,209,482,42,84,285,51,542,148,1372,625,18,828,243,265,765,326,53,325,20,468,2193,150,21,538,474,104,320,26,24996
2,2015,2015-2,683,73,873,331,5380,718,1112,137,141,5435,2002,80,187,2361,928,294,327,480,607,207,1139,741,1841,599,422,3293,121,223,400,167,1393,224,2536,1388,76,2415,740,736,1820,439,123,594,60,994,5132,304,62,1113,1108,162,761,60,53542
3,2015,2015-3,802,109,1535,548,7320,1264,2328,222,269,6977,2381,138,352,4035,1318,650,645,745,776,382,2354,1641,2837,965,476,7173,206,368,540,446,1889,329,3851,1811,128,3310,929,1025,2649,488,268,771,109,1133,6288,360,107,1842,1598,334,1801,98,80920
4,2015,2015-4,872,198,1814,599,8221,1571,2050,282,281,7752,2778,145,427,4421,1161,844,755,684,725,373,2550,2361,3194,1325,434,6959,193,463,553,629,2257,332,5010,2296,152,3365,965,1155,2986,443,398,954,149,1334,7902,540,144,2583,1946,274,2508,150,92457
5,2015,2015-5,355,60,791,226,4661,532,496,88,113,3654,1224,66,140,1456,464,156,239,251,334,110,851,665,1171,389,237,1150,58,141,316,135,951,186,1911,859,39,1084,366,369,1126,355,131,397,35,607,3390,212,40,870,715,114,510,50,34846
6,2015,2015-6,399,59,708,207,5112,487,452,96,169,3534,1292,90,119,1384,395,170,227,292,379,98,865,642,1137,367,215,921,51,123,302,116,932,169,1925,782,55,1013,342,342,1158,396,115,433,35,538,3201,210,28,799,637,87,484,48,34137
7,2015,2015-7,391,55,753,215,4879,454,435,74,137,3457,1263,91,79,1353,457,136,242,223,375,63,701,568,1083,393,237,736,50,126,298,86,804,211,1767,708,35,892,295,254,1034,382,89,353,30,465,3036,176,34,685,575,91,418,46,31790
8,2015,2015-8,348,22,615,180,4500,392,354,87,100,3111,1092,62,82,1233,428,127,219,193,313,61,634,465,1017,314,188,659,54,121,306,102,820,162,1620,644,34,875,267,295,922,365,84,357,33,482,2616,145,23,599,612,95,359,33,28821
9,2015,2015-9,327,45,597,176,4135,343,353,75,114,3084,1002,77,82,1311,337,141,211,222,242,76,559,465,953,317,223,593,39,97,249,75,706,149,1658,625,20,795,245,282,921,300,77,318,22,422,2522,156,25,619,535,93,331,23,27364
10,2015,2015-10,367,40,673,219,4905,431,447,68,143,3244,1171,73,95,1448,362,124,211,228,333,81,654,587,1081,350,202,657,56,108,306,102,870,140,2187,711,30,927,278,276,1134,417,93,371,33,447,2807,193,24,639,628,95,364,22,31452
