"","incident_id","hack","clean_name","year","date_of_breach","breach_end","discover_date","reported_date","total_affected","SSN_breach","drivers_license","credit_debit","credit_monitoring","breach_type","state","letter_url","California","Connecticut","Delaware","Hawaii","Indiana","Iowa","Maine","Maryland","Massachusetts","Montana","New_Hampshire","New_Jersey","N_Dakota","North_Carolina","Oregon","Rhode_Island","South_Carolina","Vermont","Virginia","Washington","Wisconsin","firstdate"
"7759",7759,"2","H&R Block","2005","","","2005-12-01","2005-12-01","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2005-12-01"
"13157",13157,"3","Pearce & Pearce","2005","","","2005-02-28","2005-02-28","","","","","","HACKERS/ UNAUTHORIZED, ACCESS","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2005-02-28"
"334",334,"2","ADP Inc","2006","","","2005-11-30","2006-06-30","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-06-30"
"426",426,"1","Aetna Inc","2006","","","2006-04-14","2006-05-01","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-05-01"
"509",509,"1","Ahold USA Inc","2006","","","2006-05-02","2006-05-25","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-05-25"
"510",510,"1","Ahold USA Inc","2006","","","2006-04-13","2006-06-23","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-06-23"
"517",517,"1","AICPA","2006","","","2006-05-08","2006-05-08","","","","","","LOST IN TRANSIT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-05-08"
"953",953,"1","Ameriprise Financial Inc","2006","","","2005-12-05","2006-01-20","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-01-20"
"1412",1412,"3","AT&T","2006","","","2006-08-26","2006-09-27","18876","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-09-27"
"1867",1867,"1","Bay View Acceptance Corp.","2006","","","2006-07-12","2006-08-10","","","","","","LOST IN TRANSIT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-08-10"
"1926",1926,"2","BCTGM Local 192 Union","2006","","","2006-07-01","2006-07-21","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-07-21"
