Clean Name,Company ,Address,Street Address,Cities,State,Zip Code,DUNS No
Whole Foods Market Services Inc,"Whole Foods Market Group, Inc.","550 Bowie Street, Austin, TX 78703",550 Bowie Street,Austin,TX,78703,04-619-2386
LJ Cooper Capital Management LLC,"LJCooper Capital Management, LLC d/b/a LJCooper Wealth Advisors","742 N 530 E, Orem, UT 84097",742 N 530 E,Orem,UT,84097,08-038-5296
University of Maine,University of Maine,"46 University Drive, Augusta, Maine 04330",46 University Drive,Augusta,ME,04330,07-175-0426
Star Title Partners of Palm Harbor LLC,"Star Title Partners of Palm Harbor, LLC","30522 US Hwy 19 N. Ste. 101, Palm Harbor, FL 34684",30522 US Hwy 19 N. Ste. 101,Palm Harbor,FL,34684,19-137-3708
Cenera Funding Inc,"Cenera Funding, Inc.","3600 Benbrook Highway, Fort Worth, TX  76116",3600 Benbrook Highway,Fort Worth,TX,76116,
Fifth Third Bank,Fifth Third Bank,"38 Fountain Square Plaza, Cincinnati, OH  45140",38 Fountain Square Plaza,Cincinnati,OH,45140,08-159-0853
Net32 Inc,Net32,,,,,,03-926-9209
TravisMathew LLC,TravisMathew LLC,"15202 Graham Street, Huntington Beach, CA 92649",15202 Graham Street,Huntington Beach,CA,92649,07-839-0477
Heartland Hotel Corp,Heartland Hotel Corporation,"4403 First Ave., SE Suite 114; Cedar Rapids, IA  52402","4403 First Ave., SE Suite 114",Cedar Rapids,IA,52402,62-079-7944
STL International Inc,"STL International, Inc., d/b/a Teeter","9902 162nd Street, Ct. E., Puyallup, WA 98375","9902 162nd Street, Ct. E.",Puyallup,WA,98375,06-272-9769
Avis Budget Group,"Avis Budget Portugal, Sovial - Sociedade de Viatruas de Aluguer, Lda., R. Prof. Fernando da Fonseca","Edificio Visconde De Alvalade, 6  piso, Lisboa, Portugal 01600-616","Edificio Visconde De Alvalade, 6  piso",Lisboa,Portugal,01600-616,06-250-6134
GS1 US Inc,"GSI US, Inc., 1009 Lenox Drive, Suite 202, Lawrenceville, NJ 08648",,"1009 Lenox Drive, Suite 202",Lawrenceville,NJ,08648,
Tengointernet Inc,"Tengointernet, Inc.","3300 North Interstate Highway 35, Suite 600, Austin, TX 78705","3300 North Interstate Highway 35, Suite 600",Austin,TX,78705,55-643-2990
Aptos Inc,Aptos Inc,,,,,,06-760-5154
British Airways PLC,British Airways,,,,,,22-531-1612
City Lights Collectibles,City Lights Collectibles,,,,,,86-435-9444
Richard Owen Nursery Inc,Dutch Gardens,,,,,,13-248-8607
Marian Helpers Corp,Marian Helpers Corporation,,,,,,08-045-7195
Reliable Respiratory,Reliable Respiratory,"1504 Boston Providence Highway, #11a, Norwood, MA  02062","1504 Boston Providence Highway, #11a",Norwood,MA,02062,60-745-8267
ShopStyle Inc,ShopStyle Inc.,"800 Concar Drive, Suite 175, San Mateo, CA 94402","800 Concar Drive, Suite 175",San Mateo,CA,94402,08-052-8868
