"","clean_name","X","incident_id","hack","year","date_of_breach","breach_end","discover_date","reported_date","total_affected","SSN_breach","drivers_license","credit_debit","credit_monitoring","breach_type","state","letter_url","California","Connecticut","Delaware","Hawaii","Indiana","Iowa","Maine","Maryland","Massachusetts","Montana","New_Hampshire","New_Jersey","N_Dakota","North_Carolina","Oregon","Rhode_Island","South_Carolina","Vermont","Virginia","Washington","Wisconsin","firstdate","�..Company.Name","Company.Type","D.U.N.S..Number","Manufacturing.Indicator","Subsidiary.Status","Year.of.Founding","Location.Type","Physical.State","Primary.NAICS.Code","Primary.NAICS.Description","Secondary.NAICS.Code","Secondary.NAICS.Description","Secondary.SIC.Code","Secondary.SIC.Description","Primary.SIC.Code","Primary.SIC.Description","Sales","Employee.All.Sites","Employee.this.Site","Sales..Year.1.","DUNS_2"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EG&G TECHNICAL SERVICES INC","Private","05-051-1650","Manufacturer","Non-Subsidiary",2012,"Single Location","NEVADA",541330,"Engineering Services","","","","",87119909,"Professional engineer","$408,166 ","8","8","$408,166 ","54"
"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMO USA, INC.","Private","13-884-6428","Non Manufacturer","Subsidiary",2002,"Single Location","CALIFORNIA",339112,"Surgical and Medical Instrument Manufacturing","","","","",38410000,"Surgical and medical instruments","$1,100,000,000 ","200","200","$1,100,000,000 ","33"
"3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICF INTERNATIONAL, INC.","Public","13-900-1544","Manufacturer","Non-Subsidiary",1969,"Headquarters","VIRGINIA",541611,"Administrative Management and General Management Consulting Services","541611, 541618","""Administrative Management and General Management Consulting Services "", ""Other Management Consulting Services ""","8742, 8748","""Management consulting services"", ""Business consulting, nec""",87429902,"Business management consultant","$1,478,525,000 ","5,500","1,019","$1,337,973,000 ","54"
"4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIT GROUP INC.","Public","15-536-1595","Manufacturer","Non-Subsidiary",1908,"Headquarters","NEW YORK",522110,"Commercial Banking","522110","""Commercial Banking ""","6021","""National commercial banks""",60220000,"State commercial banks","$3,289,700,000 ","3,678","550","$3,273,200,000 ","52"
"5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CATHOLIC CHARITABLE BUREAU OF THE ARCHDIOCESE OF BOSTON, INC","Private","09-218-9950","Manufacturer","Non-Subsidiary",1945,"Headquarters","MASSACHUSETTS",624190,"Other Individual and Family Services","","","","",83220610,"Social service center","$37,903,110 ","800","113","$37,903,110 ","62"
"6","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTI/THE IMAGE GROUP, INC","Private","08-573-2634","Manufacturer","Non-Subsidiary",0,"Single Location","NEW YORK",512110,"Motion Picture and Video Production","","","","",78120202,"Video tape production","$45,307,178 ","300","151","$45,307,178 ","51"
"7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLOBAL PAYMENTS INC.","Public","00-504-7290","Manufacturer","Non-Subsidiary",1967,"Headquarters","GEORGIA",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","522320","""Financial Transactions Processing, Reserve, and Clearinghouse Activities ""","7389","""Business services, nec""",73890903,"Credit card service","$4,911,892,000 ","11,000","133","$3,366,366,000 ","52"
"8","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN AIRLINES GROUP INC.","Public","07-256-0154","Manufacturer","Non-Subsidiary",1934,"Headquarters","TEXAS",481111,"Scheduled Passenger Air Transportation","481111, 488119","""Scheduled Passenger Air Transportation "", ""Other Airport Operations ""","4512, 4581","""Air transportation, scheduled"", ""Airports, flying fields, & services""",45129902,"Air passenger carrier, scheduled","$45,768,000,000 ","128,900","377","$44,541,000,000 ","48"
"9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EASTERN SALES & MARKETING CORPORATION","Private","08-876-7255","Manufacturer","Non-Subsidiary",2015,"Single Location","MASSACHUSETTS",541613,"Marketing Consulting Services","","","","",87420300,"Marketing consulting services","$151,248 ","3","3","$151,248 ","54"
"10","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. P. MAGUIRE ASSOCIATES, INC.","Private","03-458-4409","Manufacturer","Non-Subsidiary",1971,"Headquarters","CONNECTICUT",236118,"Residential Remodelers","","","","",15210104,"Repairing fire damage, single-family houses","$10,375,235 ","55","55","$10,375,235 ","23"
"11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS - PENSION BENEFIT FUND","Private","96-480-6710","Manufacturer","Non-Subsidiary",2010,"Single Location","DISTRICT OF COLUMBIA",813930,"Labor Unions and Similar Labor Organizations","","","","",86319904,"Trade union","$197,712,911 ","26","26","$197,712,911 ","81"
"12","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC DHEC","Private","01-529-3364","Manufacturer","Non-Subsidiary",2010,"Single Location","SOUTH CAROLINA",562910,"Remediation Services","","","","",49590302,"Environmental cleanup services","$11,644,831 ","69","69","$11,644,831 ","56"
"13","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTAURI, LLC","Private","04-793-9504","Manufacturer","Non-Subsidiary",1998,"Headquarters","VIRGINIA",541690,"Other Scientific and Technical Consulting Services","","","","",87480402,"Systems engineering consultant, ex. computer or professional","$89,354,986 ","485","381","$9,060,834 ","54"
"14","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHOWA BOSTON INSTITUTE FOR LANGUAGE AND CULTURE INC","Private","18-377-4231","Manufacturer","Non-Subsidiary",1987,"Single Location","MASSACHUSETTS",611310,"Colleges, Universities, and Professional Schools","","","","",82210102,"University","$11,620,186 ","53","53","$11,620,186 ","61"
"15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTEC HOLDINGS, INC.","Public","92-634-8103","Manufacturer","Non-Subsidiary",1982,"Headquarters","COLORADO",561320,"Temporary Help Services","561320, 561422","""Temporary Help Services"", ""Telemarketing Bureaus and Other Contact Centers ""","7363, 7389","""Help supply services"", ""Business services, nec""",73630000,"Help supply services","$1,643,704,000 ","48,000","87","$1,509,171,000 ","56"
"16","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTER FOR HUMAN DEVELOPMENT, INCORPORATED","Private","09-919-5695","Manufacturer","Non-Subsidiary",1972,"Headquarters","MASSACHUSETTS",624190,"Other Individual and Family Services","","","","",83220610,"Social service center","$87,666,596 ","1,100","60","$87,666,596 ","62"
