"","org_name","address.x","street_address.x","city.x","state.x","zip_code.x","contact_info","attorney","breach_dates","reported_date","date_of_breach","breach_end","discover_date","info_type","affected_residents","date_formatted","DUNS.No","clean_name","address.y","street_address.y","city.y","state.y","zip_code.y","�..Company.Name","Company.Type","Import.Export","Fax.No","Global.Duns.No","Global.Name","Immediate.Parent.Duns.No","Immediate.Parent.Name","Latitude","Line.of.Business","Longtitude","Manufacturing.Indicator","Marketing.Prescreen.Score","Marketing.Prescreen.Ranking","Minority.Owned.Indicator","Owns.Rents","Phone.No","Subsidiary.Status","Web.Address..URL.","Year.of.Founding","Auditors","Trade.Style","Employer.ID.Number..EIN.","Domestic.Parent.Duns.No","Domestic.Parent.Name","Former.Name","Location.Type","Mailing.Address","Mailing.City","Mailing.Country.Region","Mailing.County","Mailing.State","Mailing.Zipcode","Physical.Address","Physical.City","Physical.Country.Region","Physical.County","Physical.State","Physical.Zipcode","Primary.NAICS.Code","Primary.NAICS.Description","Secondary.NAICS.Code","Secondary.NAICS.Description","Secondary.SIC.Code","Secondary.SIC.Description","Primary.SIC.Code","Primary.SIC.Description","Sales","Employee.All.Sites","Employee.this.Site","Sales..Year.1.","Employees.Total..Year.1.","Facility.Size","DUNS_2","orgtype_financialservices"
"1","1-800-Flowers.com","One Old Country Road, Suite 500, Carle Place, NY 11514","One Old Country Road, Suite 500","Carle Place","NY","11514","None","Craig Hoffman, Baker&Hostetler, LLP, 312 Walnut Street, Suite 3200, Cincinnati, OH 45202-4074; 513-929-3491; cahoffman@bakerlaw.com","2/15/16-2/17/16 (discovered 2/15/16)","03/08/2016","2/15/2016","2/17/2016","2/15/2016","Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.","14","2016/03","","#N/A","One Old Country Road, Suite 500, Carle Place, NY 11514","One Old Country Road, Suite 500","Carle Place","NY","11514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1 Hotel",NA,NA,NA,NA,NA,"None","Kristopher Kleiner, Associate, Norton Rose Fulbright US LLP, 313-801-2758; kris.kleiner@nortonrosefulbright.com","8/10/2016-3/9/17","08/17/2017","8/10/2016","3/9/2017",NA,"Payment card information belonging to certain individuals who provided card info when making reservations.","1","2017/08","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","101INK.COM",NA,NA,NA,NA,NA,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933","N/A","October, 2013","11/15/2013","10/1/2013",NA,NA,"Discover Card Account information may have been compromised","32","2013/11","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1st Mariner Bank","3301 Boston Street, Baltimore, MD 21224","3301 Boston Street","Baltimore","MD","21224","Joseph Howard, Esq., General Counsel, 443-573-2664; jhoward@1stMarinerBank.com","N/A","9/21/17-10/29/17","02/05/2018","9/21/2017","10/29/2017",NA,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account","8","2018/02","02-009-1809","1st Mariner Bank","3301 Boston Street, Baltimore, MD 21224","3301 Boston Street","Baltimore","MD","21224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1st National Bank of Southern California",NA,NA,NA,NA,NA,"Jeffrey Watson, Pres & CEO, 3727 Arlington Ave, Riverside, CA 92506; Ph: 951-788-2265","Jennifer Caughlin or John Mullen of Nelson Levine deLuca & Hamilton, LLC; Ph: 215-358-5134","2/1/2013","05/02/2013","2/1/2013",NA,NA,"backup tape containing customer names, addresses, SSNs, tax ID numbers, account numbers and account balances. The backup tape was password-protected. ","2","2013/05","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","21c Museum Hotels LLC","710 West Main Street, Third Floor, Louisville, Kentucky 40202","710 West Main Street, Third Floor","Louisville","KY","40202","Caroline Salomon, Counsel, csalomon@21chotels.com; 502.882.6214","N/A","8/10/16-3/9/17","07/28/2017","8/10/2016","3/9/2017",NA,"Name, shipping and billing address, email address, payment card type, payment card number, expiration date, and verification number, and potentially, the user's colesport.com account password.","4","2017/07","","#N/A","710 West Main Street, Third Floor, Louisville, Kentucky 40202","710 West Main Street, Third Floor","Louisville","KY","40202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","21st Century Oncology","2270 Colonial Boulevard, Fort Myers, FL 33907","2270 Colonial Boulevard","Fort Myers","FL","33907","None","Theodore Kobus, Esq., 212-271-1504; tkobus@bakerlaw.com","10/3/15 (discovered 11/13/15)","03/04/2016","10/3/2015",NA,"11/13/2015","Name or other personal identifier in combination with SSN","1,016","2016/03","","#N/A","2270 Colonial Boulevard, Fort Myers, FL 33907","2270 Colonial Boulevard","Fort Myers","FL","33907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","24X7",NA,NA,NA,NA,NA,"None","Gary Wachtel, Discover, 224-405-2286; garywachtel@discover.com","17-Apr","05/16/2017","4/1/2017",NA,NA,"Old Credit Card Info breached","3","2017/05","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","24X7 (Payment Ingegrator (paper)",NA,NA,NA,NA,NA,"None","Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286","16-Sep","04/17/2017","9/1/2016",NA,NA,"Discover card account information","3","2017/04","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","39DollarGlasses.com",NA,NA,NA,NA,NA,"None","Gary Wachtel, Director & Sr Counsel, 224-405-2286","10/17/2019","11/20/2017","10/17/2019",NA,NA,"Discover card information compromised","35","2017/11","03-940-9741","#N/A","","","","","","39DOLLARGLASSES.COM","Private","",NA,"","","","",40.819788,"OPTICAL GOODS STORES",-73.020018,"Manufacturer","N/A","N/A","No","","(631) 687-2020","Non-Subsidiary","",0,"","",NA,"","",NA,"Single Location","","","","","",NA,"1715 N OCEAN AVE STE B","MEDFORD","USA","SUFFOLK","NEW YORK",117632602,446130,"Optical Goods Stores","","","","",59950000,"Optical goods stores","$200,000","3","3","$200,000","3","0","44","FALSE"
