"","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01"
"Alabama",4447207,4448862,4450518,4452173,4453461,4454750,4456038,4457327,4458615,4459904,4461192,4462480,4463769,4465057,4466346,4467634,4468672,4469710,4470748,4471786,4472824,4473862,4474899,4475937,4476975,4478013,4479051,4480089,4482039,4483989,4485940,4487890,4489840,4491790,4493740,4495690,4497640,4499591,4501541,4503491,4505761,4508031,4510300,4512570,4514840,4517110,4519380,4521650,4523920,4526189,4528459,4530729,4533985,4537242,4540498,4543754,4547011,4550267,4553523,4556780,4560036,4563292,4566549,4569805,4574736,4579668,4584599,4589530,4594462,4599393,4604324,4609256,4614187,4619118,4624050,4628981,4632636,4636291,4639946,4643601,4647256,4650910,4654565,4658220,4661875,4665530,4669185,4672840,4676620,4680401,4684182,4687962,4691742,4695523,4699304,4703084,4706864,4710645,4714426,4718206,4721517,4724828,4728139,4731450,4734761,4738072,4741383,4744694,4748005,4751316,4754627,4757938,4760360,4762782,4765204,4767626,4770048,4772470,4774892,4777314,4779736,4781636,4783537,4785437,4786573,4787709,4788845,4789981,4791117,4792253,4793389,4794525,4795661,4796797,4797933,4799069,4800446,4801822,4803199,4804575,4805952,4807328,4808705,4810082,4811458,4812835,4814211,4815588,4816796,4818004,4819211,4820419,4821627,4822834,4824042,4825250,4826458,4827666,4828873,4830081,4831058,4832034,4833010,4833987,4834964,4835940,4836916,4837893,4838870,4839846,4840822,4841799,4842678,4843557,4844436,4845315,4846194,4847073,4847952,4848831,4849710,4850589,4851468,4852347,4853278,4854210,4855142,4856073,4857004,4857936,4858868,4859799,4860730,4861662,4862594,4863525,4864438,4865352,4866265,4867179,4868092,4869006,4869919,4870832,4871746,4872659,4873573,4874486,4875586,4876685,4877785,4878884,4879984,4881084,4882183,4883283,4884382,4885482,4886581,4887681,4888973,4890265,4891557,4892849,4894141,4895433,4896725,4898017,4899309,4900601,4901893,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185,4903185
"Alaska",626933,627276,627620,627963,628442,628922,629401,629880,630359,630838,631318,631797,632276,632756,633235,633714,634433,635151,635870,636588,637307,638026,638744,639463,640181,640900,641618,642337,642843,643350,643856,644363,644869,645376,645882,646388,646895,647401,647908,648414,649320,650226,651132,652038,652944,653850,654756,655662,656568,657474,658380,659286,659924,660563,661201,661839,662478,663116,663754,664393,665031,665669,666308,666946,667642,668339,669035,669731,670428,671124,671820,672517,673213,673909,674606,675302,675718,676135,676552,676968,677384,677801,678218,678634,679050,679467,679884,680300,680896,681492,682089,682685,683281,683878,684474,685070,685666,686262,686859,687455,688408,689362,690315,691268,692222,693175,694128,695082,696035,696988,697942,698895,700155,701414,702674,703933,705193,706452,707712,708971,710231,711457,712684,713910,714595,715280,715964,716649,717334,718019,718704,719389,720074,720758,721443,722128,722821,723514,724207,724900,725593,726286,726978,727671,728364,729057,729750,730443,730995,731547,732099,732651,733203,733756,734308,734860,735412,735964,736516,737068,737003,736937,736872,736806,736741,736676,736610,736545,736479,736414,736348,736283,736384,736486,736587,736688,736789,736890,736992,737093,737194,737296,737397,737498,737828,738158,738488,738817,739147,739477,739807,740137,740466,740796,741126,741456,741310,741163,741017,740871,740724,740578,740432,740285,740139,739993,739846,739700,739320,738940,738560,738180,737800,737420,737039,736659,736279,735899,735519,735139,734840,734540,734240,733941,733642,733342,733042,732743,732444,732144,731844,731545,731545,731545,731545,731545,731545,731545,731545,731545,731545,731545,731545,731545,731545,731545,731545,731545,731545
"Arizona",5130247,5140360,5150473,5160586,5169994,5179401,5188809,5198216,5207624,5217032,5226439,5235847,5245254,5254662,5264069,5273477,5283708,5293940,5304172,5314403,5324634,5334866,5345098,5355329,5365560,5375792,5386024,5396255,5405764,5415273,5424782,5434291,5443800,5453310,5462819,5472328,5481837,5491346,5500855,5510364,5522201,5534037,5545874,5557711,5569547,5581384,5593221,5605057,5616894,5628731,5640567,5652404,5667960,5683516,5699072,5714628,5730184,5745740,5761297,5776853,5792409,5807965,5823521,5839077,5854916,5870754,5886593,5902432,5918270,5934109,5949948,5965786,5981625,5997464,6013302,6029141,6040686,6052231,6063776,6075321,6086866,6098411,6109956,6121501,6133046,6144591,6156136,6167681,6177071,6186461,6195851,6205241,6214631,6224022,6233412,6242802,6252192,6261582,6270972,6280362,6285595,6290827,6296060,6301293,6306525,6311758,6316991,6322223,6327456,6332689,6337921,6343154,6348583,6354012,6359442,6364871,6370300,6375729,6381159,6386588,6392017,6397069,6402120,6407172,6412628,6418084,6423540,6428996,6434452,6439908,6445363,6450819,6456275,6461731,6467187,6472643,6479504,6486366,6493227,6500088,6506949,6513810,6520672,6527533,6534394,6541256,6548117,6554978,6561460,6567942,6574424,6580907,6587389,6593871,6600353,6606835,6613318,6619800,6626282,6632764,6640901,6649039,6657176,6665314,6673451,6681588,6689726,6697863,6706001,6714138,6722276,6730413,6738685,6746957,6755229,6763501,6771773,6780044,6788316,6796588,6804860,6813132,6821404,6829676,6838959,6848242,6857525,6866808,6876091,6885374,6894657,6903940,6913223,6922506,6931789,6941072,6949650,6958228,6966806,6975384,6983962,6992540,7001118,7009696,7018274,7026852,7035430,7044008,7053509,7063011,7072512,7082013,7091515,7101016,7110517,7120019,7129520,7139021,7148523,7158024,7168082,7178140,7188197,7198255,7208313,7218370,7228428,7238486,7248544,7258602,7268659,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717,7278717
"Arkansas",2673293,2675058,2676823,2678588,2679670,2680752,2681834,2682916,2683998,2685080,2686161,2687243,2688325,2689407,2690489,2691571,2692767,2693964,2695160,2696356,2697553,2698749,2699945,2701142,2702338,2703534,2704731,2705927,2707501,2709075,2710649,2712223,2713797,2715372,2716946,2718520,2720094,2721668,2723242,2724816,2726888,2728961,2731034,2733106,2735178,2737251,2739324,2741396,2743468,2745541,2747614,2749686,2752304,2754921,2757539,2760156,2762774,2765392,2768009,2770627,2773244,2775862,2778479,2781097,2784486,2787874,2791263,2794652,2798040,2801429,2804818,2808206,2811595,2814984,2818372,2821761,2824002,2826242,2828483,2830724,2832965,2835206,2837446,2839687,2841928,2844168,2846409,2848650,2850809,2852967,2855126,2857285,2859443,2861602,2863761,2865919,2868078,2870237,2872395,2874554,2876411,2878269,2880126,2881984,2883841,2885698,2887556,2889413,2891271,2893128,2894986,2896843,2898962,2901082,2903201,2905321,2907440,2909560,2911679,2913799,2915918,2917933,2919949,2921964,2923523,2925081,2926640,2928198,2929757,2931316,2932874,2934433,2935991,2937550,2939108,2940667,2941625,2942583,2943541,2944499,2945457,2946416,2947374,2948332,2949290,2950248,2951206,2952164,2952767,2953370,2953973,2954576,2955179,2955782,2956385,2956988,2957591,2958194,2958797,2959400,2960066,2960732,2961398,2962064,2962730,2963396,2964062,2964728,2965394,2966060,2966726,2967392,2968280,2969168,2970056,2970944,2971832,2972720,2973608,2974496,2975384,2976272,2977160,2978048,2979037,2980026,2981016,2982005,2982994,2983983,2984972,2985961,2986950,2987940,2988929,2989918,2990870,2991822,2992775,2993727,2994679,2995632,2996584,2997536,2998488,2999440,3000393,3001345,3002044,3002743,3003442,3004141,3004840,3005539,3006238,3006937,3007636,3008335,3009034,3009733,3010406,3011078,3011751,3012423,3013096,3013768,3014441,3015114,3015786,3016459,3017131,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804,3017804
"California",33871653,33910428,33949202,33987977,34028934,34069890,34110847,34151804,34192761,34233718,34274674,34315631,34356588,34397544,34438501,34479458,34512157,34544856,34577554,34610253,34642952,34675650,34708349,34741048,34773747,34806446,34839144,34871843,34903619,34935396,34967172,34998948,35030725,35062501,35094277,35126054,35157830,35189606,35221383,35253159,35279944,35306728,35333513,35360298,35387083,35413868,35440652,35467437,35494222,35521006,35547791,35574576,35595690,35616804,35637918,35659032,35680146,35701260,35722373,35743487,35764601,35785715,35806829,35827943,35844048,35860153,35876258,35892363,35908468,35924572,35940677,35956782,35972887,35988992,36005097,36021202,36040294,36059387,36078479,36097572,36116664,36135756,36154849,36173941,36193034,36212126,36231219,36250311,36279813,36309315,36338818,36368320,36397822,36427324,36456826,36486328,36515830,36545333,36574835,36604337,36634078,36663819,36693560,36723301,36753042,36782783,36812524,36842265,36872006,36901747,36931488,36961229,36993754,37026279,37058805,37091330,37123855,37156380,37188906,37221431,37253956,37275805,37297653,37319502,37346074,37372646,37399219,37425791,37452363,37478936,37505508,37532080,37558652,37585224,37611797,37638369,37664238,37690108,37715977,37741846,37767715,37793584,37819454,37845323,37871192,37897062,37922931,37948800,37974799,38000798,38026797,38052796,38078795,38104794,38130792,38156791,38182790,38208789,38234788,38260787,38288802,38316818,38344833,38372849,38400864,38428880,38456895,38484910,38512926,38540941,38568957,38596972,38623728,38650484,38677240,38703996,38730752,38757508,38784265,38811021,38837777,38864533,38891289,38918045,38938801,38959557,38980313,39001069,39021825,39042581,39063337,39084093,39104849,39125605,39146361,39167117,39183065,39199014,39214962,39230910,39246859,39262807,39278755,39294704,39310652,39326600,39342549,39358497,39367088,39375679,39384270,39392861,39401452,39410042,39418633,39427224,39435815,39444406,39452997,39461588,39465808,39470027,39474247,39478466,39482686,39486906,39491125,39495345,39499564,39503784,39508003,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223,39512223
"Colorado",4302086,4310364,4318643,4326921,4335152,4343382,4351612,4359843,4368074,4376304,4384534,4392765,4400996,4409226,4417456,4425687,4431080,4436474,4441867,4447260,4452653,4458046,4463440,4468833,4474226,4479620,4485013,4490406,4493600,4496794,4499988,4503181,4506375,4509569,4512763,4515957,4519150,4522344,4525538,4528732,4532589,4536446,4540302,4544159,4548016,4551872,4555729,4559586,4563443,4567300,4571156,4575013,4579753,4584492,4589232,4593971,4598711,4603450,4608190,4612930,4617669,4622409,4627148,4631888,4639266,4646644,4654022,4661400,4668778,4676156,4683533,4690911,4698289,4705667,4713045,4720423,4727377,4734330,4741284,4748238,4755192,4762146,4769099,4776053,4783007,4789960,4796914,4803868,4811023,4818178,4825334,4832489,4839644,4846799,4853954,4861109,4868264,4875420,4882575,4889730,4896602,4903474,4910346,4917218,4924090,4930962,4937835,4944707,4951579,4958451,4965323,4972195,4978528,4984862,4991195,4997529,5003862,5010196,5016529,5022863,5029196,5035247,5041298,5047349,5053496,5059642,5065789,5071935,5078082,5084228,5090375,5096522,5102668,5108815,5114961,5121108,5127070,5133031,5138993,5144954,5150916,5156878,5162839,5168801,5174762,5180724,5186685,5192647,5199013,5205378,5211744,5218110,5224475,5230841,5237207,5243572,5249938,5256304,5262669,5269035,5275790,5282546,5289302,5296057,5302812,5309568,5316324,5323079,5329834,5336590,5343346,5350101,5358478,5366855,5375232,5383608,5391985,5400362,5408739,5417116,5425492,5433869,5442246,5450623,5458006,5465388,5472771,5480154,5487536,5494919,5502302,5509684,5517067,5524450,5531832,5539215,5545271,5551327,5557382,5563438,5569494,5575550,5581606,5587662,5593718,5599773,5605829,5611885,5618502,5625119,5631736,5638352,5644969,5651586,5658203,5664820,5671436,5678053,5684670,5691287,5696908,5702528,5708149,5713770,5719391,5725012,5730632,5736253,5741874,5747494,5753115,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736,5758736
"Connecticut",3405650,3407692,3409735,3411777,3413532,3415287,3417042,3418796,3420551,3422306,3424061,3425816,3427570,3429325,3431080,3432835,3434994,3437154,3439314,3441473,3443632,3445792,3447952,3450111,3452270,3454430,3456590,3458749,3460881,3463014,3465146,3467278,3469410,3471542,3473675,3475807,3477939,3480072,3482204,3484336,3485316,3486296,3487276,3488255,3489235,3490215,3491195,3492175,3493154,3494134,3495114,3496094,3496999,3497904,3498810,3499715,3500620,3501525,3502430,3503335,3504240,3505146,3506051,3506956,3507831,3508707,3509582,3510457,3511333,3512208,3513083,3513959,3514834,3515709,3516585,3517460,3518278,3519095,3519912,3520730,3521548,3522365,3523182,3524000,3524818,3525635,3526452,3527270,3528796,3530322,3531847,3533373,3534899,3536424,3537950,3539476,3541002,3542528,3544053,3545579,3546931,3548284,3549636,3550988,3552341,3553693,3555045,3556398,3557750,3559102,3560455,3561807,3563173,3564538,3565904,3567269,3568635,3570000,3571366,3572731,3574097,3575769,3577442,3579114,3579878,3580642,3581406,3582170,3582934,3583698,3584463,3585227,3585991,3586755,3587519,3588283,3588805,3589327,3589849,3590371,3590893,3591415,3591937,3592459,3592981,3593503,3594025,3594547,3594572,3594596,3594620,3594645,3594670,3594694,3594718,3594743,3594768,3594792,3594816,3594841,3594815,3594788,3594762,3594735,3594709,3594682,3594656,3594630,3594603,3594577,3594550,3594524,3593907,3593290,3592674,3592057,3591440,3590823,3590206,3589589,3588972,3588356,3587739,3587122,3586374,3585625,3584877,3584128,3583380,3582632,3581883,3581135,3580386,3579638,3578889,3578141,3577737,3577334,3576930,3576526,3576123,3575719,3575315,3574912,3574508,3574104,3573701,3573297,3573149,3573001,3572853,3572705,3572557,3572408,3572260,3572112,3571964,3571816,3571668,3571520,3571001,3570481,3569962,3569442,3568923,3568404,3567884,3567365,3566845,3566326,3565806,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287,3565287
"Delaware",783559,784497,785435,786373,787150,787927,788704,789482,790259,791036,791813,792590,793368,794145,794922,795699,796572,797444,798316,799189,800062,800934,801806,802679,803552,804424,805296,806169,807155,808141,809128,810114,811100,812086,813072,814058,815044,816031,817017,818003,819070,820136,821203,822270,823336,824403,825470,826536,827603,828670,829736,830803,831999,833194,834390,835585,836781,837976,839172,840368,841563,842759,843954,845150,846326,847503,848680,849856,851032,852209,853386,854562,855738,856915,858092,859268,860308,861348,862388,863428,864468,865508,866549,867589,868629,869669,870709,871749,872759,873770,874780,875791,876801,877812,878822,879832,880843,881853,882864,883874,884529,885183,885838,886493,887147,887802,888457,889111,889766,890421,891075,891730,892419,893109,893798,894487,895177,895866,896555,897245,897934,898487,899040,899593,900242,900891,901540,902189,902838,903487,904136,904785,905434,906083,906732,907381,908031,908681,909330,909980,910630,911280,911930,912580,913230,913879,914529,915179,915879,916578,917278,917978,918678,919378,920077,920777,921477,922176,922876,923576,924319,925061,925804,926546,927289,928032,928774,929517,930259,931002,931744,932487,933217,933948,934678,935409,936139,936870,937600,938330,939061,939791,940522,941252,941891,942530,943169,943808,944447,945086,945726,946365,947004,947643,948282,948921,949580,950238,950896,951555,952214,952872,953530,954189,954848,955506,956164,956823,957544,958266,958987,959708,960430,961151,961872,962594,963315,964036,964758,965479,966169,966860,967550,968241,968931,969622,970312,971002,971693,972383,973074,973764,973764,973764,973764,973764,973764,973764,973764,973764,973764,973764,973764,973764,973764,973764,973764,973764,973764
"District of Columbia",572086,572073,572059,572046,572251,572456,572660,572865,573070,573275,573480,573685,573890,574094,574299,574504,574392,574280,574168,574055,573943,573831,573719,573607,573494,573382,573270,573158,572770,572382,571994,571606,571218,570830,570442,570054,569666,569278,568890,568502,568440,568377,568315,568253,568190,568128,568066,568003,567941,567879,567816,567754,567702,567651,567600,567548,567496,567445,567394,567342,567290,567239,567188,567136,567431,567727,568022,568318,568613,568908,569204,569499,569795,570090,570386,570681,570991,571302,571612,571922,572232,572542,572853,573163,573473,573784,574094,574404,574890,575376,575862,576348,576834,577320,577806,578292,578778,579264,579750,580236,581235,582235,583234,584233,585233,586232,587231,588231,589230,590229,591229,592228,593283,594338,595393,596448,597503,598558,599613,600668,601723,602891,604058,605226,606440,607655,608870,610084,611298,612513,613728,614942,616156,617371,618586,619800,621060,622321,623581,624841,626102,627362,628622,629883,631143,632403,633664,634924,636229,637534,638838,640143,641448,642752,644057,645362,646667,647972,649276,650581,651560,652539,653518,654497,655476,656454,657433,658412,659391,660370,661349,662328,663417,664507,665596,666685,667775,668864,669953,671043,672132,673221,674311,675400,676268,677136,678004,678872,679740,680608,681475,682343,683211,684079,684947,685815,686573,687330,688088,688845,689603,690360,691118,691876,692633,693391,694148,694906,695459,696013,696566,697120,697673,698226,698780,699333,699887,700440,700994,701547,701897,702247,702598,702948,703298,703648,703998,704348,704698,705049,705399,705749,705749,705749,705749,705749,705749,705749,705749,705749,705749,705749,705749,705749,705749,705749,705749,705749,705749
"Florida",15982571,16004219,16025867,16047515,16073303,16099090,16124878,16150665,16176453,16202240,16228028,16253816,16279603,16305391,16331178,16356966,16384666,16412367,16440067,16467767,16495468,16523168,16550868,16578569,16606269,16633969,16661670,16689370,16715596,16741822,16768049,16794275,16820501,16846728,16872954,16899180,16925406,16951632,16977859,17004085,17038354,17072624,17106893,17141163,17175432,17209702,17243971,17278240,17312510,17346779,17381049,17415318,17450878,17486438,17521998,17557558,17593118,17628678,17664238,17699798,17735358,17770918,17806478,17842038,17869117,17896197,17923276,17950355,17977435,18004514,18031593,18058673,18085752,18112831,18139911,18166990,18183728,18200465,18217203,18233941,18250678,18267416,18284154,18300891,18317629,18334367,18351104,18367842,18381131,18394419,18407708,18420996,18434285,18447574,18460862,18474151,18487439,18500728,18514016,18527305,18537750,18548195,18558640,18569085,18579530,18589974,18600419,18610864,18621309,18631754,18642199,18652644,18669162,18685681,18702199,18718718,18735236,18751755,18768273,18784792,18801310,18816052,18830795,18845537,18862845,18880154,18897462,18914770,18932079,18949387,18966695,18984004,19001312,19018620,19035929,19053237,19073619,19094001,19114383,19134765,19155147,19175530,19195912,19216294,19236676,19257058,19277440,19297822,19318472,19339122,19359772,19380422,19401072,19421722,19442371,19463021,19483671,19504321,19524971,19545621,19570645,19595669,19620694,19645718,19670742,19695766,19720790,19745814,19770838,19795863,19820887,19845911,19876172,19906433,19936694,19966955,19997216,20027476,20057737,20087998,20118259,20148520,20178781,20209042,20242745,20276448,20310151,20343854,20377557,20411260,20444962,20478665,20512368,20546071,20579774,20613477,20642655,20671833,20701011,20730189,20759367,20788545,20817723,20846901,20876079,20905257,20934435,20963613,20987005,21010397,21033789,21057181,21080573,21103965,21127357,21150749,21174141,21197533,21220925,21244317,21263769,21283220,21302672,21322124,21341575,21361027,21380479,21399930,21419382,21438834,21458285,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737,21477737
