Organization Name,Date(s) of Breach,End of Breach,Reported Date,Number of Potentially Affected Delaware Residents,Sample of Notice
Key West Hotels LLC. d/b/a  The Key Ambassador Resort Inn,2/7/2018,12/13/2018,4/2/2019,1,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Key-West-Hotels-Consumer-Notice.pdf
RS Medical,2/11/2019,2/12/2019,4/5/2019,1,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/RS-Medical-Customer-Breach-Notification-Letter.pdf
Travel Leaders Group,6/14/2018,7/25/2018,10/22/2018,1,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/11/Travel-Leaders-Group-Data-Breach-Customer-Notification-Delaware-State-Template.pdf
Inmediata Health Group Corp.,Jan-19,,4/30/2019,1027,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Inmediata-Ad-No-SSN-r3fin.pdf
Inmediata Health Group Corp.,Jan-19,,4/30/2019,1027,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Inmediata-Ad-No-SSN-Spanish-r1fin.pdf
Inmediata Health Group Corp.,Jan-19,,4/30/2019,127,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Inmediata-Ad-SSN-r4fin.pdf
Inmediata Health Group Corp.,Jan-19,,4/30/2019,127,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Inmediata-Ad-SSN-Spanish-r1fin.pdf
TengoInternet Inc.,prior to 04/18,,10/26/2018,1874,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/11/TengoInternet-Inc..pdf
ZOLL Services LLC,11/8/2018,12/28/2018,3/18/2019,1100,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/ZOLL-Notifications.pdf
Evite Inc.,2/22/2019,4/1/2019,6/10/2019,40787,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/Customer-Notice-Evite.pdf
Oklahoma Dept. of Securities (ODS),11/29/2018,12/11/2018,6/20/2019,508,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/ODS-Notice-of-Data-Event-00000002.pdf
Mediant Communications Inc.,4/1/2019,,5/31/2019,559,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/Mediant-Sample-Notice.pdf
Drury Hotels Company LLC,12/29/2017,3/13/2019,5/24/2019,6,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/Drury-Sample-Notice.pdf
Bankers Life,5/30/2018,9/13/2018,10/25/2018,9451,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/11/GEN1-and-GEN2-Notices.pdf
Dominion National,8/25/2010,3/31/2019,6/21/2019,95781,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Dominion-National-Master-Producer-and-Provider-Notices.pdf
Checkers Drive in Restaurants Inc.,Oct-18,Apr-19,5/29/2019,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/07/Checkers-Drive-In-Restaurants-Inc-Substitute-Notice-FINAL.pdf
