Case Number,Breached Entity Name,Breach type,Hawaii Residents Impacted,Link to Letter,Date Notified
2019-0554,"Jambav, Inc (""ToonDoo"")",Hackers/Unauthorized Access,7173,https://cca.hawaii.gov/ocp/files/2020/01/Notification_ToonDoo_Data_Breach.pdf,12/20/2019
2019-0436,Amateur Athletic Union,Hackers/Unauthorized Access,2977,https://cca.hawaii.gov/ocp/files/2019/09/AAU-Notice-of-Data-Event-HI-002.pdf,9/13/2019
OCP 2019-0296,Oklahoma Department of Securities,Hackers/Unauthorized Access,1028,https://cca.hawaii.gov/ocp/files/2019/07/Oklahoma_Department_of_Securities_OCP_2019-0296.pdf,6/25/2019
OCP 2019-0297,Mediant Communications Inc,Hackers/Unauthorized Access,1774,https://cca.hawaii.gov/ocp/files/2019/07/Mediant_Communications_Inc_OCP_2019-0297.pdf,6/13/2019
OCP-2019-0117,flexPATH Strategies,Hackers/Unauthorized Access,"1,573",https://cca.hawaii.gov/ocp/files/2019/04/flexPATH-Strategies-LLC-OCP-2019-0117.pdf,3/15/2019
OCP-2018-0599,"Thesy, LLC",Hackers/Unauthorized Access,"2,642",https://cca.hawaii.gov/ocp/files/2018/12/Thesy_LLC_OCP_2018-0599.pdf,11/8/2018
OCP-2018-0552,Bankers Life,Hackers/Unauthorized Access,"4,328",https://cca.hawaii.gov/ocp/files/2018/11/Bankers_Life_OCP_2018-0552.pdf,10/30/2018
OCP-2018-0314,"ComplyRight, Inc",Hackers/Unauthorized Access,"3,747",https://cca.hawaii.gov/ocp/files/2018/11/Complyright-Inc_OCP_2018-0314.pdf,7/25/2018
OCP-2018-0303,Global University,Hackers/Unauthorized Access,"1,333",https://cca.hawaii.gov/ocp/files/2018/11/Global-University_OCP_2018-0303.pdf,5/30/2018
OCP-2018-0206,"TaskRabbit, Inc",Hackers/Unauthorized Access,"4,062",https://cca.hawaii.gov/ocp/files/2018/11/TaskRabbit_Inc_OCP_2018-0206.pdf,5/18/2018
OCP-2018-0161,"Delta Air Lines, Inc",Hackers/Unauthorized Access,"2,831",https://cca.hawaii.gov/ocp/files/2018/11/Delta_Air_Lines_Inc_247ai_OCP_2018-0161.pdf,4/26/2018
OCP-2018-0133,"Orbitz, LLC",Hackers/Unauthorized Access,"1,078",https://cca.hawaii.gov/ocp/files/2018/11/Orbitz-LLC_OCP_2018-0133.pdf,4/4/2018
OCP-2017-0302,"Aqua-Aston Hospitality, LLC",Hackers/Unauthorized Access,"1,056",https://cca.hawaii.gov/ocp/files/2016/05/Aqua-Aston-Hospitality-LLC-OCP-2017-0302.pdf,7/7/2017
OCP-2017-0304,"Jackson Hewitt Tax Services, Inc",Hackers/Unauthorized Access,"5,659",https://cca.hawaii.gov/ocp/files/2016/05/Jackson-Hewitt-Tax-Services-Inc-OCP-2017-0304.pdf,4/28/2017
OCP-2017-0179,"Nutrex Hawaii, Inc",Hackers/Unauthorized Access,"1,168",https://cca.hawaii.gov/ocp/files/2016/05/Nutrex-Hawaii-Inc.-OCP-2017-0179.pdf,4/11/2017
OCP-2017-0180,Tempur-Pedic,Hackers/Unauthorized Access,"1,302",https://cca.hawaii.gov/ocp/files/2016/05/Tempur-Pedic-OCP-2017-0180.pdf,4/11/2017
OCP-2017-0181,Plow & Hearth,Hackers/Unauthorized Access,"1,834",https://cca.hawaii.gov/ocp/files/2016/05/Plow-Hearth-OCP-2017-0181.pdf,4/11/2017
OCP-2017-0118,prAna,Hackers/Unauthorized Access,"1,553",https://cca.hawaii.gov/ocp/files/2016/05/prAna-OCP-2017-0118.pdf,3/9/2017
OCP-2017-0034,"Spiraledge, Inc",Hackers/Unauthorized Access,"1,823",https://cca.hawaii.gov/ocp/files/2016/05/Spiraledge-Inc.-OCP-2017-0034.pdf,1/19/2017
OCP-2016-0445,Active Outdoors,Hackers/Unauthorized Access,"3,984",https://cca.hawaii.gov/ocp/files/2016/09/OCP-2016-0445.pdf,8/22/2016
OCP-2016-0247,"doTERRA International, LLC",Hackers/Unauthorized Access,"17,315",http://cca.hawaii.gov/ocp/files/2016/05/OCP-2016-0247.pdf,5/11/2016
OCP-2016-0145,BaileysOnline.com,Hackers/Unauthorized Access,"1,319",http://cca.hawaii.gov/ocp/files/2016/03/OCP-2016-0145.pdf,3/18/2016
OCP-2016-0087,"Gyft, Inc",Hackers/Unauthorized Access,"1,706",http://cca.hawaii.gov/ocp/files/2016/02/OCP-2016-0087.pdf,2/9/2016
OCP-2016-0044,"Matson Navigation Company, Inc","Stolen Laptops, Computers & Equipment","1,150",http://cca.hawaii.gov/ocp/files/2016/02/OCP-2016-0044.pdf,12/31/2015
OCP-2015-0692,"Digital Theatre, LLC",Hackers/Unauthorized Access,"1,453",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0692.pdf,11/12/2015
OCP-2015-0631,Scottrade,Hackers/Unauthorized Access,"32,778",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0631.pdf,10/12/2015
OCP-2015-0605,Costco Photo Center,Hackers/Unauthorized Access,"4,436",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0605.pdf,9/29/2015
OCP-2015-0602,"Yapstone, Inc",Hackers/Unauthorized Access,"3,486",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0602.pdf,9/25/2015
OCP-2015-0543,Hawaii First Federal Credit Union,Hackers/Unauthorized Access,"5,965",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0543.pdf,9/3/2015
OCP-2015-0447,UCLA Health Services,Hackers/Unauthorized Access,"5,446",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0447.pdf,7/22/2015
OCP-2015-0419,"Automotive Recovery Services, Inc dba Vehicle Donation Processing Center",Hackers/Unauthorized Access,"1,163",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0419.pdf,7/9/2015
OCP-2015-0207,Premera Blue Cross,Hackers/Unauthorized Access,"19,174",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0207.pdf,3/24/2015
OCP-2015-0104,Oahu Publications,Hackers/Unauthorized Access,"3,543",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0104.pdf,2/20/2015
OCP-2015-0082,"Anthem, Inc",Hackers/Unauthorized Access,"18,206",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0082.pdf,2/12/2015
OCP-2014-1045,"IBEW, Local 1357",Lost in Transit,"4,360",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-1045.pdf,12/19/2014
OCP-2014-0884,Viator,Hackers/Unauthorized Access,"2,500",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0884.pdf,9/23/2014
OCP-2014-0839,"The Home Depot, Inc",Hackers/Unauthorized Access,Unknown,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0839.pdf,9/10/2014
OCP-2014-0767,Time Northern Trust Company,Release/Display of Information,"1,267",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0767.pdf,7/29/2014
OCP-2014-0113,"AIG Life and Retirement, The Variable Annuity Life Insurance Co.",Data Theft by Employee or Contractor,"4,015",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0113.pdf,2/27/2014
OCP-2014-0039,Neiman Marcus Group,Hackers/Unauthorized Access,"9,680",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0039.pdf,1/25/2014
OCP-2014-0790,Target Corporation,Hackers/Unauthorized Access,"121,000",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0790.pdf,12/20/2013
OCP-2013-0775,Maricopa Community College,Hackers/Unauthorized Access,"3,828",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0775.pdf,12/13/2013
