Date Notified,Case Number,Breached Entity Name,Breach type,Hawaii Residents Impacted,Letter URL
6/25/2019,OCP 2019-0296,Oklahoma Department of Securities,Hackers/Unauthorized Access,1028,https://cca.hawaii.gov/ocp/files/2019/07/Oklahoma_Department_of_Securities_OCP_2019-0296.pdf
6/13/2019,OCP 2019-0297,Mediant Communications Inc.,Hackers/Unauthorized Access,1774,https://cca.hawaii.gov/ocp/files/2019/07/Mediant_Communications_Inc_OCP_2019-0297.pdf
3/15/2019,OCP-2019-0117,flexPATH Strategies,Hackers/Unauthorized Access,1573,https://cca.hawaii.gov/ocp/files/2019/04/flexPATH-Strategies-LLC-OCP-2019-0117.pdf
11/8/2018,OCP-2018-0599,"Thesy, LLC",Hackers/Unauthorized Access,2642,https://cca.hawaii.gov/ocp/files/2018/12/Thesy_LLC_OCP_2018-0599.pdf
10/30/2018,OCP-2018-0552,Bankers Life,Hackers/Unauthorized Access,4328,https://cca.hawaii.gov/ocp/files/2018/11/Bankers_Life_OCP_2018-0552.pdf
7/25/2018,OCP-2018-0314,"ComplyRight, Inc.",Hackers/Unauthorized Access,3747,https://cca.hawaii.gov/ocp/files/2018/11/Complyright-Inc_OCP_2018-0314.pdf
5/30/2018,OCP-2018-0303,Global University,Hackers/Unauthorized Access,1333,https://cca.hawaii.gov/ocp/files/2018/11/Global-University_OCP_2018-0303.pdf
5/18/2018,OCP-2018-0206,"TaskRabbit, Inc.",Hackers/Unauthorized Access,4062,https://cca.hawaii.gov/ocp/files/2018/11/TaskRabbit_Inc_OCP_2018-0206.pdf
4/26/2018,OCP-2018-0161,"Delta Air Lines, Inc.",Hackers/Unauthorized Access,2831,https://cca.hawaii.gov/ocp/files/2018/11/Delta_Air_Lines_Inc_247ai_OCP_2018-0161.pdf
4/4/2018,OCP-2018-0133,"Orbitz, LLC",Hackers/Unauthorized Access,1078,https://cca.hawaii.gov/ocp/files/2018/11/Orbitz-LLC_OCP_2018-0133.pdf
7/7/2017,OCP-2017-0302,"Aqua-Aston Hospitality, LLC",Hackers/Unauthorized Access,1056,https://cca.hawaii.gov/ocp/files/2016/05/Aqua-Aston-Hospitality-LLC-OCP-2017-0302.pdf
4/28/2017,OCP-2017-0304,"Jackson Hewitt Tax Services, Inc.",Hackers/Unauthorized Access,5659,https://cca.hawaii.gov/ocp/files/2016/05/Jackson-Hewitt-Tax-Services-Inc-OCP-2017-0304.pdf
4/11/2017,OCP-2017-0179,"Nutrex Hawaii, Inc.",Hackers/Unauthorized Access,1168,https://cca.hawaii.gov/ocp/files/2016/05/Nutrex-Hawaii-Inc.-OCP-2017-0179.pdf
4/11/2017,OCP-2017-0180,Tempur-Pedic,Hackers/Unauthorized Access,1302,https://cca.hawaii.gov/ocp/files/2016/05/Tempur-Pedic-OCP-2017-0180.pdf
4/11/2017,OCP-2017-0181,Plow & Hearth,Hackers/Unauthorized Access,1834,https://cca.hawaii.gov/ocp/files/2016/05/Plow-Hearth-OCP-2017-0181.pdf
3/9/2017,OCP-2017-0118,prAna,Hackers/Unauthorized Access,1553,https://cca.hawaii.gov/ocp/files/2016/05/prAna-OCP-2017-0118.pdf
1/19/2017,OCP-2017-0034,"Spiraledge, Inc.",Hackers/Unauthorized Access,1823,https://cca.hawaii.gov/ocp/files/2016/05/Spiraledge-Inc.-OCP-2017-0034.pdf
8/22/2016,OCP-2016-0445,Active Outdoors,Hackers/Unauthorized Access,3984,https://cca.hawaii.gov/ocp/files/2016/09/OCP-2016-0445.pdf
5/11/2016,OCP-2016-0247,"doTERRA International, LLC",Hackers/Unauthorized Access,17315,http://cca.hawaii.gov/ocp/files/2016/05/OCP-2016-0247.pdf
3/18/2016,OCP-2016-0145,BaileysOnline.com,Hackers/Unauthorized Access,1319,http://cca.hawaii.gov/ocp/files/2016/03/OCP-2016-0145.pdf
2/9/2016,OCP-2016-0087,"Gyft, Inc.",Hackers/Unauthorized Access,1706,http://cca.hawaii.gov/ocp/files/2016/02/OCP-2016-0087.pdf
12/31/2015,OCP-2016-0044,"Matson Navigation Company, Inc.","Stolen Laptops, Computers & Equipment",1150,http://cca.hawaii.gov/ocp/files/2016/02/OCP-2016-0044.pdf
11/12/2015,OCP-2015-0692,"Digital Theatre, LLC",Hackers/Unauthorized Access,1453,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0692.pdf
10/12/2015,OCP-2015-0631,Scottrade,Hackers/Unauthorized Access,32778,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0631.pdf
9/29/2015,OCP-2015-0605,Costco Photo Center,Hackers/Unauthorized Access,4436,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0605.pdf
9/25/2015,OCP-2015-0602,"Yapstone, Inc.",Hackers/Unauthorized Access,3486,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0602.pdf
9/3/2015,OCP-2015-0543,Hawaii First Federal Credit Union,Hackers/Unauthorized Access,5965,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0543.pdf
7/22/2015,OCP-2015-0447,UCLA Health Services,Hackers/Unauthorized Access,5446,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0447.pdf
7/9/2015,OCP-2015-0419,"Automotive Recovery Services, Inc. dba Vehicle Donation Processing Center",Hackers/Unauthorized Access,1163,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0419.pdf
3/24/2015,OCP-2015-0207,Premera Blue Cross,Hackers/Unauthorized Access,19174,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0207.pdf
2/20/2015,OCP-2015-0104,Oahu Publications,Hackers/Unauthorized Access,3543,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0104.pdf
2/12/2015,OCP-2015-0082,"Anthem, Inc.",Hackers/Unauthorized Access,18206,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0082.pdf
12/19/2014,OCP-2014-1045,"IBEW, Local 1357",Lost in Transit,4360,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-1045.pdf
9/23/2014,OCP-2014-0884,Viator,Hackers/Unauthorized Access,2500,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0884.pdf
9/10/2014,OCP-2014-0839,"The Home Depot, Inc.",Hackers/Unauthorized Access,Unknown,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0839.pdf
7/29/2014,OCP-2014-0767,Time Northern Trust Company,Release/Display of Information,1267,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0767.pdf
2/27/2014,OCP-2014-0113,"AIG Life and Retirement, The Variable Annuity Life Insurance Co.",Data Theft by Employee or Contractor,4015,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0113.pdf
1/25/2014,OCP-2014-0039,Neiman Marcus Group,Hackers/Unauthorized Access,9680,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0039.pdf
12/20/2013,OCP-2014-0790,Target Corporation,Hackers/Unauthorized Access,121000,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0790.pdf
12/13/2013,OCP-2013-0775,Maricopa Community College,Hackers/Unauthorized Access,3828,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0775.pdf
12/9/2013,OCP-2013-0770,"J.P. Morgan Chase Bank, N.A.",Hackers/Unauthorized Access,3903,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0770.pdf
10/9/2013,OCP-2013-0653,Adobe Systems,Hackers/Unauthorized Access,9439,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0653.pdf
11/28/2012,OCP-2012-1358,"State of South Carolina, Dept. of Revenue",Phishing,2394,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2012-1358.pdf
2/21/2012,OCP-2012-0353,"Trident University c/o Baker Hostetler, LLP",Hackers/Unauthorized Access,1423,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2012-0353.pdf
4/19/2011,OCP-2011-0599,ABM Industries Incorporated,"Stolen Laptops, Computers & Equipment",1523,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2011-0599.pdf
3/17/2011,OCP-2011-0545,"Health Net, Inc.",Lost in Transit,1175,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2011-0545.pdf
1/3/2011,OCP-2011-0153,Pentagon Federal Credit Union,Hackers/Unauthorized Access,2916,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2011-0153.pdf
1/5/2010,OCP-2010-0017,Lincoln Financial Advisors Corporation (LFA & LFS),Hackers/Unauthorized Access,2100,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2010-0017.pdf
8/5/2009,OCP-2009-1374,"Network Solutions, Inc.",Hackers/Unauthorized Access,2350,http://cca.hawaii.gov/ocp/files/2015/12/OCP-2009-1374.pdf
10/14/2008,OCP-2008-1040,"Wyndham Hotels and Resorts, LLC",Hackers/Unauthorized Access,1000,
6/27/2008,OCP-2008-0755,Punahou School,"Stolen Laptops, Computers & Equipment",2067,
7/11/2008,OCP-2008-0692,"24 Hour Fitness USA, Inc.","Stolen Laptops, Computers & Equipment",1506,
6/26/2008,OCP-2008-660,National Western Life Insurance Company,Release/Display of Information,1011,
4/18/2008,OCP-2008-0426,Lending Tree,Data Theft by Employee or Contractor,8368,
12/27/2007,OCP-2008-0002,GE Money-Americas,Data Theft by Employee or Contractor,1181,
9/28/2009,OCP-2007-1537,Gap Inc.,"Stolen Laptops, Computers & Equipment",2100,
9/14/2007,OCP-2007-1357,TD Ameritrade,Hackers/Unauthorized Access,33157,
7/13/2007,OCP-2007-1017,"Walt Disney Company, The dba Buena Vista Catalogue Company",Data Theft by Employee or Contractor,2457,
7/4/2007,OCP-2007-0991,"Fidelity National Information Services, Inc. dba FIS",Data Theft by Employee or Contractor,6000,
