Letter URL,Name,Incident_Began,Incident_Discovered,Incident_Ended,Incident_Reported,Total_Affected,Residents_Affected,Credit_Monitoring,Name,SSN,DOB,Drivers License,Financial Acct,Credit/Debit
https://cca.hawaii.gov/ocp/files/2019/07/Oklahoma_Department_of_Securities_OCP_2019-0296.pdf,Oklahoma Department of Securities,11-Dec-18,,,20-Jun-19,,1028,Y,Y,Y,Y,Y,Y,
https://cca.hawaii.gov/ocp/files/2019/07/Mediant_Communications_Inc_OCP_2019-0297.pdf,Mediant Communications Inc,1-Apr-19,,1-Apr-19,28-May-19,,1774,Y,Y,Y,N,N,Y,
https://cca.hawaii.gov/ocp/files/2019/04/flexPATH-Strategies-LLC-OCP-2019-0117.pdf,flexPath Strategies LLC,,,,17-Apr-19,,1573,Y,,,,,,
https://cca.hawaii.gov/ocp/files/2018/12/Thesy_LLC_OCP_2018-0599.pdf,Thesy LLC,6-Dec-17,27-Jun-18,,2-Nov-18,,,Y,,,,,,Y
https://cca.hawaii.gov/ocp/files/2018/11/Bankers_Life_OCP_2018-0552.pdf,Bankers Life,30-May-18,7-Aug-18,13-Sep-18,,,,Y,Y,Y,Y,Y,Y,Y
https://cca.hawaii.gov/ocp/files/2018/11/Complyright-Inc_OCP_2018-0314.pdf,ComplyRight Inc,20-Apr-18,22-May-18,22-May-18,,,,Y,Y,Y,,,,
https://cca.hawaii.gov/ocp/files/2018/11/Global-University_OCP_2018-0303.pdf,Global University,31-Dec-17,1-Feb-18,31-Jan-18,8-May-18,,,Y,,Y,,,,
https://cca.hawaii.gov/ocp/files/2018/11/TaskRabbit_Inc_OCP_2018-0206.pdf,TaskRabbit Inc,,12-Apr-18,,10-May-18,,,Y,Y,N,Y,N,N,Y
https://cca.hawaii.gov/ocp/files/2018/11/Delta_Air_Lines_Inc_247ai_OCP_2018-0161.pdf,[24]7.ai,26-Sep-17,,12-Oct-17,11-Apr-18,,,Y,Y,,,N,,Y
https://cca.hawaii.gov/ocp/files/2018/11/Orbitz-LLC_OCP_2018-0133.pdf,Orbitz,1-Oct-17,,22-Dec-17,22-Mar-18,,,Y,Y,N,Y,N,N,Y
https://cca.hawaii.gov/ocp/files/2016/05/Aqua-Aston-Hospitality-LLC-OCP-2017-0302.pdf,Sabre GLBL Inc,10-Aug-16,,9-Mar-17,10-Jul-17,,,N,Y,N,N,N,,Y
https://cca.hawaii.gov/ocp/files/2016/05/Jackson-Hewitt-Tax-Services-Inc-OCP-2017-0304.pdf,Jackson Hewitt Tax Services Inc,May-16,Feb-17,Dec-16,28-Apr-17,,5659,Y,Y,Y,N,Y,Y,
https://cca.hawaii.gov/ocp/files/2016/05/Nutrex-Hawaii-Inc.-OCP-2017-0179.pdf,Nutrex Hawaii Inc,,Nov-16,,24-Feb-17,,1168,,Y,N,,,,Y
https://cca.hawaii.gov/ocp/files/2016/05/Tempur-Pedic-OCP-2017-0180.pdf,Aptos Inc (Tempur Pedic),,,,10-Apr-17,,1302,Y,Y,N,N,N,,Y
https://cca.hawaii.gov/ocp/files/2016/05/Plow-Hearth-OCP-2017-0181.pdf,Aptos Inc (Plow and Hearth LLC),Feb-16,6-Feb-17,Dec-16,10-Apr-17,,1834,Y,Y,N,N,N,,Y
https://cca.hawaii.gov/ocp/files/2016/05/prAna-OCP-2017-0118.pdf,prAna,,6-Feb-17,,"17 March, 2019",,,,Y,N,N,N,,Y
