Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
A&SConstructionCo,1/29/2020,9/9/2019,2,635
ADP,2/18/2020,2/24/2020,111,"4,702"
AdvocateAuroraHealth,2/20/2020,1/1/2020,"1,133","176,000"
AffordacareUrgentCareClinics,3/27/2020,2/1/2020,23,"55,338"
AFTRARetirementFund,2/25/2020,10/24/2019,166,"57,207"
AlticeUSAInc,2/6/2020,11/4/2019,27,"52,846"
AmbianceMedicalandDaySpa,,,,
AmericanFirstFinanceInc,1/31/2020,3/20/2019,8,838
AmericanOutdoorBrandsCorporation,1/9/2020,11/27/2019,23,744
AmeriSaveMortgageCorporation,1/13/2020,10/1/2019,51,3639
Anthem,,,,
ApplicationsSoftwareTechnologyLLC,3/16/2020,3/9/2020,1,317
AshleyMadison,,,,
AthensInsuranceServicesInc,3/13/2020,7/1/2019,10,"4,457"
AugustaMotorsInc,1/28/2020,1/26/2020,3,3
AvalonHealthCareManagementInc,3/16/2020,6/17/2019,9,"13,428"
BanfiProductsCorporation,3/19/2020,2/28/2020,11,"1,092"
BaptistHealthFloyd,,,,
BarnhillContractingCompany,2/3/2020,8/16/2019,5,"8,744"
BBAMAircraftLeasingManagement,3/24/2020,4/1/2020,1,147
BCHHInc,3/27/2020,,2,542
BeatitudesCampus,2/10/2020,,1,"5,316"
BedBathBeyondInc,2/26/2020,12/23/2019,1,"2,995"
BenchmarkEducationCompany,3/13/2020,7/2/2019,3,"1,235"
BGGMCLLCHotelContessa,3/13/2020,2/18/2020,27,"3,306"
CameronMemorialCommunityHospital,2/25/2020,1/10/2020,2,
CameronMemorialCommunityHospital,,12/23/2019,1,1
CapitalOneNA,2/4/2020,5/14/2019,10,899
CarestarInc,,,,
CarnivalCorporationPLC,3/2/2020,4/11/2019,"1,699","372,500"
CaterpillarInc,2/11/2020,,1,8
CentralKansasOrthopedicGroup,1/27/2020,11/11/2019,5,"17,214"
CentralResearchInc,2/18/2020,10/12/2019,1,"1,560"
CenturyAluminumKentuckyGP,3/12/2020,8/15/2018,13,120
ChurchoftheBrethrenBenefitTrustInc,3/25/2020,2/5/2020,1,2
CityofJeffersonville,2/25/2020,1/23/2020,764,782
UrologyofIndiana,,,,
CliftonLarsonAllenLLP,3/6/2020,2/14/2020,2,263
ClinicalTechnologyInc,2/14/2020,9/11/2019,8,18
CollegeofDuPage-DataEntry,3/13/2020,1/29/2020,4,
ContainerGraphicsCorporation,2/24/2020,7/19/2019,2,155
ContinentalGroupInc,2/12/2020,1/8/2020,61,61
CottonseedLLC,2/7/2020,9/16/2019,2,817
CrownCovenantPublications,1/17/2020,9/6/2019,10,141
CygnusHomeServiceLLCdbaSchwansHomeService,2/28/2020,1/28/2020,160,"4,127"
DecronPropertiesCorporation,1/14/2020,4/28/2019,1,695
DiscoverFinancialServices,1/13/2020,4/24/2019,1,5
DoyleWealthManagementInc,3/6/2020,6/8/2019,8,"2,494"
EastHouseCorporation,2/17/2020,7/8/2019,2,"1,487"
EasternVirginiaMedicalSchool,2/24/2020,,6,"3,032"
EbyBrownCompanyLLC,3/9/2020,7/11/2018,770,"7,220"
ElkRidgeDentistry-DataEntry,3/2/2020,1/19/2020,3,"2,793"
EMCNationalLifeCompany,3/4/2020,12/8/2019,229,"10,874"
EndeavorEnergyResourcesLP,2/20/2020,1/14/2020,5,"11,014"
EnercoGroupInc,3/30/2020,10/31/2019,62,"2,238"
EnergyOneFederalCreditUnion,12/31/2019,9/19/2019,2,486
ENGIENorthAmericaInc,2/18/2020,1/31/2020,1,374
EnSiteUSA,1/14/2020,9/10/2019,4,423
Equitable,3/11/2020,3/3/2020,1,77
ErnestHealth,1/24/2020,7/1/2019,597,634
EversanaLifeSciencesServicesLLC,3/9/2020,4/1/2019,68,"6,255"
EvolucionInnovationsInc,12/31/2019,11/8/2019,322,"46,602"
ExamOne,2/11/2020,1/7/2020,1,1
ExamOne,2/26/2020,1/28/2020,1,1
FamilyandSocialServicesAdministration,3/27/2020,3/13/2020,1,1
FederatedGroupInc,2/20/2020,1/7/2020,2,108
FirstFederalBankTrust,3/13/2020,7/10/2019,6,"8,450"
FirstHeartlandCapital,2/18/2020,9/11/2019,2,198
FranciscanAllianceInc,1/29/2020,7/5/2016,40,102
FranciscanAllianceInc,1/17/2020,12/20/2019,1,1
FranciscanPhysicianNetwork,1/6/2020,2/6/2019,2,2
FranciscanPhysicianNetwork,1/2/2020,10/21/2019,1,1
FreedomFinancialNetworkLLC,3/31/2020,,8,783
FrickServicesInc,2/4/2020,1/10/2020,279,279
FrobeniusConawayCompanyPC,2/20/2020,9/23/2019,8,980
GardnerWhiteFurnitureCompanyInc,2/24/2020,2/5/2020,1,841
GeneralDynamicsInformationTechnology,3/9/2020,1/17/2020,3,330
GeneralElectricCompany,3/13/2020,2/3/2020,311,"10,275"
GenisysControlsLLC,3/26/2020,10/8/2019,5,652
GlobalExcelManagementInc,1/27/2020,7/2/2019,1,256
GoalStructuredSolutionsInc,2/14/2020,12/23/2019,1,12
GordonFeinblattLLC,2/11/2020,7/25/2019,1,"4,451"
GreaterWashingtonEducationalTelecommunicationsAssociationInc,3/12/2020,3/20/2019,2,287
Grindr,,,,
GroupOInc,2/11/2020,1/30/2020,13,"1,113"
GullettHoldingsInc,2/26/2020,12/23/2019,1,453
GuntherMeleLimited,3/31/2020,,1,147
GurleyLeepAutomotiveManagementCorporation,,2/14/2019,"4,639","7,962"
HRBlockLLC,2/21/2020,1/23/2020,1,18
HahnFinancialGroupInc,2/26/2020,1/13/2020,36,"5,237"
HamptonInnSuitesKansasCityDowntownCrossroads,2/10/2020,1/5/2020,1,19
HannaAnderssonLLC,1/15/2020,9/16/2019,"2,928",
HealthandHospitalCorporationofMarionCountyDBANorthWoodsVillage,3/18/2020,2/27/2020,1,1
HealthCareServiceCorporation,2/20/2020,8/16/2019,1,6
HeritageInsuranceServiceInc,1/17/2020,5/24/2019,146,"1,527"
HublerAutomotiveGroup,10/30/2019,10/30/2019,1,1
HydroChemLLCdbaHydroChemPSC,2/19/2020,12/30/2019,2,557
IdahoCentralCreditUnion,2/7/2020,7/29/2019,1,"17,438"
iHeartMediaEntertainmentInc,3/16/2020,,1,24
IndianaBureauofMotorVehicles,1/3/2020,12/16/2019,1,1
IndianaDepartmentofEnvironmentalManagement,2/19/2020,1/30/2020,1,1
IndianaDepartmentofEnvironmentalManagement,1/13/2020,4/9/2018,1,1
IndianaDepartmentofWorkforceDevelopment,1/17/2020,1/14/2020,1,1
IndianaDepartmentofWorkforceDevelopment,,7/14/2019,,429+
IndianaDepartmentofAdministration,1/10/2020,12/20/2019,1,1
IndianaDepartmentofWorkforceDevelopment,2/14/2020,1/29/2020,28,28
IndianaDepartmentofWorkforceDevelopment,1/29/2020,1/23/2020,1,1
IndianaDepartmentofWorkforceDevelopment,1/10/2020,12/20/2019,0,1
IndianaDepartmentofWorkforceDevelopment,4/3/2020,3/19/2020,65,65
IndianaUniversityHealthInc,3/9/2020,2/26/2020,1,1
IndianapolisNeighborhoodHousingPartnership,2/25/2020,2/17/2020,1,1
InseroCoCPAsLLP,1/20/2020,7/16/2019,3,"1,231"
InsuranceRecoveryGroup,2/18/2020,10/17/2019,1,"1,610"
InternationalMedicalGroupInc,,,,
IntuitInc,2/21/2020,9/20/2019,10,10
IntuitInc,1/22/2020,1/4/2020,1,1
JDEnglandManagementInc,1/17/2020,8/31/2019,65,"10,754"
JamaicaNationalBank,3/20/2020,3/14/2020,37,
KabbageInc,2/13/2020,1/13/2020,2,90
KayneAndersonCapitalAdvisorsLP,1/13/2020,11/26/2019,1,412
KentuckyEmployersMutualInsurance,2/13/2020,1/28/2020,7,197
Kids2Inc,3/11/2020,8/25/2019,2,499
LabtestPortalcomLLC,12/30/2019,8/17/2019,2,23
LaCrosseFootwearInc,2/7/2020,8/1/2019,5,406
LancasterArcherySupplyInc,2/21/2020,12/9/2019,157,"6,691"
LandrysInc,12/31/2019,1/18/2019,,
LandrysInc,,,,
LegacyMutualMortgage-DataPrivacy,3/24/2020,5/24/2019,17,"17,252"
LegalincCorporateServicesInc,12/31/2019,10/25/2017,42,3486
LincolnCountySouthDakota,3/19/2020,9/3/2019,2,"1,375"
LonzaAmericaInc,3/11/2020,1/4/2020,1,88
NoRespondent,,,,
Lyfebin,,,,
MatrixAbsenceManagement,3/24/2020,3/6/2020,1,
MeadvilleMedicalCenter,3/6/2020,12/5/2019,7,"6,970"
MeritizeLendingLLC,3/6/2020,9/9/2019,1,439
MillarLawAPC-DataBrech,3/27/2020,2/12/2020,3,90
MrAdamBeierleofNestlehutFinancialServicesInc,1/13/2020,10/3/2019,2,56
MrRichardDemariaofWealthCapitalGroup,2/19/2020,10/4/2019,1,631
MultisealInc,3/13/2020,,161,175
National Filter Media,3/6/2020,12/1/2019,17,214
NationalInstituteforAutomotiveServiceExcellence,3/31/2020,12/18/2019,170,"12,603"
Nature'sWayBrandsLLC,3/27/2020,8/20/2019,4,"1,821"
nbkcbank,1/17/2020,5/24/2019,11,"1,639"
NCHHealthcareSystemsInc,2/14/2020,12/19/2019,9,"54,234"
SlickWrapsInc,,,,
NeonTherapeutics,2/22/2020,7/28/2019,1,6
NorthernerScandinaviaAB,1/17/2020,11/30/2019,28,"2,091"
NutramaxLaboratories,3/27/2020,12/12/2019,1,634
NYROrganicInc,3/5/2020,8/21/2019,237,"12,999"
OkiDataAmericas,3/3/2020,10/2/2018,2,441
OmahaHotelsInc,2/26/2020,1/19/2020,1,44
OostraRouwAssociatesInc,1/24/2020,12/26/2019,2,"2,376"
OtisRBowenCenterforHumanServices,3/2/2020,8/6/2019,"4,572","4,954"
PacificGuardianLifeInsuranceCompanyLtd,2/18/2020,11/4/2019,15,"55,840"
PacificLifeInsuranceCompany,1/2/2020,10/30/2019,1,26
PacificSpecialtyInsuranceCompany,1/24/2020,3/20/2019,5,"4,957"
PCPGroupLLCdbaPellonConsumerProducts,2/14/2020,9/6/2019,1,182
PEF Services LLC,2/24/2020,11/25/2019,3,"2,397"
PersonalTouchHoldingCorp,1/28/2020,12/1/2019,"3,841","169,303"
PhoenixChildrensHospital,1/15/2020,9/5/2019,1,"2,353"
PIHHealth,1/10/2020,6/11/2019,24,"199,548"
PitneyBowes,,,,
PositecToolCorporation,3/3/2020,12/6/2019,44,"1,778"
PremierPoolsofCentralFloridaInc,1/17/2020,11/8/2019,1,75
ProfessionalEyeCareAssociatesofAmerica,3/6/2020,1/21/2020,2,79
ProfessionalGroundsInc,2/28/2020,1/25/2020,1,577
ProminentTitleAgencyLLC,2/12/2020,4/22/2019,143,"5,370"
