Respondent,Notification Sent,Breach Occurred,IN Affected,Total Affected,Status/Disposition
AandAGlobalImportsInc-DataBreach,1/9/2019,8/15/2017,553,"52,441",Closed
AbbottLaboratories-DataBreach,2/6/2019,1/19/2019,88,"16,600",Closed
AbelHR-DataBreach,4/25/2019,11/28/2018,6,2637,Open
ABMIndustriesIncorporated-DataBreach,3/12/2019,1/8/2018,652,"42,366",Open
AboundWealth-DataBreach,1/28/2019,12/23/2018,2,292,Closed
AcuityAMutualInsuranceCompany-DataBreach,3/20/2019,2/11/2019,3,221,Open
AdenaHealthSystem-DataBreach,12/31/2018,5/8/2018,3,1717,Closed
AdvocateShermanHospital-DataBreach,3/8/2019,5/8/2018,18,"5,868",Open
AeroGrowInternationalInc-DataBreach,4/5/2019,10/29/2018,424,"27,488",Open
AetnaInc-DataBreach,1/30/2019,6/1/2018,2,"2,334",Closed
AetrexWorldwideInc-DataBreach,1/17/2019,6/22/2018,206,"14,291",Closed
AGSourceInc-DataBreach,3/22/2019,12/22/2018,6,233,Open
AimbridgeHospitalityHoldingsLLC-DataBreach,12/31/2018,6/7/2018,1989,"120,573",Open
AlanaHealthcare-DataBreach,4/12/2019,12/26/2018,2,2685,Closed
AllstateInsuranceCompany-DataBreach,4/10/2019,12/21/2017,3,44,Open
ALMMediaLLC-DataBreach,1/23/2019,7/7/2018,17,933,Closed
AmericaJucieCoLLC-DataBreach,4/8/2019,11/8/2018,40,4843,Open
AmericanAssociationofNurseAnesthetists-DataBreach,3/8/2019,9/21/2018,2,438,Open
AmericanCancerSocietyInc-DataBreach,3/1/2019,1/8/2019,115,8716,Open
AmeripriseFinancialInc-DataBreach,2/27/2019,8/7/2018,21,2984,Closed
AmeripriseFinancialInc-DataBreach,1/4/2019,12/8/2018,1,1,Closed
AmeripriseFinancialInc-DataBreach,12/21/2018,8/28/2018,3,280,Closed
AntiqueMallofCrownPointInc-DataBreach,,11/8/2018,11,11,Open
AppliedBank-DataBreach,1/21/2019,10/30/2018,1,752,Closed
AppliedDataFinanceLLCdbaPersonifyFinancial-DataBreach,1/31/2019,7/21/2018,29,9.939,Closed
APRConsultingCo-DataBreach,4/10/2019,11/26/2018,2,185,Open
AprimaMedicalSoftwareInc-DataBreach,9/9/2016,9/5/2016,1,180,Open
AptusHealthInc-DataBreach,1/31/2019,8/17/2018,1,235,Closed
AspireFinancialServicesLLC-DataBreach,2/8/2019,12/5/2018,264,"6,431",Open
AssemblersInc-DataBreach,4/15/2019,2/12/2019,27,3047,Open
AssociatedVitreoretinalandUveitisConsultants-DataBreach,1/31/2019,1/11/2019,1,1,Closed
AssuredPartnersInc-DataBreach,2/26/2019,12/26/2018,1,397,Closed
Asurint-DataBreach,12/4/2018,9/21/2018,1,52,Closed
AutoTruckKargoEquipmentLLC-DataBreach,4/2/2019,7/19/2018,9,762,Open
BambooHRLLC-DataBreach,3/4/2019,2/11/2019,20,2497,Closed
BaylorScottandWhiteMedicalCenterFrisco-DataBreach,11/28/2018,9/22/2018,17,"47,984",Closed
BaysideCovenantChurchInc-DataBreach,2/5/2019,8/3/2018,1,2200,Closed
BeaconMedicalGroupAdvancedCardiovascularSpecialists-DataBreach,,,,,Open
BeaconSalesAcquisitionInc-DataBreach,3/7/2019,12/3/2018,1,,Open
BeecherCarlson-DataBreach,12/11/2018,8/7/2018,24,1597,Closed
BELUSALLC-DataBreach,12/31/2018,8/5/2018,"1,311","70,244",Closed
BelBornManagementdbaVillageHatShop-DataBreach,,,5,,Open
BKDLLP-DataBreach,3/6/2019,2/14/2019,1,537,Closed
BlackstoneInvestmentGroupInc-DataBreach,3/11/2019,11/11/2018,33,3070,Open
BlauerManufacturingCo-DataBreach,12/31/2018,9/13/2018,11,374,Closed
BoardofRegentsoftheUniversityofNebraska-DataBreach,3/27/2019,1/19/2019,1,64,Closed
BoneandJointSpecialists-DataBreach,12/11/2018,7/6/2018,1,1,Open
BookingcomBV-DataBreach,1/11/2019,12/14/2018,1,1201,Closed
BrandtInformationServicesLLC-DataBreach,4/5/2019,2/11/2019,1,137,Closed
BrightonCollectiblesLLC-DataBreach,3/22/2019,1/28/2019,75,4550,Open
BumblebeeBatteriesLLC-DataBreach,3/7/2019,7/25/2018,2,,Closed
BurtWealthAdvisors-DataBreach,4/22/2019,2/7/2019,6,410,Open
CameronMemorialCommunityHospital-DataBreach,9/14/2018,9/5/2018,1,1,Closed
