Reported Date,Org Name,URL
1/11/2018,"Deli Management, Inc. dba Jason's Deli, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/Deli_Management_Inc_533E914E3BED9.pdf
1/12/2018,"Guaranteed Rate, Inc.",https://www.iowaattorneygeneral.gov/media/cms/Guaranteed_Rate_Inc_31E27EA9FFC7B.pdf
2/5/2018,"PAR Electrical Contractors, Inc.",https://www.iowaattorneygeneral.gov/media/cms/PAR_Electrical_Contractors_Inc_18C583B1E1AD4.pdf
2/23/2018,"Mize Houser & Company, P.A.",https://www.iowaattorneygeneral.gov/media/cms/022318__Mize_Houser__Company_P_41C8BE8226FA6.pdf
2/26/2018,"MoneyGram International, Inc.",https://www.iowaattorneygeneral.gov/media/cms/022618_MoneyGram_International_492F28468D3E6.pdf
2/27/2018,FastHealth Corporation,https://www.iowaattorneygeneral.gov/media/cms/022718_FastHealth_Corporation_BC593E160E538.pdf
3/1/2018,Centris Federal Credit Union,https://www.iowaattorneygeneral.gov/media/cms/030118_Centris_Federal_Credit_Union_C682106B3D20B.pdf
3/1/2018,Equifax - Updated information,https://www.iowaattorneygeneral.gov/media/cms/3_1_18_Equifax_Release_57FAF2457AB92.pdf
3/20/2018,Orbitz,https://www.iowaattorneygeneral.gov/media/cms/032018_Orbitz_8D82B14DCDE12.pdf
4/6/2018,Blue Beacon International,https://www.iowaattorneygeneral.gov/media/cms/040618__Blue_Beacon_International__36F6DE9E03DAD.pdf
4/11/2018,Delta Airlines Inc.Ê,https://www.iowaattorneygeneral.gov/media/cms/041118__Delta_Airlines_Inc_81510CC6FC048.pdf
4/12/2018,Polk County Health Services Inc.,https://www.iowaattorneygeneral.gov/media/cms/041218__Polk_County_Health_Services_E55EC3071BF90.pdf
4/13/2018,"Best Buy Co., Inc.",https://www.iowaattorneygeneral.gov/media/cms/041318__Best_Buy_Co_F61B3BB0A0BFC.pdf
5/2/2018,"SunTrust Banks, Inc.",https://www.iowaattorneygeneral.gov/media/cms/050218_SunTrust_Banks_Inc_7E181E23BE1CD.pdf
5/3/2018,Sears Holdings Company,https://www.iowaattorneygeneral.gov/media/cms/050318__Sears_Holdings_Company_6719C0B53918A.pdf
5/8/2018,Global University,https://www.iowaattorneygeneral.gov/media/cms/050818__Global_University_E544FFD008C77.pdf
5/10/2018,Taco John's of Iowa,https://www.iowaattorneygeneral.gov/media/cms/051018__Taco_Johns_of_Iowa_4430BCF902146.pdf
5/14/2018,"TaskRabbit, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/051418_TaskRabbit_Inc_EE8A8F7A0F3E5.pdf
5/18/2018,Brinker International,https://www.iowaattorneygeneral.gov/media/cms/051818__Brinker_International_CE1B5C659E651.pdf
5/18/2018,Corporation Service Company (CSC),https://www.iowaattorneygeneral.gov/media/cms/051818__corporation_Service_Company_131C4BB7EC731.pdf
5/22/2018,"Deli Management, Inc. dba Jason's Deli, Inc. - Updated Information",https://www.iowaattorneygeneral.gov/media/cms/052218__Updated_Data_Breach_Notific_3A96889DB7AB8.pdf
6/1/2018,"Transamerica Life Insurance Company and Transamerica Retirement Solutions, LLC",https://www.iowaattorneygeneral.gov/media/cms/060118__Transamerica_Life_Insurance_1C0B2186A3994.pdf
6/7/2018,"AH 2005 Management, LP",https://www.iowaattorneygeneral.gov/media/cms/060718__AH_2005_Management_LP_B75090AE65225.pdf
6/7/2018,"Systeme Software, Inc.",https://www.iowaattorneygeneral.gov/media/cms/060718__Systeme_Software_Inc_B78EE91A29699.pdf
6/11/2018,Marion County Bank,https://www.iowaattorneygeneral.gov/media/cms/061118__Marion_County_Bank_51A8A08A7DFB6.pdf
6/12/2018,Corporation Service Company (CSC) - Updated Information,https://www.iowaattorneygeneral.gov/media/cms/061218__Corporation_Service_Company_086C008F9A006.pdf
7/3/2018,"Coty, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/070318__Coty_Inc_CF2216531CBB4.pdf
7/6/2018,International Mission Board (IMB),https://www.iowaattorneygeneral.gov/media/cms/070618__International_Mission_Board_0DE36C87FC222.pdf
7/13/2018,"ComplyRight, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/071318_ComplyRight_Inc_12DFEF77192AB.pdf
7/13/2018,"Dane Street, LLC",https://www.iowaattorneygeneral.gov/media/cms/071318_Dane_Street_LLC_974C2BCBA7DB4.pdf
7/30/2018,Unity Point Health,https://www.iowaattorneygeneral.gov/media/cms/073018_Unity_Point_Health_87A0A0D52C8A3.pdf
8/3/2018,"TCM Bank, N.A.",https://www.iowaattorneygeneral.gov/media/cms/080318__TCM_Bank_N_50328B698B4EA.pdf
8/22/2018,Cheddar's Scratch Kitchen,https://www.iowaattorneygeneral.gov/media/cms/082218__Cheddars_Scratch_Kitchen_3BB6E403925FC.PDF
9/20/2018,"Prudential Financial, Inc.",https://www.iowaattorneygeneral.gov/media/cms/092018__Prudential_Finanial_Inc_11F0457ACA9B2.pdf
10/10/2018,Shein,https://www.iowaattorneygeneral.gov/media/cms/101018__Shein_66BCAC87CB54B.pdf
10/25/2018,Bankers Life and Casualty Company,https://www.iowaattorneygeneral.gov/media/cms/102518_Bankers_Life_and_Casualty_Co_83AB768C69433.pdf
11/5/2018,"Nordstrom, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/110518_Nordstrom_Inc_48EE80D908E6A.pdf
11/12/2018,"Title Nine Sports, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/111218_Title_Nine_Sports_Inc_2A4C8095DD60A.pdf
11/13/2018,Bankers Life and Casualty Company - Breach Reporting Page,https://www.iowaattorneygeneral.gov/media/cms/111318__Bankers_Breach_Consumer_Let_ACAFE8D3F1B90.pdf
11/13/2018,Pharmacy Times Office of Continuing Professional Education,https://www.iowaattorneygeneral.gov/media/cms/111318__Pharmacy_Times_Office_of_Co_BABDD93318165.pdf
11/15/2018,"HealthEquity, Inc.",https://www.iowaattorneygeneral.gov/media/cms/111518__HealthEquity_Inc_3C2E55349A819.pdf
11/15/2018,Newegg Inc.,https://www.iowaattorneygeneral.gov/media/cms/111518_Newegg_Inc_D959758D7EFEB.pdf
11/15/2018,"Thesy, LLC",https://www.iowaattorneygeneral.gov/media/cms/111518_Thesy_LLC_2E4AA363A7ECB.pdf
11/19/2018,Francesca's Services Corporation,https://www.iowaattorneygeneral.gov/media/cms/111918__Francescas_Services_Corpora_5BFB2516B25CA.pdf
11/28/2018,Dunkin Brands Inc.,https://www.iowaattorneygeneral.gov/media/cms/112818__Dunkin_Brands_Inc_BDB118008EF4A.pdf
11/28/2018,Unified Trust Company N.A.,https://www.iowaattorneygeneral.gov/media/cms/110718__Unified_Trust_Company_N_A3549FB7D52DF.pdf
11/29/2018,LPL Financial LLC,https://www.iowaattorneygeneral.gov/media/cms/111718__LPL_Financial_LLC_2C1615BF30185.pdf
11/30/2018,Marriott International Inc.,https://www.iowaattorneygeneral.gov/media/cms/113018__Marriott_Internations_Inc_745012EF7D7B2.pdf
12/10/2018,Titan Manufacturing and Distributing Inc.Ê,https://www.iowaattorneygeneral.gov/media/cms/121018__Titan_Manufacturing_and_Dis_CCE064449C897.pdf
12/20/2018,Caribou Coffee Company,https://www.iowaattorneygeneral.gov/media/cms/122018__Caribou_Coffee_Company_3D2A32C774D6E.pdf
12/21/2018,JAND Inc. d/b/a Warby Parker,https://www.iowaattorneygeneral.gov/media/cms/122118__JAND_Inc_C160B2DEA8605.pdf
12/26/2018,"Bel USA, LLC",https://www.iowaattorneygeneral.gov/media/cms/122618__Bel_USA_LLC_2B01205616C84.pdf
12/31/2018,"Aimbridge Hospitality Holdings, LLC",https://www.iowaattorneygeneral.gov/media/cms/123118__Aimbridge_Hospitality_Holdi_9E3B7BFCC88AE.pdf
1/12/2017,"Spiraledge, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/Spiraledge_Inc_E732AA7666A5C.pdf
1/18/2017,CoPilot Provider Support Services,https://www.iowaattorneygeneral.gov/media/cms/CoPilot_Provider_Support_Services_7C161E85A2A9E.pdf
2/6/2017,Municipal Fire & Police Retirement System,https://www.iowaattorneygeneral.gov/media/cms/Municipal_Fire__Police_Retirement_S_9503A4CC92760.pdf
2/22/2017,Intex Recreation Corp.,https://www.iowaattorneygeneral.gov/media/cms/Intex_Recreation_Corp_72FF341617BB7.pdf
2/23/2017,Abbott Nutrition,https://www.iowaattorneygeneral.gov/media/cms/Abbott_Nutrition_9EA21977867F6.pdf
2/24/2017,Rod's Western Palace,https://www.iowaattorneygeneral.gov/media/cms/Rods_Western_Palace_DB3B30C40050F.pdf
2/25/2017,"Aptos, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/Aptos_Inc_33AF10146A727.pdf
