"1873349 Ontario, Inc.",itu-305364new,11/30/2018,270,"name, payment card info",malware
Athens Federal Community Bank,itu-305362new,11/30/2018,4,"name, ssn, dln, financial account numbers",unauthorized access to email account
"Rosenberg & Manente, PLLC",itu-305363new,11/30/2018,1,,unauthorized access to email accounts
"1873349 Ontario, Inc.",itu-305364 (2)new,11/30/2018,270,"name, payment card info",malware
The Tax Specialists,itu-305369new,11/30/2018,3,"name, ssn",compromised email account
Town of Christiansburg,itu-305239new,11/29/2018,11,"name, ssn, dln, financial account info, payment card info, username/ pw",phishing
Franciscan University of Steubenville,itu-305354new,11/29/2018,50,"name, ssn",email accounts compromised
Maddison & Caison,itu-305355new,11/29/2018,10,"name, address, Social Security number and other tax related information",unauthorized access
"Walters and Mason Retail, Inc. d/b/a Altar'd State",itu-305358 (1)new,11/29/2018,107,"name, address, phone number email address, payment card info",malware
"Walters and Mason Retail, Inc. d/b/a Altar'd State",itu-305358 (2)new,11/29/2018,107,"name, address, phone number email address, payment card info",malware
"Viyet, LLC DBA Sotheby's Home",itu-305359 (1)new,11/29/2018,116,"name, address, payment card",malware
"Viyet, LLC DBA Sotheby's Home",itu-305359 (2)new,11/29/2018,116,"name, address, payment card",malware
Equity Concepts LLC,itu-305360 (1)new,11/29/2018,35,"name, ssn, dln",unauthorized access to email accounts
Equity Concepts LLC,itu-305360 (2)new,11/29/2018,35,"name, ssn, dln",unauthorized access to email accounts
"Mariott International, Inc.",itu-305361 (2)new,11/29/2018,,"name, address, phone number, email address, passport number, gender, dob, starwood account info, stay dates, payment card info",unauthorized access
"Mariott International, Inc.",itu-305361new,11/29/2018,,"name, address, phone number, email address, passport number, gender, dob, starwood account info, stay dates, payment card info",unauthorized access
Dunkin Brands Inc.,itu-305237new,11/28/2018,6018,"name, email address, username, rewards info",unauthorized access
SHG Planning,itu-305238new,11/28/2018,4,"name, address, dob, ssn, financial account number",unauthorized access to email account
1-800 Contacts Inc.,itu-304904 (2)new,11/27/2018,3,"name, address, e-mail address, telephone number, contact lens prescription information, doctors name, and last four digits of credit card",programming error
1-800 Contacts Inc.,itu-304904new,11/27/2018,3,"name, address, e-mail address, telephone number, contact lens prescription information, doctors name, and last four digits of credit card",programming error
Baylor Scott & White Medical Center - Frisco,itu-305234new,11/27/2018,10,"name, address, dob, medical record number, last four digits of payment card number, ssn",unauthorized access
Synchrony Financial Card Security,itu-305235 (1)new,11/27/2018,,"name, address, payment card info, email address",malware
Synchrony Financial Card Security,itu-305235 (2)new,11/27/2018,,"name, address, payment card info, email address",malware
"Donley's, Inc.",itu-305236new,11/27/2018,1,"name, banking info",unauthorized access to server
Medtronic Minimed,itu-305372new,11/27/2018,52,"name, dob, address, payment card info, ssn",improper data retention by employee
General Electric Credit Union,itu-305232new,11/26/2018,2,"name, ssn",email account compromised
Dime Community Bank,itu-305233new,11/26/2018,1,"Social Security numbers, financial account information, dates of birth, and tax identification numbers",info inadvertently emailed to wrong recipient
"Restore Rehabilitation, Inc.",itu-305370new,11/26/2018,4,"name, address, workers compensation claim info, dob, ssn",unauthorized access
HSBC,itu-305228 (2)new,11/23/2018,20,"name, address, email address, dob, account numbers, account balance, financial info",unauthorized access
HSBC,itu-305228new,11/23/2018,20,"name, address, email address, dob, account numbers, account balance, financial info",unauthorized access
Independence Community College,itu-305229,11/23/2018,15,"names, addresses, dates of birth, Social Security numbers, drivers license numbers, passport numbers, health insurance information, student identification numbers and/or financial aid information",phishing
Sycamore Bank,itu-305150 (1),11/21/2018,1,"name, address, dln ssn, state ID numbers, taxpayer ID number",unauthorized access to email account
Sycamore Bank,itu-305150 (2),11/21/2018,1,"name, address, dln ssn, state ID numbers, taxpayer ID number",unauthorized access to email account
"Richard C. Malesich & Assoc., LLC",itu-305151,11/21/2018,1,"name, address, dob, ssn, dln, health insurance info, financial account info",phishing
Prosper,itu-305153,11/21/2018,10,"name, address, Social Security number, government identification information, or financial account information, including bank accounts",unauthorized access to email account
"The Chamberlain Group, Inc.",itu-305371,11/21/2018,12,"name, payment card info",improper use by employee
British Airways Plc,itu-305179,11/21/2018,1436,"first and last name, billing address, email address, and payment card information",malware
R.R. Bowker LLC,itu-305143,11/20/2018,425,"name, address, payment card info",malware
LPL Financial LLC,itu-304973 (UPDATE),11/19/2018,4599,"name, account number, and Social Security number.",unauthorized access
LPL Financial LLC,itu-304973,11/19/2018,4599,"name, account number, and Social Security number.",unauthorized access
"CarMax Auto Superstores, Inc.",itu-304976,11/19/2018,,"name, address, social security number, drivers license number and date of birth.",info inadvertently mailed to wrong recipient
The Hanover Insurance Company,itu-305136,11/19/2018,1,"name, dln",unauthorized access to employee email account
Francescas Services Corporation,itu-305138,11/19/2018,,"Name, address, email address, Francescas account password, payment card number, expiration date, and card security code",malware
"New York Oncology Hematology, P.C.",itu-305139,11/19/2018,74,"names, dates of birth, home addresses, email addresses, insurance information, medical information such as test results, diagnostic codes, account numbers, and service dates, ssn, dln",phishing
"Johnson, Lauder, & Savidge, LLP",itu-305365,11/19/2018,1,"name, ssn",compromised email account
El Centro Regional Medical Center,itu-304913,11/16/2018,,"username/pw, ssn",unauthorized access to server
Knob Deco,itu-304959 (1),11/16/2018,2,"name, payment card info",unauthorized access
Knob Deco,itu-304959 (2),11/16/2018,2,"name, payment card info",unauthorized access
Cincinnati Reds,itu-304969,11/16/2018,2,"name, address, ssn, w-2 tax info",criminal scheme
Maryland Paper Company Limited Partnership,itu-304970,11/16/2018,4,insurance info,unauthorized access to email account
"NextGen Healthcare, Inc.",itu-305366,11/16/2018,247,"name, address, ssn, w2 tax info",phishing
Hats.Com,itu-304907,11/15/2018,36,"name, address and credit card information",malware
"HealthEquity, Inc.",itu-304910,11/15/2018,1926,"name, social Security numbers and may have included other information such as names, HealthEquity member ID, account type (HSA, HRA, FSA, LPFSA, DCRA), contribution amount, and employers name",unauthorized access to employee email account
Newegg Inc.,itu-304912 (1),11/15/2018,3863,"name, address, payment card info",unauthorized access to website servers
Newegg Inc.,itu-304912 (2),11/15/2018,3863,"name, address, payment card info",unauthorized access to website servers
Jennifer Miller Ltd.,itu-304569,11/14/2018,19,"name, address, payment card info",malware
"Weddle Brothers Construction Companies, Inc.",itu-304475,11/13/2018,2,"name, ssn",unauthorized access to accounting program
"Ameriprise Financial, Inc.",itu-304720,11/13/2018,1,"name, address, ssn, account number",lost in transit
"Cnter for Jewish Education, Inc.",itu-304721,11/13/2018,8,"name, health info, tax info",inadvertently stored on external webserver
"Pharmacy Times Office of Continuing Professional Education, LLC",itu-304899,11/13/2018,5314,"name, Social Security number, username and password, email address and/or security prompt and answer",info inadvertently publicly available
StataCorp LLC,itu-304901,11/13/2018,58,"name, phone number, address, account username and password, and credit card information",malware
"El Paso-Los Angeles Limousine Express, Inc.",itu-304378,11/12/2018,14,"name, payment card info",unauthorized access
"B.T.C.E., Inc. d/b/a HomeBrewIt.com",itu-304715,11/12/2018,10,"name, payment card info",malware
Entrust Energy,itu-304716,11/12/2018,7,"name, ssn",unauthorized access to email account
Employee Benefit Services of Maryland,itu-304717,11/12/2018,370,"name, date of birth, Social Security Number, drivers license number, medical information, and health insurance information",unauthorized access to email account
Collier Heggerness & Bronk CPAs PS Inc.,itu-304719 (1),11/12/2018,1,"names, contact information, Social Security numbers, drivers license numbers, individual and business tax identification numbers, and financial account number",unauthorized access
Collier Heggerness & Bronk CPAs PS Inc.,itu-304719 (2),11/12/2018,1,"names, contact information, Social Security numbers, drivers license numbers, individual and business tax identification numbers, and financial account number",unauthorized access
"Simeon S. Patestas, CPA/PFS",itu-304461 (1),11/9/2018,1,"name, address, wage info, bank account info",unauthorized access to email account
"Simeon S. Patestas, CPA/PFS",itu-304461 (2),11/9/2018,1,"name, address, wage info, bank account info",unauthorized access to email account
"Alight Solutions, LLC",itu-304463,11/9/2018,3,"name, dob, ssn, address",improper use by employee
"loeb enterprises II, LLC",itu-304502,11/9/2018,59,"name, ssn, bank account info, dln, username/pw",phishing
Health Authority for the City of Huntsville,itu-304458 (1),11/8/2018,10,"name, address, dob, email address, ssn",unauthorized access
Health Authority for the City of Huntsville,itu-304458 (2),11/8/2018,10,"name, address, dob, email address, ssn",unauthorized access
Oklahoma Wesleyan University,itu-304460,11/8/2018,1,"names, social security numbers, and pay amounts",email inadvertently sent to wrong recipient
"Julep Beauty, Inc.",itu-304453,11/7/2018,9,"name, address, payment card info",malware
"Unified Trust Company, N.A.",itu-304455,11/7/2018,202,"name, date of birth address, Social Security number, and, financial account number",unauthorized access to email account
"Englert Dermatology, LLC",itu-304385,11/5/2018,119,"name, dob, ssn, employment info",info inadvertently disclosed
"Nordstrom, Inc.",itu-304386,11/5/2018,3429,"name, ssn, paycard info, banking info, salary info, dob",info improperly handled by contract employee
Peter Freuler & Associates CPA,itu-304445,11/5/2018,,"name, ssn, tax info, bank info",unauthorized access
Apollo Title Company,itu-304503,11/5/2018,2,"name, bank account info",unauthorized access to email account
"Transamerica Retirement Solutions, LLC",itu-304379 (1),11/2/2018,286,"name, ssn, retirement plan info",info inadvertently emailed to wrong recipient
"Transamerica Retirement Solutions, LLC",itu-304379 (2),11/2/2018,286,"name, ssn, retirement plan info",info inadvertently emailed to wrong recipient
"ImpactAssets, Inc.",itu-304380 (1),11/2/2018,32,"name, ssn, taxpayer ID numbers, financial account numbers, dob, birth certificates, signatures, usernames/pw",unauthorized access to email account
"ImpactAssets, Inc.",itu-304380 (2),11/2/2018,32,"name, ssn, taxpayer ID numbers, financial account numbers, dob, birth certificates, signatures, usernames/pw",unauthorized access to email account
Hemenway & Barnes LLP,itu-304381,11/2/2018,,"name, ssn",unauthorized access to email account
Sirchie Acquisition Company,itu-304382,11/2/2018,1,"name, payment card info, address",malware
Inova Health System,itu-304383,11/2/2018,2,"name, address, bank account info",unauthorized access
"Five Guys Holdings, Inc.",itu-304384 (UPDATE) (2),11/2/2018,1045,"name, address, dob, tax id number, ssn, employment info",unauthorized access to email account
"Five Guys Holdings, Inc.",itu-304384 (UPDATE) (3),11/2/2018,1045,"name, address, dob, tax id number, ssn, employment info",unauthorized access to email account
"Five Guys Holdings, Inc.",itu-304384 (UPDATE) (4),11/2/2018,1045,"name, address, dob, tax id number, ssn, employment info",unauthorized access to email account
"Five Guys Holdings, Inc.",itu-304384 (UPDATE),11/2/2018,1045,"name, address, dob, tax id number, ssn, employment info",unauthorized access to email account
"Englert Dermatology, LLC",itu-304384,11/2/2018,1045,"name, address, dob, tax id number, ssn, employment info",unauthorized access to email account
HSBC,itu-304257 (2),11/1/2018,116,"name, mailing address, phone number, email address, date of birth, account numbers, account types, account balances, transaction history, payee account information, and statement history",unauthorized access
HSBC,itu-304257,11/1/2018,116,"name, mailing address, phone number, email address, date of birth, account numbers, account types, account balances, transaction history, payee account information, and statement history",unauthorized access
Snider Fleet Solutions,itu-304376,11/1/2018,,"name, ssn, banking info",unauthorized access to email account
"Court Place Advisors, LLC",itu-304505,11/1/2018,,"name, ssn, EIN, brokerage account numbers",unauthorized access to email accounts
"DecisionHR Holdings, Inc.",itu-303891,10/31/2018,2,"name, ssn, dln, tax info, medical info",unauthorized access to email accounts
"Roy Willis Gentry CPA, P.C.",itu-304243,10/31/2018,1,"name, addrss, dob, ssn, bank account info, tax info",ransomeware
The Association of American Medical Colleges,itu-304247,10/31/2018,3,"name, bank account number",phishing
"Whole Foods Market Group, Inc.",itu-304249,10/31/2018,16,"name, bank account info, payment card info",laptop stolen from vehicle
OXO,itu-304250,10/31/2018,73,"name, payment card info",malware
"Village People, LLC",itu-304251,10/31/2018,7,"name, address, dob, ssn, dln, financial info",unauthorized access to network server
"Cendera Funding, Inc.",itu-304252,10/31/2018,2,"name, address, ssn",external hard drive stolen during burglary
NorthBay Healthcare Corporation,itu-304171,10/30/2018,2,"names, home addresses, dates of birth, email addresses, or Social Security numbers",unauthorized access
Martin Financial Group,itu-304246,10/30/2018,4,"name, dob, ssn, dln",phishing
"LJCooper Management, LLC",itu-304153,10/29/2018,1,"name, address, investment account numbers",unauthorized access
"Hairbow Center, LLC",itu-304150 (1),10/26/2018,3,"name, payment card info",malware
"Hairbow Center, LLC",itu-304150 (2),10/26/2018,3,"name, payment card info",malware
International Society of Explosives Engineers,itu-304155 (1),10/26/2018,3,"name, payment card info",unauthorized access
International Society of Explosives Engineers,itu-304155 (2),10/26/2018,3,"name, payment card info",unauthorized access
Howard University,itu-304238,10/26/2018,8,"names, bank names, bank account numbers, and bank routing numbers",phishing
"Evergreen Insurance, LLC",itu-304239,10/26/2018,2,"name, ssn",unauthorized access to email account
"Star Title Partners of Palm Harbor, LLC",itu-304240,10/26/2018,21,"name, date of birth, Social Security number, and bank name/account number/routing number",unauthorized access to employee email account
"Thesy, LLC",itu-304241,10/26/2018,3497,payment card info,malware
Banker's Life,itu-304174,10/25/2018,11170,"names, addresses, date of birth, insurance information (such as application or policy number, types of insurance, premiums, dates of service and claim amounts) and the last four digits of Social Security number",unauthorized access
Cathay Pacific Airways Limited,itu-304220,10/25/2018,22,nationality; date of birth; phone number; email; address; passport number; frequent flyer membership number; customer service remarks; and historical travel information,unauthorized access
"Net32, Inc.",itu-304229 (1),10/25/2018,,payment card info,unauthorized access
"Net32, Inc.",itu-304229 (2),10/25/2018,,payment card info,unauthorized access
"TravisMathew, LLC",itu-304230 (1),10/25/2018,55,"name, address, payment card number, username/pw",unauthorized access
"TravisMathew, LLC",itu-304230 (2),10/25/2018,55,"name, address, payment card number, username/pw",unauthorized access
Lyric Opera of Chicago,itu-304231,10/25/2018,,"name, address, ssn, w2 tax info",inadvertently sent to wrong recipient
"TengoInternet, Inc.",itu-304232 (1),10/25/2018,4238,name and username and password,unauthorized access
"TengoInternet, Inc.",itu-304232 (2),10/25/2018,4238,name and username and password,unauthorized access
"TengoInternet, Inc.",itu-304232,10/25/2018,4238,name and username and password,unauthorized access
"STL International, Inc. d/b/a Teeter",itu-304233 (1),10/25/2018,207,"name, payment card info",malware
"STL International, Inc. d/b/a Teeter",itu-304233 (2),10/25/2018,207,"name, payment card info",malware
Heartland Hotel Corporation,itu-304235,10/25/2018,1,"name, ssn",unauthorized access
"Citibank, N.A.",itu-304300,10/25/2018,3,"name, address, ssn, financial account info",improper access by employee
"Crownpeak Technology, Inc.",itu-304375,10/24/2018,2,"name, ssn, taxpayer ID number, financial account info, dln",unauthorized access to email account
Reliable Respiratory,itu-304141,10/24/2018,2,"name, date of birth, diagnosis, treatment information, medication, prescription information, billing and claims information, and health insurance information",unauthorized access to email account
"GS1 US, Inc.",itu-304142,10/24/2018,1019,"company name, address, email address, payment card info",unauthorized access
ShopStyle Inc.,itu-304144,10/24/2018,963,"name, email address, and password",unauthorized access
DC International,itu-304222,10/24/2018,,"name, address, payment card number",malware
"Guardant Health, Inc.",itu-304319,10/24/2018,3,"name, address, ssn, bank account info, dob",unauthorized access to email account
Bank of America,itu-304374,10/23/2018,1,"name, financial info",info lost in transit
TransUnion LLC,itu-304134,10/23/2018,16,"name, address, date of birth, social security number, and/or driver's license number",unauthorized access
QIAGEN,itu-304137 (1),10/23/2018,2,"name, direct deposit info, contact info, ssn",unauthorized access
QIAGEN,itu-304137 (2),10/23/2018,2,"name, direct deposit info, contact info, ssn",unauthorized access
"Uber Technologies, Inc.",itu-304140,10/23/2018,2,"name, dln",unauthorized access
Ransom Memorial Hospital,itu-304372,10/22/2018,2,"name, health info, ssn, bank account info, payment card info, dln, biometric data, passport info",unauthorized access to email accounts
Travel Leaders Group,itu-304129,10/22/2018,1,"name, address, payment card info",unauthorized access
Dr. Robert Carpenter,itu-304130 (1),10/22/2018,3,"name, ssn, health insurance info, dob",ransomware
Dr. Robert Carpenter,itu-304130 (2),10/22/2018,3,"name, ssn, health insurance info, dob",ransomware
"Strategic Risk Solutions, Inc.",itu-304131,10/22/2018,3,"name, address, ssn, dob",phishing
"Challenger Sports, Inc.",itu-304132,10/22/2018,47,"name, address, payment card info",unauthorized access
Ransom Memorial Hospital,itu-304369,10/22/2018,2,"name, health info, ssn, bank account info, payment card info, dln, biometric data, passport info",unauthorized access to email accounts
"Motif Investing, Inc.",itu-304099,10/19/2018,1,"name, ssn, transaction info",phishing
"Scrapbook.com, LLC",itu-304100,10/19/2018,10,"name, payment card info, address",malware
City of Petersburg,itu-304101,10/19/2018,,,malware
WSFS Bank,itu-304102,10/19/2018,2,"name, addres,, dob, ssn, tax info",info inadvertently disclosed
Chesapeake College,itu-304296,10/19/2018,544,"name, ssn, dln, payment card info, bankd account info, health insurance info, medical info",phishing
"Greenfield Senior Living, Inc.",itu-304106,10/18/2018,11,"name, dln",unauthorized access to email accounts
Adelman Travel Systems Inc.,itu-304107,10/18/2018,,"name, payment card info",unauthorized access
Renaissance Philanthropic Solutions Group,itu-304110 (UPDATE),10/18/2018,1694,"name, Social Security number, driver's license number, financial account information, and taxpayer identification number",phishing
Renaissance Philanthropic Solutions Group,itu-304110,10/18/2018,1694,"name, Social Security number, driver's license number, financial account information, and taxpayer identification number",phishing
"Quad Assoc, LLC",itu-304111,10/18/2018,6,"name and Social Security number, health insurance application/claims information, health insurance policy/subscriber number",unauthorized access to email account
Point Breeze Credit Union,itu-304112,10/18/2018,15,"name, ssn, dln",unauthorized access to email account
Tallahassee Memorial Healthcare,itu-304113,10/17/2018,179,"name, ssn, dob, passcodes",cyber-security attack
"Landcar Management, LTD",itu-304299,10/17/2018,1,"name, address, id numbers, financial account info, ssn",unauthorized access to email account
"Chicago Property Management & Investments, d/b/a Chicago Property Management Group",itu-304114,10/16/2018,1,"name, address, dob, dln, ssn",info contained on decommissioned computers
"Liquidity Services, Inc.",itu-304128 (2),10/16/2018,151,"name, dob, address, ssn, dln, passport numbers",unauthorized access to email account
"Liquidity Services, Inc.",itu-304128,10/16/2018,151,"name, dob, address, ssn, dln, passport numbers",unauthorized access to email account
Alaskans for Dan Sullivan,itu-304373,10/12/2018,4,"name, address, bank account info",unauthorized access
"JDA Software, Inc.",itu-304098,10/12/2018,26,email address/site pw,unauthorized access
The Prudential Insurance Company of America,itu-304094,10/11/2018,22,"name, address, dob, ssn,employment info",info inadvertently emailed to wrong recipient
Goody Tickets,itu-304095,10/11/2018,5,"name, address, username/pw, payment card info",malware
Mount Saint Mary Academy,itu-304088,10/10/2018,2,"name, ssn, bank account info",unauthorized access to email account
Envision Healthcare Corporation,itu-304091,10/10/2018,,"names, dates of birth, financial information, Social Security numbers, and driver's license numbers",unauthorized access to email accounts
SHEIN,itu-304093,10/10/2018,,"email address, pw",unauthorized access
"Decision HR Holdings, Inc.",itu-304321,10/10/2018,2,"name, ssn, dln, dob, tax info, medical info",unauthorized access to email accounts
Northwestern Mutual Life Insurance Company,itu-296816 (UPDATE),10/9/2018,3,"name, dob, ssn, health info, account info, banking info",phishing
"Beuhler's Fresh Foods, LLC",itu-304087,10/9/2018,3,"name, address, payment card info",malware
TransUnion LLC,itu-304081,10/8/2018,10,"name, address, dob, ssn, dln",unauthorized access
"McGlinchey Stafford, PLLC",itu-304084,10/8/2018,1,"name, ssn",phishing
"CNU Online Holdings, LLC and its subsidiaries, collectively d/b/a NetCredit",itu-304086,10/8/2018,1,"name, address, bank account number, last four SSN, income info",unauthorized access
"Five Below, Inc.",itu-304074,10/5/2018,163,"name, payment card info",unauthorized access
Florida Farm Bureau Casualty Insurance Company,itu-304076,10/5/2018,4,"name, driver’s license number, and Social Security number.",phishing
The George Washington University,itu-304077 (1),10/5/2018,2,"name, address, dob, passport, id card, national id number",unauthorized access
The George Washington University,itu-304077 (2),10/5/2018,2,"name, address, dob, passport, id card, national id number",unauthorized access
California State University East Bay,itu-304078,10/5/2018,12,"name, address, ssn",unauthorized access
"Monroe Energy, LLC",itu-304368,10/5/2018,1,"name, dob, ssn",info inadvertently emailed to wrong recipient
Independent Office Products & Furniture Dealers Association,itu-304071,10/4/2018,3,"name, ssn, income info, dob",info inadvertently available online
LeafFilter North LLC,itu-304073,10/4/2018,22,"name, ssn, dln, bank account info, tax ID number",phishing
"Professional Publications, Inc.",itu-304045 (1),10/3/2018,29,"name, email address, phone number, payment card info",malware
"Professional Publications, Inc.",itu-304045 (2),10/3/2018,29,"name, email address, phone number, payment card info",malware
Fellen and Fellen LLC,itu-304070,10/3/2018,1,"name, ssn, financial info, address",phishing
"New Penn Financial, LLC d/b/a Shellpoint Mortgage Servicing",itu-304079,10/3/2018,5,"name, ssn, bank account info",phishing
Hajoca Corporation,itu-304366,10/3/2018,1,"name, wages, tax info, last four digits of ssn",phishing
Dr. Amy Woodruff,itu-303876 (1),10/2/2018,2,"names, social security numbers, health insurance information, and dates of birth",ransomware
Dr. Amy Woodruff,itu-303876 (2),10/2/2018,2,"names, social security numbers, health insurance information, and dates of birth",ransomware
Quest Nutrition,itu-304325,10/2/2018,7,"name, address, username/pw, dln, medical info, financial account info, ssn,",unauthorized access to email account
Principal Financial Group,itu-304326,10/2/2018,1,"name, ssn,  employee number",inadvertently emailed to wrong recipient
Muhlenberg College,itu-303877,10/1/2018,19,"name, address, medical history",unauthorized access to email accounts
