BUSINESS NAME,NOTIFICATION DOCUMENTS,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
Advanced Care Hospital of Southern New Mexico,https://media.dojmt.gov/wp-content/uploads/General-Notice-60.pdf,2/3/2020,2/8/2020,4/15/2020,1
"Volusion, LLC",https://media.dojmt.gov/wp-content/uploads/General-Notice-61.pdf,9/7/2019,10/8/2019,4/20/2020,1944
Silicon Valley Community Foundation,https://media.dojmt.gov/wp-content/uploads/General-Notice-62.pdf,8/23/2019,8/23/2019,4/20/2020,1
Tellepsen,https://media.dojmt.gov/wp-content/uploads/General-Notice-63.pdf,2/19/2020,2/19/2020,4/15/2020,1
Oregon State University,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-45.pdf,5/6/2019,5/10/2019,7/19/2019,1
Fossil Group,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-44.pdf,5/14/2019,6/18/2019,7/18/2019,5
"Sunrise Medical Laboratories, Inc",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-43.pdf,8/1/2018,3/30/2019,7/15/2019,16
American Esoteric Laboratories,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-42.pdf,8/1/2018,3/30/2019,7/15/2019,10
CBLPath,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-41.pdf,8/1/2018,3/30/2019,7/15/2019,11
Northwood,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-40.pdf,5/3/2019,5/6/2019,7/15/2019,180
"Natera, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-39.pdf,8/1/2018,3/30/2019,7/15/2019,8
"Quest Diagnostics, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-38.pdf,8/1/2018,3/30/2019,7/13/2019,7488
Laboratory Corporation of America Holdings (LabCorp),https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-37.pdf,8/1/2018,3/30/2019,7/13/2019,4823
Cancer Treatment Centers of America,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-36.pdf,5/4/2019,5/15/2019,7/12/2019,11
Cancer Treatment Centers of America,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-35.pdf,4/17/2019,5/15/2019,7/12/2019,1
Standard Insurance Company,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-34.pdf,5/1/2019,6/4/2019,7/12/2019,16
"Zero Technologies, LLC",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-33.pdf,5/5/2019,5/5/2019,7/12/2019,37
Lifespace Communities,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-32.pdf,4/2/2019,4/9/2019,6/12/2019,2
Hamilton College,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-31.pdf,3/2/2019,3/4/2019,6/12/2019,1
Oberlin College,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-30.pdf,3/5/2019,3/5/2019,7/12/2019,1
Applied Ecological Services,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-29.pdf,6/17/2019,6/18/2019,6/12/2019,497
"Miller Kaplan Arase, LLP",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-28.pdf,3/22/2019,3/22/2019,7/10/2019,7
Wise Health System,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-27.pdf,3/14/2019,3/14/2019,7/12/2019,62
University of Nebraska Lincoln,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-26.pdf,6/10/2019,6/10/2019,7/10/2019,1
Intrepid Benefits Colorado,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-25.pdf,2/19/2019,3/29/2019,7/9/2019,4
Gettysburg Flag Works,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-24.pdf,6/1/2019,6/24/2019,7/5/2019,3
Sprint,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-23.pdf,6/22/2019,6/25/2019,7/11/2019,1
Ameritas Life Insurance Corporation,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-22.pdf,5/1/2019,6/4/2019,7/8/2019,124
The American Kennel Club,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-21.pdf,11/1/2019,5/13/2019,7/5/2019,2
Implant Direct,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-20.pdf,5/30/2019,6/4/2019,7/5/2019,1
FlexCare,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-19.pdf,3/26/2019,3/26/2019,7/3/2019,33
BBX Capital Corporation,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-18.pdf,3/26/2019,3/28/2019,7/3/2019,1
SkinSolutions.MD,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-17.pdf,4/19/2019,6/6/2019,7/3/2019,25
Colorado Eye Center,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-16.pdf,3/7/2019,3/7/2019,6/28/2019,4
McNeese State University,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-15.pdf,9/1/2018,2/22/2019,7/3/2019,1
Edgar Snyder & Associates,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-14.pdf,3/25/2019,3/28/2019,7/3/2019,1
Direct Scripts,https://media.dojmt.gov/wp-content/uploads/Direct-Scripts-Consumer-Letter.pdf,1/30/2019,2/4/2019,2/22/2019,4
"Backcountry Edge, Inc",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-13.pdf,6/3/2019,6/3/2019,6/27/2019,91
"Cvent, Inc.",https://media.dojmt.gov/wp-content/uploads/CON-Cvent-Notice-to-MT-AG-Final.pdf,4/16/2019,5/30/2019,6/28/2019,1
"City of Longmont, Colorado",https://media.dojmt.gov/wp-content/uploads/CON-Longmont-Consumer-Notification-Letter.pdf,6/6/2020,6/6/2019,6/9/2019,1
"Pride, Guida and Perez, PA",https://media.dojmt.gov/wp-content/uploads/CON-2019-06-28-MT-Security-Incident-Notification-Prida-AG118606702_1.pdf,4/11/2019,4/24/2019,6/28/2019,1
Debco Construction,https://media.dojmt.gov/wp-content/uploads/CON-20190628135910.pdf,5/4/2019,5/4/2019,6/8/2019,164
Southwest Gastroenterology,https://media.dojmt.gov/wp-content/uploads/CON-Southwest-Gastro-Notification-Template-c.pdf,1/1/2012,1/1/2015,6/28/2019,1
PAR Electrical Contractors Inc,https://media.dojmt.gov/wp-content/uploads/CON-Notice-to-MT-AG.pdf,5/28/2019,5/28/2019,6/27/2019,32
Micro-Mom Scooters d/b/a Micro Kickboard,https://media.dojmt.gov/wp-content/uploads/CON-MT-Notice-of-Data-Event-Micro-Kickboard.pdf,3/14/2019,4/25/2019,6/27/2019,4
Calista Corporation,https://media.dojmt.gov/wp-content/uploads/CON-Regulatory-Letter-dated-June-7-2019-Helena-Montana.pdf,12/9/2018,4/19/2019,6/6/2019,16
A.T. Cross Company,https://media.dojmt.gov/wp-content/uploads/CON-A.T.-Cross-Company-Notice-of-Data-Event-MT.pdf,5/9/2019,5/14/2019,6/26/2019,2
Wilmington College,https://media.dojmt.gov/wp-content/uploads/CON-MT_Notification_Ltr.pdf,4/13/2019,4/26/2019,6/24/2019,1
The National WWII Museum,https://media.dojmt.gov/wp-content/uploads/CON-Pages-from-AG-WW-II-MT-Notice-of-Data-Event.pdf,10/6/2018,1/24/2019,6/21/2019,7
National Aviation Academy,https://media.dojmt.gov/wp-content/uploads/CON-sample-letter.docx,8/1/2018,4/19/2019,6/20/2019,2
TenX Systems d/b/a ResiDex Software,https://media.dojmt.gov/wp-content/uploads/CON-Pages-from-AG-MT-AG-Notification-JM45928501.1.pdf,4/2/2019,4/9/2019,6/19/2019,33
Dawn Food Products,https://media.dojmt.gov/wp-content/uploads/CON-Notice.pdf,9/23/2018,11/28/2018,5/24/2019,1
Cancer Treatment Centers of America,https://media.dojmt.gov/wp-content/uploads/Cancer-Treatment-Centers-of-America-Consumer-Notification.pdf,3/10/2019,3/11/2019,5/10/2019,34
Wor-Wic Community College,https://media.dojmt.gov/wp-content/uploads/Wor-Wic-Community-College-Consumer-Notification.pdf,3/12/2019,3/12/2019,6/19/2019,2
"Cincinnati Bell, Inc. (Barnes Dennig & Co., Ltd.)",https://media.dojmt.gov/wp-content/uploads/Cincinnati-Bell-Inc.-Barnes-Dennig-Co.-Ltd.-Consumer-Notification.pdf,4/11/2019,4/11/2019,6/18/2019,1
HintonBurdick CPA & Advisors,https://media.dojmt.gov/wp-content/uploads/HintonBurdick-CPA-Advisors-Consumer-Notification.pdf,2/5/2019,3/5/2019,6/18/2019,5
"Humana (Availity, LLC)",https://media.dojmt.gov/wp-content/uploads/Humana-Availity-LLC-Consumer-Notification.pdf,5/24/2018,11/8/2018,2/25/2019,3
JD Bank,https://media.dojmt.gov/wp-content/uploads/JD-Bank-Consumer-Notification.pdf,2/19/2019,2/26/2019,6/17/2019,10
Princess Polly Group Pty. Ltd.,https://media.dojmt.gov/wp-content/uploads/Princess-Polly-Group-Pty-Ltd-Consumer-Notification.pdf,11/1/2018,4/29/2019,6/6/2019,108
Nassau Educators Federal Credit Union,https://media.dojmt.gov/wp-content/uploads/Nassau-Educators-Federal-Credit-Union-Consumer-Notification.pdf,12/21/2018,3/14/2019,6/7/2019,7
"Avalara, Inc. (eCompli Inc.)",https://media.dojmt.gov/wp-content/uploads/Avalara-Inc.-eCompli-Inc.-Consumer-Notification.pdf,5/22/2019,5/22/2019,6/6/2019,2
Darwin's Natural Pet Products,https://media.dojmt.gov/wp-content/uploads/Darwin’s-Natural-Pet-Products-Consumer-Notification.pdf,9/27/2016,3/16/2019,6/7/2019,87
"Sage Advisors, LLC",https://media.dojmt.gov/wp-content/uploads/Sage-Advisors-LLC-Consumer-Notification.pdf,2/12/2019,3/26/2019,6/6/2019,11
"Eton Advisors Group, LLC",https://media.dojmt.gov/wp-content/uploads/Eton-Advisors-Group-LLC-Consumer-Notification.pdf,4/30/2019,4/30/2019,5/31/2019,1
Manning Silverman & Company,https://media.dojmt.gov/wp-content/uploads/Manning-Silverman-Consumer-Notification.pdf,1/1/2019,2/28/2019,6/6/2019,1
RealtyShares,https://media.dojmt.gov/wp-content/uploads/RealtyShares-Consumer-Notification.pdf,5/15/2019,5/15/2019,6/5/2019,1
