Raw Data,Data Pulled
"Aaron's, October 18 2011 ",1/18/2019
"ABM Industries Inc.March 08, 2018 ",1/18/2019
"ABM Industries Inc., November 14, 2017 ",1/18/2019
"AB Acquisition LLC (Shaw's) September 29, 2014 ",1/18/2019
"AB Acquisition LLC (Shaw's) August 29, 2014 ",1/18/2019
"AB Acquisition LLC (Shaw's), August 15, 2014 ",1/18/2019
"ABB, Inc., September 11, 2017 ",1/18/2019
"Abbott Medical Optics Inc., February 01, 2010 ",1/18/2019
"Abbott Nutrition, February 23, 2017 ",1/18/2019
"ABC Carpet and Home, October 09, 2017 ",1/18/2019
"ABC Bus Companies, Inc., March 02. 2018 ",1/18/2019
"ABC Phones of North Carolina, Inc. dba Victra, April 13, 2018 ",1/18/2019
"Abel Womack, March 09, 2016 ",1/18/2019
"Abeles & Hoffman, PC, February 13, 2018 ",1/18/2019
"Abercrombie & Fitch, April 15, 2015 ",1/18/2019
"Abilene Telco FCU, October 10, 2011 ",1/18/2019
"Academy of Art University, April 12, 2016 ",1/18/2019
"Academy of Nutrition and Dietetics, August 02, 2016 ",1/18/2019
"Ace Surgical Supply, September 15, 2015 ",1/18/2019
"Acer Service Corporation, June 03, 2016 ",1/18/2019
"Accucom Corporation, February 22, 2012 ",1/18/2019
"Acosta, Inc. (Mosaic Sales Solutions US Operating Co. LLC), December 12, 2014 ",1/18/2019
"Acquis Consulting Group LLC, December 20, 2018 ",1/18/2019
"Acronis, Inc., March 04, 2016 ",1/18/2019
"Actelis Networks, Inc. December 13, 2013 ",1/18/2019
"Actifio, Inc., March 02, 2016 ",1/18/2019
"ACTIVE Network, February 23, 2018 ",1/18/2019
"ACTIVEOutdoors, September 19, 2016 ",1/18/2019
"Acumentrics Corporation, June 11, 2012 ",1/18/2019
"ADF International, Inc., April 12, 2017 ",1/18/2019
"Adobe Systems, October 02, 2013 ",1/18/2019
"Adopt A Highway Maintenance Corporation, December 03, 2018 ",1/18/2019
"Advance Auto Parts, March 15, 2016 ",1/18/2019
"Advanced Data Processing, Inc., November 28, 2012 ",1/18/2019
"Advanced Graphic Products, Inc., February 01, 2018 ",1/18/2019
"AdvancePierre Foods, October 06, 2010 ",1/18/2019
"Advantage Funding Company, September 26 2014 ",1/18/2019
"Advisory Research, Inc., October 24, 2017 ",1/18/2019
"Advocate Medical Group, August 23, 2013 ",1/18/2019
"Aegis Sciences Corporation, December 20, 2011 ",1/18/2019
"AeroGrow International, Inc., June 03, 2015 ",1/18/2019
"AeroGrow International, Inc., July 09, 2015 ",1/18/2019
"AerServ, owned by InMobi, December 02, 2018 ",1/18/2019
"Aetna, December 29, 2016 ",1/18/2019
"Affinity Gaming, May 16 2014 ",1/18/2019
"Affinity Gaming, December 19, 2013 ",1/18/2019
"Affy Tapple, LLC, February 24, 2017 ",1/18/2019
"Aflac, September 28, 2018 ",1/18/2019
"Aflac, October 03, 2016 ",1/18/2019
