Org Name,Original Text,Reported Date,URL
A&A Global Imports Inc,"A&A Global Imports Inc, January 9, 2019 ",1/9/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/ez-up-20190111.pdf
AAR CORP.,"AAR CORP., August 12, 2019 ",8/12/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aar-corp-20190812.pdf
Aaron's,"Aaron's, October 18 2011 ",10/18/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/aarons-20111018.pdf
ABM Industries Incorporated,"ABM Industries Incorporated, July 23, 2019 ",7/23/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-industries-20190723.pdf
ABM Industries Inc,"ABM Industries Inc, March 08, 2018 ",3/8/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20180308.pdf
ABM Industries Inc,"ABM Industries Inc, November 14, 2017 ",11/14/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20171114.pdf
AB Acquisition LLC (Shaw's),"AB Acquisition LLC (Shaw's), September 29, 2014 ",9/29/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140929.pdf
AB Acquisition LLC (Shaw's),"AB Acquisition LLC (Shaw's), August 29, 2014 ",8/29/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140829.pdf
AB Acquisition LLC (Shaw's),"AB Acquisition LLC (Shaw's), August 15, 2014 ",8/15/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140815.pdf
ABB Inc,"ABB Inc, September 11, 2017 ",9/11/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/abb-20170911.pdf
Abbott Laboratories,"Abbott Laboratories, February 5, 2019 ",2/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-laboratories-20190205.pdf
Abbott Medical Optics Inc,"Abbott Medical Optics Inc, February 01, 2010 ",2/1/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-medical-20100201.pdf
Abbott Nutrition,"Abbott Nutrition, February 23, 2017 ",2/23/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-nutition-20170223.pdf
ABC Carpet and Home,"ABC Carpet and Home, October 09, 2017 ",10/9/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-carpet-home-20171009.pdf
ABC Bus Companies Inc,"ABC Bus Companies Inc, March 02, 2018 ",3/2/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-bus-20180302.pdf
ABC Phones of North Carolina Inc dba Victra,"ABC Phones of North Carolina Inc dba Victra, April 13, 2018 ",4/13/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-phones-20180413.pdf
ABM Industries Incorporated,"ABM Industries Incorporated, March 19, 2019 ",3/19/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-industries-20190319.pdf
Abel Womack,"Abel Womack, March 09, 2016 ",3/9/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/abel-womack-20160309.pdf
Abel HR,"Abel HR, April 29, 2019 ",4/29/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/abel-hr-20190429.pdf
Abeles & Hoffman PC,"Abeles & Hoffman PC, February 13, 2018 ",2/13/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/abeles-20180213.pdf
Abercrombie & Fitch,"Abercrombie & Fitch, April 15, 2015 ",4/15/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/abercrombie-fitch-20150415.pdf
Abilene Telco FCU,"Abilene Telco FCU, October 10, 2011 ",10/10/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/abilene-telco-fcu-20111010.pdf
Academy of Art University,"Academy of Art University, April 12, 2016 ",4/12/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/academy-of-art-20160412.pdf
Academy of Nutrition and Dietetics,"Academy of Nutrition and Dietetics, August 02, 2016 ",8/2/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/academy-nutrition-dietetics-20160802.pdf
Ace Surgical Supply,"Ace Surgical Supply, September 15, 2015 ",9/15/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/ace-surgical-supply-20150915.pdf
Acer Service Corporation,"Acer Service Corporation, June 03, 2016 ",6/3/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/acer-service-20160603.pdf
Accucom Corporation,"Accucom Corporation, February 22, 2012 ",2/22/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/accucom-20120222.pdf
Accurate Word,"Accurate Word, September 16, 2019 ",9/16/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/accurate-word-20190916.pdf
Acosta Inc (Mosaic Sales Solutions US Operating Co. LLC),"Acosta Inc (Mosaic Sales Solutions US Operating Co. LLC), December 12, 2014 ",12/12/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/acosta-20141212.pdf
Acquis Consulting Group LLC,"Acquis Consulting Group LLC, December 20, 2018 ",12/20/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/acquis-consulting-20181220.pdf
Acronis Inc,"Acronis Inc, March 04, 2016 ",3/4/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/acronis-20160304.pdf
Actelis Networks Inc,"Actelis Networks Inc, December 13, 2013 ",12/13/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/actelis-networks-20131213.pdf
Actifio Inc,"Actifio Inc, March 02, 2016 ",3/2/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/actifio-20160302.pdf
ACTIVE Network,"ACTIVE Network, February 23, 2018 ",2/23/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/active-20180223.pdf
ACTIVEOutdoors,"ACTIVEOutdoors, September 19, 2016 ",9/19/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/activeoutdoors-20160919.pdf
Acumentrics Corporation,"Acumentrics Corporation, June 11, 2012 ",6/11/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/acumentrics-20120611.pdf
ADF International Inc,"ADF International Inc, April 12, 2017 ",4/12/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/adf-20170412.pdf
Adobe Systems,"Adobe Systems, October 02, 2013 ",10/2/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/adobe-systems-20131002.pdf
Adopt A Highway Maintenance Corporation,"Adopt A Highway Maintenance Corporation, December 03, 2018 ",12/3/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/adopt-a-highway-20181203.pdf
Advance Auto Parts,"Advance Auto Parts, March 15, 2016 ",3/15/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/advance-auto-20150315.pdf
Advanced Data Processing Inc,"Advanced Data Processing Inc, November 28, 2012 ",11/28/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/advanced-data-processing-20121128.pdf
Advanced Graphic Products Inc,"Advanced Graphic Products Inc, February 01, 2018 ",2/1/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/advanced-graphic-20180201.pdf
AdvancePierre Foods,"AdvancePierre Foods, October 06, 2010 ",10/6/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/advancepierre-20111006.pdf
Advantage Funding Company,"Advantage Funding Company, September 26, 2014 ",9/26/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/advantage-funding-20140926.pdf
Advisory Research Inc,"Advisory Research Inc, October 24, 2017 ",10/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/advisory-reearch-20171024.pdf
Advocate Medical Group,"Advocate Medical Group, August 23, 2013 ",8/23/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/advocate-medical-group-20130823.pdf
Aegis Medical Group LLC,"Aegis Medical Group LLC, November 8, 2019 ",11/8/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aegis-medical-group-20191108.pdf
Aegis Sciences Corporation,"Aegis Sciences Corporation, December 20, 2011 ",12/20/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/aegis-20111220.pdf
Aeroflow,"Aeroflow, May 20, 2019 ",5/20/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aeroflow-20190520.pdf
Aerogrow International Inc,"Aerogrow International Inc, April 17, 2019 ",4/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-20190417.pdf
AeroGrow International Inc,"AeroGrow International Inc, June 03, 2015 ",6/3/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-international-20150603.pdf
AeroGrow International Inc,"AeroGrow International Inc, July 09, 2015 ",7/9/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-20150709.pdf
AerServ owned by InMobi,"AerServ owned by InMobi, December 02, 2018 ",12/2/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/aerserv-20181206.pdf
Aetna,"Aetna, December 29, 2016 ",12/29/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/aetna-20161229.pdf
Aetrex Worldwide Inc,"Aetrex Worldwide Inc, January 22, 2019  ",1/22/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aetrex-20190122.pdf
Affinity Gaming,"Affinity Gaming, May 16, 2014 ",5/16/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/affinity-gaming-20140516.pdf
Affinity Gaming,"Affinity Gaming, December 19, 2013 ",12/19/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/affinity-gaming-20131219.pdf
Affy Tapple LLC,"Affy Tapple LLC, February 24, 2017 ",2/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/affy-tapple-20170224.pdf
Aflac,"Aflac, September 28, 2018 ",9/28/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/aflac-20180928.pdf
Aflac,"Aflac, October 03, 2016 ",10/3/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/aflac-20151003.pdf
AG Source Inc,"AG Source Inc, February 05, 2019 ",2/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/ag-source-20190205.pdf
Agenus,"Agenus, April 19, 2016 ",4/19/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/agenus-20160419.pdf
Agri Beef Co.,"Agri Beef Co., May 11, 2017 ",5/11/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/agri-beef-20170511.pdf
Agri Supply,"Agri Supply, March 1, 2019 ",3/1/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/agri-supply-20190301.pdf
AHW LLC,"AHW LLC, November 11, 2013 ",11/11/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/ahw-llc-20131111.pdf
AHW LLC,"AHW LLC, May 22, 2013 ",5/22/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/ahw-20130522.pdf
AirBorn Inc,"AirBorn Inc, June 13, 2014 ",6/13/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/airborn-20140613.pdf
AIM Inc,"AIM Inc, April 2, 2016 ",4/2/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/aim-20160426.pdf
Ambridge Hospitality Holdings LLC,"Ambridge Hospitality Holdings LLC, January 3, 2019 ",1/3/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aimbridge-20190103.pdf
Aimbridge Hospitality Holdings LLC,"Aimbridge Hospitality Holdings LLC, June 07, 2018 ",6/7/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/aimbridge-20180607.pdf
Air Canada,"Air Canada, August 31, 2018 ",8/31/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/air-canada-20180831.pdf
Akin Doherty Klein & Feuge P.C,"Akin Doherty Klein & Feuge P.C, May 17, 2019 ",5/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/akin-doherty-klein-feuge-20190517.pdf
Aires,"Aires, August 5, 2019 ",8/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aires-20190805.pdf
Airway Oxygen Inc,"Airway Oxygen Inc, June 02, 2017 ",6/2/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/airway-oxygen-20170602.pdf
Airway Oxygen Inc,"Airway Oxygen Inc, May 30, 2017 ",5/30/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/airway-oxygen-20170530.pdf
Akira,"Akira, September 01, 2017 ",9/1/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/akira-20170901.pdf
Akorn Inc,"Akorn Inc, June 04, 2015 ",6/4/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/akorn-20150604.pdf
