Company,Date,Type,Description,NJCCIC Recommendation
OXO,"January 15, 2019",Data Breach,"Kitchen and houseware manufacturer, OXO International, disclosed that customer contact and payment information from their e-commerce site may have been accessed multiple times over a two year period. OXO discovered their servers were compromised from June 9, 2017 - November 28, 2017, June 8, 2018 - June 9, 2018, and July 20, 2018 - October 16, 2018, but believe that attempts to steal data may have been unsuccessful. OXO has since fixed the vulnerabilities present in their servers, and sent out notification emails to affected customers containing a member ID for a year of free credit-monitoring services from Kroll. Bleeping Computer attributes at least one of the attacks to MageCart: several hacker groups who inject malicious scripts onto legitimate webpages in order to steal payment information.",
Update: Marriott,"January 15, 2019",Data Breach,"On January 3, Marriott International provided an update on the breach originally disclosed on November 30. During the four-year intrusion, threat actors stole data on approximately 383 million customers, down from the original estimate of 500 million. In addition, of the 25.5 million passport numbers accessed, 5.25 were stored in clear text, allowing threat actors to more easily steal customers’ identities. Customers can contact Marriott to determine if their passport number was included in the unencrypted set. Marriott previously stated they would compensate customers for passport replacements if they could prove fraud had occurred. About 8.6 million encrypted payment cards were also exposed; however, only 354,000 were unexpired as of September 2018. Customers can take advantage of free web monitoring services offered by Marriott by visiting https://info.starwoodhotels.com/.",
Town of Salem,"January 8, 2019",Data Breach,"Personal details of 7.6 million users of BlankMediaGames’ browser-based game “Town of Salem” were exposed after its servers were hacked. The exfiltrated data includes usernames, email addresses, passwords in various hashing formats, IP addresses, game and forum activity, and purchased premium game features. No payment details were revealed. The data was sent to DeHashed, a commercial data breach indexing site and shared with the similar Have I Been Pwned site. Town of Salem users are advised to visit either website to determine if their information was exposed. All users are encouraged to change their account passwords as well as passwords for any other account that shares the same credentials. BlackMediaGames published a forum post addressing the issue here.",
Caribou Coffee,"January 2, 2019",Data Breach,"Caribou Coffee recently suffered a data breach exposing customer payment information taken from 265 US stores during a three-month period. An unauthorized party had access to point-of-sale systems between August 28-December 3, 2018, revealing customer names, payment card numbers, expiration dates, and security codes. Payments made through its rewards program were unaffected. Impacted customers are advised to monitor financial accounts for suspicious activity, notify their card issuers immediately if they notice unauthorized charges made to their accounts, and take advantage of any free credit monitoring services offered by Caribou Coffee.",
Facebook API,"December 26, 2018",Data Breach,"Facebook announced that a flaw in its application programming interface (API) may have allowed photos from 6.8 million accounts to be accessed by unauthorized third-parties. While these applications received user permissions to access Facebook photos, they are ordinarily restricted to content published on the user’s Timeline; however, from September 13 through September 25, this permission extended to other sections of the user’s profile, such as Marketplace, Facebook Stories, and photos the user uploaded but never published. Facebook estimates that 1,500 apps from 876 developers could have accessed the image content during this time. Potentially impacted users will be notified via Facebook.",
Quora,"December 11, 2018",Data Breach,"Quora, a community question and answer website, suffered a data breach that exposed information on 100 million users. Threat actors accessed account information such as name, email address, and encrypted passwords; public content such as questions, answers, and comments; and non-public content such as direct messages. Quora has engaged digital forensic and security experts to investigate and will notifying all impacted users. The full security update can be found here.",
Marriott,"December 11, 2018",Data Breach,"Marriott announced  a data security incident that impacted up to 500 million guests who made a reservation at a Starwood property during the last four years. According to the company’s notification, the Starwood guest reservation database has been accessed by unauthorized actors since 2014. Compromised information includes customer names, and potentially their corresponding physical and email addresses. Passport number, Starwood Preferred Guest (SPG) account information, date of birth, gender, reservation details, and communication preferences may have also been exposed for approximately 327 million of the total guests affected. Marriott was alerted to the issue on September 8th of this year and began notifying affected customers via email on November 30th.",The NJCCIC recommends those who stayed at a Starwood property during the last four years closely monitor their accounts and report fraudulent activity as soon as possible. We also recommend enrolling in any free credit monitoring programs offered by Marriott.
US Postal Service,"December 4, 2018",Data Breach,"A security researcher discovered a flaw in the US Postal Service (USPS) website, usps[.]com, which allowed any logged in user to access the information of over 60 million other user accounts by conducting a simple query. The exposure stemmed from an application programming interface (API) used to support USPS’s Informed Visibility service, a program that provides real-time tracking of mail. Potentially accessed information includes email address, username, user ID, account number, address, and phone number. USPS fixed the issue on November 20th of this year.",
Dunkin’,"December 4, 2018",Data Breach,"Dunkin’ announced that a third-party obtained access to some DD Perks accounts using usernames and passwords disclosed in data breaches at other companies, known as a credential stuffing attack. If accountholders used the same credentials for their DD Perks account that were exposed in a previous breach, the threat actors were able to gain access to their account, revealing customers’ first and last names, addresses, and account numbers. Dunkin’ forced a password reset to all potentially affected accountholders. It is important to immediately change passwords that have been disclosed in a breach, as well as passwords for any other accounts that share the same credentials. It is highly recommended to avoid reusing passwords across multiple accounts and enable multi-factor authentication where available to prevent credential stuffing attacks.",
Kars4Kids,"November 20, 2018",Data Breach,"On November 3, Bob Diachenko, Director of Cyber Risk Research at Hacken, discovered a publicly accessible MongoDB that contained the personal information of approximately 21,612 Kars4Kids donors and customers. Exposed information included email addresses, as well as credentials that could be used to access additional data such as donation receipts, home addresses, phone numbers, and vacation vouchers; super administrator login and password details were also accessible. According to a representative from the company, the database has since been secured and affected individuals have been notified.",
HSBC,"November 13, 2018",Data Breach,"HSBC bank has suffered a data breach, allowing threat actors to gain access to some customers’ information including account numbers, balances, addresses, and transaction history. Unauthorized actors accessed user accounts from October 4, 2018 to October 14, 2018, likely through credential stuffing attacks. HSBC suspended impacted accounts after detecting the activity and will contact users via email or phone to assist them in accessing their accounts and changing their online banking credentials. The breach reportedly affects about 1 percent of US HSBC accounts. HSBC is offering one year of credit monitoring and identity theft protection services.",
Cathay Pacific Airways,"October 30, 2018",Data Breach,"Cathay Pacific Airways announced that some of their customer data was accessed by an unauthorized party, although there is currently no evidence to suggest that this information has been misused. The accessed data includes passenger name, nationality, date of birth, phone number, email, address, passport and identity card number, frequent flyer member number, customer service remarks, and historical travel information; passwords were not compromised. According to the company’s statement , some expired credit card numbers and those without CVV numbers were also exposed. Official notifications related to this incident will be sent from an address containing the format infosecurity[@]cathaypacific[.]com.","The NJCCIC recommends impacted Cathay Pacific Airways customers closely monitor their credit profiles and financial accounts and immediately report any suspicious activity. Additionally, if individuals are concerned their information may have been exposed in this incident they can file a request with Cathay Pacific here."
Pentagon,"October 24, 2018",Data Breach,"The Pentagon disclosed a breach of Defense Department travel records that compromised the personal information and credit card data of US military and civilian personnel. Pentagon spokesman Lieutenant Colonel Joseph Buccino stated that the breach initiated from a commercial vendor that provided service to the Defense Department. The size and scope of the cyber incident is currently unknown but is believed to affect as many as 30,000 individuals. The Defense Department will make notifications to the affected personnel.","The NJCCIC recommends those impacted monitor their financial accounts and credit profile, report unauthorized activity immediately, and take advantage of any fraud protection services offered."
Twitch,"August 28, 2018",Data Breach,"Twitch, a live streaming video platform, recently issued a warning to users that a vulnerability in Twitch Messages revealed some of the user’s messages in other user’s archives. In some cases, the messages exposed contained sensitive information. The bug has since been fixed.",The NJCCIC recommends users visit Twitch's website  to determine if Twitch has revealed any of their messages in another user’s archive.
Sitter,"August 28, 2018",Data Breach,"On August 14, independent security researcher Bob Diachenko discovered that Sitter, a popular app for connecting babysitters with parents, accidently exposed the personal information of over 93,000 users. The exposure stemmed from an unsecured MongoDB database that was left open to the internet. This database was publicly accessible and included encrypted passwords for Sitter accounts, partial payment card numbers, home addresses, phone numbers, users’ address book contacts, and the number of children per family. The exposed database was taken offline the same day the company was notified.","Last year, the NJCCIC released several alerts warning members about cyber extortion campaigns that were actively targeting vulnerable MongoDB servers. We recommend that administrators of MongoDB servers review our previous NJCCIC Cyber Alert, audit their security settings, and implement the mitigation strategies provided as soon as possible. We also recommend that users of the Sitter app monitor their personal and financial accounts and report any fraudulent activity as soon as possible. "
Animoto,"August 28, 2018",Data Breach,"Animoto, a cloud-based video maker service for social media sites, announced a data breach exposing its users' names, dates of birth, and email addresses. In a security announcement, Animoto stated that geolocations of users were also exposed. Animoto CEO Brad Jefferson told TechCrunch that they are unaware how many users it has impacted, but all 22 million users will be notified. ",The NJCCIC recommends Animoto users be on alert for phishing campaigns related to the breach and monitor credit profiles for unauthorized activity.
Jersey Mike’s Subs,"August 14, 2018",Data Breach,"Jersey Mike’s Subs recently emailed their customers asking them to reset their account passwords. Per the notification, it is suspected that customer email addresses and/or passwords may have been obtained by an unauthorized party by using the same login credentials previously exposed in a separate breach. ",The NJCCIC recommends customers immediately change the password for their Jersey Mike’s Subs account and any other accounts that share the same credentials.
Recruitmilitary.com,"August 14, 2018",Data Breach,"According to cyberwarnews, a user by the name of “booloop” stated that an anonymous user gave them 850,729 US military officers’ email addresses with full names and telephone numbers. Information from 2002 to 2017 was included in this data set.",The NJCCIC recommends individuals with Recruitmilitary.com accounts be on alert for increased social engineering campaigns as a result of the breach.
TCM Bank,"August 14, 2018",Data Breach,"Security researcher Brian Krebs reported that a website misconfiguration at TCM Bank exposed the names, addresses, dates of birth, and Social Security numbers of thousands of people who applied for payment cards between March 2017 and July 2018. TCM said the exposed information was taken from a third-party managed website used by customers to apply for payment cards. ",The NJCCIC recommends affected customers monitor their credit profiles and report any suspicious activity.
