Organization,Date of Breach,Reported Date
"A&A Global Imports, Inc.",,1/14/2019
"Aimbridge Hospitality Holdings, LLC ",6/7/2018 - 9/24/2018,12/31/2018
Housing Authority Of The City Of Salem,11/20/2018 - 11/20/2018,12/31/2018
Warby Parker,9/25/2018 - 9/25/2018,12/27/2018
"BEL USA, LLC through its website DiscountMugs.com",8/5/2018 - 8/5/2018,12/26/2018
Hammer Nutrition,1/1/2018 - 1/1/2018,12/21/2018
Springstone Financial,7/27/2018 - 7/27/2018,12/14/2018
Titan Manufacturing and Distributing Inc.,"5/22/2018, 10/25/2018",12/7/2018
"U.S. Bancorp Investments, Inc",11/1/2018 - 11/1/2018,12/5/2018
San Diego Hardware,2/5/2018 - 2/5/2018,12/5/2018
"Thesy, LLC",12/6/2017 - 12/6/2017,12/5/2018
AerServ,,12/2/2018
"Marriott International, Inc.",4/15/2014 - 4/15/2014,11/30/2018
Cancer Treatment Centers of America,5/2/2018 - 5/2/2018,11/30/2018
Atrium Health (formerly Carolinas HealthCare System),9/22/2018 - 9/22/2018,11/27/2018
Family Tree Relief Nursery,"11/26/2016 - 11/26/2016, 6/1/2018 - 6/1/2018",11/27/2018
British Airways Plc,"4/21/2018 - 4/21/2018, 8/21/2018 - 8/21/2018",11/21/2018
R.R. Bowker LLC ,5/1/2018 - 5/1/2018,11/20/2018
The Hanover INsurance Company and its subsidiary and affiliate insurance companies,3/16/2018 - 3/16/2018,11/19/2018
Francesca’s Services Corporation,12/28/2017 - 12/28/2017,11/19/2018
LPL Financial LLC,11/1/2018,11/17/2018
Newegg Inc. ,8/13/2018 - 8/13/2018,11/15/2018
"HealthEquity, Inc.",9/4/2018 - 9/4/2018,11/15/2018
Pharmacy Times Office of Continuing Professional Education (“PTCE”),7/6/2018 - 7/6/2018,11/13/2018
"Stein Mart, Inc.",12/28/2017 - 12/28/2017,11/13/2018
"Title Nine Sports, Inc.",12/28/2017 - 12/28/2017,11/12/2018
"Southwest Washington Regional Surgery Center, LLC",5/27/2018 - 5/27/2018,11/6/2018
"Nordstrom, Inc.",10/9/2018 - 10/9/2018,11/5/2018
Burgerville LLC,8/29/2017 - 8/29/2017,10/30/2018
Tillamook Chiropractic Clinic,5/24/2016 - 5/24/2016,10/30/2018
Bankers Life,5/30/2018 - 5/30/2018,10/25/2018
"GS1 US, Inc.",7/7/2017 - 7/7/2017,10/25/2018
Renaissance Philanthropic Solutions Group (“RenPSG”),6/5/2018 - 6/5/2018,10/18/2018
Shein,6/1/2018 - 6/1/2018,10/11/2018
Cigna,9/5/2018 - 9/5/2018,10/10/2018
"Northwest Surgical Specialists, P.C. d/b/a Rebound Orthopedics & Neurosurgery ",5/22/2018,10/5/2018
"FirstGroup of America, Inc.",8/1/2015,9/26/2018
"Smith Freed & Eberhard, P.C.",7/26/2018 - 7/26/2018,9/21/2018
Tech Rabbit LLC,2/22/2017 - 2/22/2017,9/19/2018
"Peaceful Valley Farm Supply, Inc.",2/9/2018 - 2/9/2018,9/12/2018
Movement Mortgage LLC,10/9/2017 - 10/9/2017,8/31/2018
LÍLLÉbaby,6/1/2016 - 6/1/2016,8/29/2018
"Richard Owen Nursery, Inc.",9/29/2017 - 9/29/2017,8/29/2018
Cheddar's Scratch Kitchen ,11/3/2017 - 11/3/2017,8/23/2018
"Health Management Concepts, Inc.",7/19/2018 - 7/19/2018,8/22/2018
Legacy Health,5/26/2018 - 5/26/2018,8/21/2018
RBC Wealth Management,,8/9/2018
Canyon Rd. Chiropractic and Massage ,6/30/2018 - 6/30/2018,8/7/2018
ChoiceOne / MedSpring Urgent Care,5/13/2018 - 5/13/2018,8/3/2018
Colorado Bankers Life Insurance Company,3/28/2018 - 3/28/2018,8/3/2018
Sunspire Health,3/1/2018 - 3/1/2018,7/27/2018
Yale University,4/1/2008 - 4/1/2008,7/27/2018
TradeMotion,1/1/0001,7/25/2018
"ComplyRight, Inc",4/20/2018 - 4/20/2018,7/25/2018
"City of Medford, Oregon","2/18/2018 - 2/18/2018, 3/29/2018 - 3/29/2018",7/20/2018
Tommie Copper Inc,"11/10/2017 - 11/10/2017, 1/21/2018 - 1/21/2018",7/11/2018
Campbell Soup Company,6/27/2018 - 6/27/2018,7/10/2018
The International Mission Board,2/14/2018 - 2/14/2018,7/6/2018
ATI Holdings LLC and its subsidiaries,1/9/2018 - 1/9/2018,7/5/2018
"Macy's, Inc",5/26/2018 - 6/11/2018,7/3/2018
State Accident Insurance Fund Corporation,5/7/2018 - 5/9/2018,6/8/2018
Aimbridge Employee Service Corp. ,1/8/2018 - 3/21/2018,6/7/2018
Holland Eye Surgery and Laser Center,6/1/2016,6/6/2018
City of Portland,4/6/2018 - 4/6/2018,6/1/2018
"Transamerica, including Transamerica Life Insurance Company and Transamerica Retirement Solutions",3/1/2017 - 1/31/2018,6/1/2018
Care Partners Hospice and Palliative,4/11/2018 - 4/11/2018,5/25/2018
The Oregon Clinic,,5/24/2018
