URL,Org Name,Reported Date,Update Notice,,,,,,,
https://ago.vermont.gov/blog/2020/08/18/guardian-asset-management-notice-of-data-breach-to-consumers/,Guardian Asset Management,18-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/18/ascend-notice-of-data-breach-to-consumers/,Ascend,18-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/17/kohl-childrens-museum-of-greater-chicago-notice-of-data-breach-to-consumers/,Kohl Children’s Museum of Greater Chicago,17-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/17/jasper-seating-company-inc-notice-of-data-breach-to-consumers/,Jasper Seating Company Inc,17-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/14/university-of-detroit-mercy-blackbaud-notice-of-data-breach-to-consumers/,University of Detroit Mercy – Blackbaud,14-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/14/stericycle-inc-notice-of-data-breach-to-consumers/,Stericycle Inc,14-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/14/save-the-children-blackbaud-notice-of-data-breach-to-consumers/,Save the Children – Blackbaud,14-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/14/new-york-city-ballet-inc-notice-of-data-breach-to-consumers/,New York City Ballet Inc,14-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/14/metropolitan-community-college-of-kansas-city-notice-of-data-breach-to-consumers/,Metropolitan Community College of Kansas City,14-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/14/filters-fast-llc-notice-of-data-breach-to-consumers/,Filters Fast LLC,14-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/14/association-of-international-educators-notice-of-data-breach-to-consumers/,Association of International Educators,14-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/13/kline-keppel-koryak-notice-of-data-breach-to-consumers/,Kline Keppel & Koryak,13-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/13/selected-benefits-inc-notice-of-data-breach-to-consumers/,Selected Benefits Inc,13-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/13/american-college-of-medical-genetics-and-genomics-notice-of-data-breach-to-consumers/,American College of Medical Genetics and Genomics,13-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/13/prostate-cancer-foundation-notice-of-data-breach-to-consumers/,Prostate Cancer Foundation,13-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/13/michigan-state-university-notice-of-data-breach-to-consumers/,Michigan State University,13-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/13/american-college-of-medical-genetics-and-genomics-notice-of-data-breach-to-consumers-2/,American College of Medical Genetics and Genomics,13-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/12/city-of-athens-ohio-notice-of-data-breach-to-consumers/,City of Athens Ohio,12-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/11/latin-school-of-chicago-blackbaud-notice-of-data-breach-to-consumers/,Latin School of Chicago – Blackbaud,11-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/10/leone-mcdonnell-and-roberts-notice-of-data-breach-to-consumers/,Leone McDonnell and Roberts,10-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/10/vermont-public-radio-blackbaud-notice-of-data-breach-to-consumers/,Vermont Public Radio – Blackbaud,10-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/10/dynasplint-systems-inc-notice-of-data-breach-to-consumers/,Dynasplint Systems Inc,10-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/10/dent-wizard-international-notice-of-data-breach-to-consumers/,Dent Wizard International,10-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/10/middlebury-college-front-rush-notice-of-data-breach-to-consumers/,Middlebury College – Front Rush,10-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/07/american-seating-company-notice-of-data-breach-to-consumers/,American Seating Company,7-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/06/blackbaud-breach-q-a-for-businesses-nonprofits-and-legal-counsel/,"Blackbaud Breach Q & A for Businesses, Nonprofits, and Legal Counsel",6-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/06/edp-renewables-notice-of-data-breach-to-consumers/,EDP Renewables,6-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/06/the-connection-inc-notice-of-data-breach-to-consumers/,The Connection Inc,6-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/06/benesys-notice-of-data-breach-to-consumers/,BeneSys,6-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/05/peabody-properties-notice-of-data-breach-to-consumers/,Peabody Properties,5-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/05/st-johns-preparatory-school-blackbaud-notice-of-data-breach-to-consumers/,St Johns Preparatory School – Blackbaud,5-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/04/behavioral-health-network-inc-notice-of-data-breach-to-consumers/,Behavioral Health Network Inc,4-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/04/power-engineers-inc-notice-of-data-breach-to-consumers/,Power Engineers Inc,4-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/04/badger-daylighting-corp-notice-of-data-breach-to-consumers/,Badger Daylighting Corp,4-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/04/freed-maxick-notice-of-data-breach-to-consumers/,Freed Maxick,4-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/03/wurkforce-inc-notice-of-data-breach-to-consumers/,Wurkforce Inc,3-Aug-20,,,,,,,,
https://ago.vermont.gov/blog/2020/08/03/benetech-inc-notice-of-data-breach-to-consumers/,Benetech Inc,3-Aug-20,,,,,,,,
