Reported Date,Org Name,URL,Update Notice
6/19/2019,Howard Center,https://ago.vermont.gov/blog/2019/06/19/howard-center-notice-of-data-breach-to-consumers-2/,
6/19/2019,ShowMeCables,https://ago.vermont.gov/blog/2019/06/19/showmecables-notice-of-data-breach-to-consumers/,
6/14/2019,Memorial Hospital at Gulfport,https://ago.vermont.gov/blog/2019/06/14/memorial-hospital-at-gulfport-notice-of-data-breach-to-consumers/,
6/14/2019,Vermont Psychiatric Hospital,https://ago.vermont.gov/blog/2019/06/14/vermont-psychiatric-hospital-notice-of-data-breach-to-consumers/,
6/13/2019,Flood Bumstead McCready and McCarthy Inc,https://ago.vermont.gov/blog/2019/06/13/flood-bumstead-mccready-and-mccarthy-inc-notice-of-data-breach-to-consumers/,
6/13/2019,Missouri Southern State University,https://ago.vermont.gov/blog/2019/06/13/missouri-southern-state-university-notice-of-data-breach-to-consumers/,
6/12/2019,"Keystone Peer Review Organization, Inc",https://ago.vermont.gov/blog/2019/06/12/keystone-peer-review-organization-inc-notice-of-data-breach-to-consumers/,
6/11/2019,Winebow Group LLC,https://ago.vermont.gov/blog/2019/06/11/winebow-group-llc-notice-of-data-breach-to-consumers/,
6/10/2019,Breckenridge Grand Vacations,https://ago.vermont.gov/blog/2019/06/10/breckenridge-grand-vacations-notice-of-data-breach-to-consumers/,
6/10/2019,Transworld Calcasieu,https://ago.vermont.gov/blog/2019/06/10/transworld-calcasieu-notice-of-data-breach-to-consumers/,
6/7/2019,Calista Corporation,https://ago.vermont.gov/blog/2019/06/07/calista-corporation-notice-of-data-breach-to-consumers/,
6/7/2019,Darwins Natural Pet Products,https://ago.vermont.gov/blog/2019/06/07/darwins-natural-pet-products-notice-of-data-breach-to-consumers/,
6/6/2019,American Rental Association,https://ago.vermont.gov/blog/2019/06/06/american-rental-association-notice-of-data-breach-to-consumers/,
6/5/2019,Apple Mortgage,https://ago.vermont.gov/blog/2019/06/05/apple-mortgage-notice-of-data-breach-to-consumers/,
6/5/2019,University of Alaska,https://ago.vermont.gov/blog/2019/06/05/university-of-alaska-notice-of-data-breach-to-consumers/,
6/3/2019,William Lyon Homes,https://ago.vermont.gov/blog/2019/06/03/william-lyon-homes-sbn-to-consumers/,
5/31/2019,Filice Insurance Agency,https://ago.vermont.gov/blog/2019/05/31/filice-insurance-agency-sbn-to-consumers/,
