Organization Name,Letter URL,Reported Date,Date of Breach,End Date
"Applications Software Technology, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ApplicationsSoftwareTechnologyLLC.2020-04-15.pdf,4/15/2020,3/9/2020,
Northshore Utility District,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/NorthshoreUtilityDistrict.2020-04-08.pdf,4/1/2020,2/12/2020,
"Avalon Health Care Management, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AvalonHealthCareManagementInc.2020-03-16.pdf,3/16/2020,Unspecified,Unspecified
Vimly Benefits Solutions (Update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/VimlyBenefitSolutionsUpdated.2020-03-16.pdf,3/16/2020,Unspecified,Unspecified
Washington State Patrol,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/WashingtonStatePatrol.2020-03-11.pdf,3/11/2020,2/11/2020,
"Woods & Woods, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/WoodsAndWoodsLLC.2020-03-10.pdf,3/10/2020,Unspecified ,Unspecified
Witchita State University,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/WitchitaStateUniversity.2020-03-10.pdf,3/10/2020,12/3/2019,12/5/2019
Torrance Memorial Medical Center,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TorranceMemorialMedicalCenter2020-03-11.pdf,3/6/2020,6/20/2019,12/13/2019
Carnival Corporation & PLC,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CarnivalCorporationAndPLC.2020-03-02.pdf,3/2/2020,4/11/2019,7/23/2019
Railworks Corporation,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RailworksCorporation.2020-02-27.pdf,2/27/2020,Unspecified,Unspecified
AFTRA Retirement Fund,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AFTRARetirementFund.2020-02-25.pdf,2/25/2020,10/24/2019,10/28/2019
"The UPS Store, Inc. (Update)",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TheUPSStoreInc.Updated.2020-02-20.pdf,2/20/2020,9/29/2019,1/24/2020
Aveanna Healthcare,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AveannaHealthcare.2020-02-14.pdf,2/14/2020,7/9/2019,8/24/2019
Smile Surfers,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SmileSurfersLLC.2020-02-14.pdf,2/14/2020,8/19/2019,9/20/2019
City of Lacey (Update),http://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/CityOfLaceyUpdate.2020-01-28.pdf,1/28/2020,8/27/2019,10/28/2019
"Oostra Rouw & Associates, Inc. (ORA, Inc.)",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/OostraRouwAndAssociatesInc.2019-01-24.pdf,1/24/2020,12/26/2019,
"The UPS Store, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TheUPSStoreInc.2020-01-20.pdf,1/20/2020,9/29/2019,1/13/2020
"Hanna Andersson, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/HannaAnderssonLLC.2020-01-15.pdf,1/15/2020,9/16/2019,11/11/2019
