Matter Number,Status,Opendt,Category,Sub category,Matter (Short) Name,Injry Date,Resid Effected,Corprt State,Thru Date,Industry,Crdt Monit,Notif Ltr,Name,Adrs,Email,SSN,DOB,Track1,Track2,Crdt
PR1919717,CLOSED,10/9/2019,Data Breach,Investigation,"Draper, Inc. (10-3-2019)",5/24/2019,1,IN,7/3/2019,Electronics Manufacturer,N,N,Y,N,N,Y,N,N,N,N
PR1919710,CLOSED,10/9/2019,Data Breach,Investigation,The Board of Public Works for The City of Lewes (1,,2,DE,,Municipal,N,Y,Y,N,N,N,N,N,N,Y
PR1919682,CLOSED,10/9/2019,Data Breach,Investigation,"Citibank, N.A. (10-3-2019)",9/9/2019,2,NY,,Financial Services,Y,Y,Y,N,N,Y,N,N,N,N
PR1919678,CLOSED,10/9/2019,Data Breach,Investigation,"McAlister's Corp, Moe's Stores LLC, Schlotzsky's S",4/11/2019,,GA,7/22/2019,Dining,N,Y,Y,N,N,N,N,N,N,Y
PR1919616,CLOSED,10/8/2019,Data Breach,Investigation,Fix My Blinds (10-2-2019),,197,CO,,Retail,N,Y,Y,Y,N,N,N,N,N,Y
PR1919578,CLOSED,10/8/2019,Data Breach,Investigation,Grant Street Inn (SuperINN) (10-2-2019),1/1/2019,5,IN,5/30/2019,Hospitality,N,Y,Y,Y,Y,N,N,N,N,Y
PR1919568,CLOSED,10/8/2019,Data Breach,Investigation,Transamerica (10-2-2019),2/1/2019,1,IA,2/28/2019,Insurance,Y,Y,Y,N,N,Y,N,N,N,N
PR1919219,CLOSED,10/3/2019,Data Breach,Investigation,"Level Equity Management, LLC (10-1-2019)",7/1/2019,1,,7/31/2019,,N,N,Y,Y,Y,N,N,N,N,N
PR1919200,CLOSED,10/3/2019,Data Breach,Investigation,The University of Vermont (10-1-2019),1/1/2017,5,VT,,Higher Education,Y,Y,N,N,N,Y,N,N,N,N
PR1919197,CLOSED,10/3/2019,Data Breach,Investigation,"Citi Private Bank business of Citibank, N.A. (10-1",9/18/2019,1,NY,,Financial Services,Y,Y,Y,N,N,Y,N,N,N,N
PR1919194,CLOSED,10/3/2019,Data Breach,Investigation,"Kearns, Brinen & Monaghan (10-1-2019)",10/1/2018,7,SC,,Debt Collection,Y,Y,Y,Y,N,Y,N,N,N,N
PR1919190,CLOSED,10/3/2019,Data Breach,Investigation,"American Express Travel Related Services Company, ",9/5/2018,16,NY,9/11/2019,Financial Services,Y,Y,Y,Y,N,Y,Y,N,N,Y
PR1919189,CLOSED,10/3/2019,Data Breach,Investigation,"Nicola Yester & Company, P.C (9-30-2019)",,71,CT,,Accounting,Y,Y,Y,N,N,Y,N,N,N,N
PR1919188,CLOSED,10/3/2019,Data Breach,Investigation,"B. Riley Financial, Inc. (9-27-2019)",5/13/2019,1,CA,,Financial Services,N,N,Y,N,N,Y,N,N,N,N
PR1919187,CLOSED,10/3/2019,Data Breach,Investigation,"Anvil Accounting Services, LLC (9-27-2019)",4/1/2019,7,PA,4/8/2019,Accounting,N,N,Y,N,N,Y,N,N,N,N
PR1919183,CLOSED,10/2/2019,Data Breach,Investigation,"The Ultimate Software Group, Inc. (9-27-2019)",8/21/2019,27,FL,8/29/2019,Tech,Y,Y,Y,N,N,Y,Y,N,N,N
PR1919171,CLOSED,10/2/2019,Data Breach,Investigation,John Lucas Tree Expert Co. (9-27-2019),8/27/2018,1,Maine,7/17/2019,Tree Care Services,Y,Y,N,N,N,Y,N,N,N,N
PR1919166,CLOSED,10/2/2019,Data Breach,Investigation,City of Charlottesville (9-26-2019),3/19/2019,38,VA,4/22/2019,Municipal,Y,Y,Y,N,N,Y,N,N,N,N
PR1919130,CLOSED,10/2/2019,Data Breach,Investigation,Children's Hope Alliance (9-26-2019),4/23/2019,2,NC,5/20/2019,Nonprofit,Y,Y,N,N,N,Y,N,N,N,N
PR1919129,CLOSED,10/2/2019,Data Breach,Investigation,"'47 Brand, LLC (9-24-2019)",4/30/2019,35,MA,5/7/2019,Retail,Y,Y,Y,Y,Y,N,N,N,N,Y
