ID,Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
1,1stSourceBank,,,,
2,A&SConstructionCo,1/29/2020,9/9/2019,2,635
3,A1GarageLLC,3/20/2020,3/18/2020,18,18
4,AATaxCPALLC,8/20/2020,1/1/2020,1,81
5,AccessInformationMangemenet,,,,
6,ACFIndustriesLLC,4/27/2020,3/31/2020,1,799
7,ACORECapital,4/3/2020,9/7/2019,1,260
8,ADP,2/18/2020,2/24/2020,111,"4,702"
9,AdvocateAuroraHealth,2/20/2020,1/1/2020,"1,133","176,000"
10,AEWealthManagementLLC,5/7/2020,1/24/2020,3,353
11,AffordacareUrgentCareClinics,3/27/2020,2/1/2020,23,"55,338"
12,AFTRARetirementFund,2/25/2020,10/24/2019,166,"57,207"
13,AIMInvestments,,,,
14,AliMedInc,8/27/2020,6/1/2019,412,"29,823"
15,AlleghenyIntermediateUnit,5/20/2020,10/28/2019,52,"108,132"
16,AlliedPhysiciansofMichianaLLC,6/5/2020,4/1/2020,663,933
17,AlticeUSAInc,2/6/2020,11/4/2019,27,"52,846"
18,AMGeneral,,,,
19,AmbianceMedicalandDaySpa,,,,
20,AmbryGeneticsCorporation,4/17/2020,1/22/2020,"3,267","232,772"
21,AmericanCollegeofMedicalGeneticsandGenomics,8/13/2020,2/15/2020,4,112
22,AmericanFirstFinanceInc,1/31/2020,3/20/2019,8,838
23,AmericanMedicalTechnologies,6/18/2020,10/1/2019,204,"47,767"
24,AmericanOutdoorBrandsCorporation,1/9/2020,11/27/2019,23,744
25,AmericanPublicWorksAssociation,7/20/2020,4/10/2020,2,
26,AmericanSeatingCompany,8/7/2020,1/29/2020,10,2020
27,AmericanStaffingAssociation,7/29/2020,4/13/2020,2,18
28,AmericanStatisticalAssociation,6/15/2020,4/13/2020,19,622
29,AmeripriseFinancialInc,9/3/2020,8/12/2020,10,310
30,AmeripriseFinancialInc,8/18/2020,7/15/2020,5,"1,601"
31,AmeripriseFinancialInc,4/30/2020,4/24/2020,2,2
32,AmeriSaveMortgageCorporation,1/13/2020,10/1/2019,51,3639
33,AmpcoPittsburghCorporation,4/17/2020,10/28/2019,1,104
34,AmphastarPharmaceuticalsInc,8/28/2020,5/2/2020,2,"2,193"
35,AmphenolTelectInc,5/12/2020,5/11/2020,2,133
36,Amtrak,5/29/2020,4/16/2020,109,"13,442"
37,AngelProductionsWorldwideInc,7/17/2020,5/29/2020,1,281
38,Anthem,,,,
39,APISourceInc,5/4/2020,12/19/2019,17,"1,303"
40,ApplicationsSoftwareTechnologyLLC,3/16/2020,3/9/2020,1,317
41,ArbiterSports,8/24/2020,6/3/2020,"18,257","539,309"
42,ArdeoEducationServices,8/13/2020,5/11/2020,33,191
43,ArkansasDepartmentofTransportation,7/31/2020,,2,
44,ArkansasTeacherRetirementSystem,5/8/2020,1/31/2020,65,"52,682"
45,ArtbySKnowles,,5/15/2020,1,1
46,ArtResourcesIncArtistsRightsSociety,8/21/2020,3/8/2020,3,387
47,ArverettUniversity,4/30/2020,2/18/2020,2,"1,202"
48,Ascension Medical Group St Vincent,6/8/2020,5/22/2020,1,1
49,AscensionStVincent,5/19/2020,5/12/2020,1,1
50,AshleyMadison,,,,
51,AssociationofInternationalEducators,8/14/2020,4/8/2020,12,
52,AthensInsuranceServicesInc,3/13/2020,7/1/2019,10,"4,457"
53,AtriaWealthSolutions,5/7/2020,12/3/2019,36,"11,046"
54,AudioVisualServicesGroupLLCdbaPSAV,5/15/2020,10/22/2019,18,2880
55,AugustaMotorsInc,1/28/2020,1/26/2020,3,3
56,AvalonHealthCareManagementInc,3/16/2020,6/17/2019,9,"13,428"
57,AvantTechnology,8/19/2020,4/20/2020,1,320
58,BadgerDaylightingCorp,8/5/2020,4/29/2020,33,627
59,BailardInc,6/11/2020,2/25/2020,2,814
60,BalcombGreenPC,5/28/2020,1/22/2020,2,836
61,BaltimoreMuseumofArt,5/7/2020,4/27/2020,1,"1,074"
62,BanfiProductsCorporation,3/19/2020,2/28/2020,11,"1,092"
63,BaptistHealthFloyd,,,,
64,BarnhillContractingCompany,2/3/2020,8/16/2019,5,"8,744"
65,BBAMAircraftLeasingManagement,3/24/2020,4/1/2020,1,147
66,BCHHInc,3/27/2020,,2,542
67,BCycleLLC,6/26/2020,1/4/2020,5,"2,597"
68,BeachReLimited,8/19/2020,12/23/2019,1,"7,096"
69,BeaconHealthSystem,8/7/2020,6/16/2020,24,25
70,BeaconHealthSystem,5/28/2020,4/1/2020,900,900
71,BeatitudesCampus,2/10/2020,7/29/2019,1,"5,316"
72,BedBathBeyondInc,2/26/2020,12/23/2019,1,"2,995"
73,BehavioralHealthNetworkInc,7/27/2020,5/26/2020,5,"132,790"
74,BenchmarkEducationCompany,3/13/2020,7/2/2019,3,"1,235"
75,BGGMCLLCHotelContessa,3/13/2020,2/18/2020,27,"3,306"
76,BHHSLegacyFoundation,6/5/2020,1/2/2020,11,"1,443"
77,BimbaLLC,4/15/2020,12/24/2019,25,944
78,BionikLaboratoriesCorpet al,5/14/2020,4/5/2020,1,64
79,Blackbaud,,,,
80,BlufftonFamilyEyeCare,4/17/2020,4/16/2020,400,400
81,BohmanCPAGroupLLC?DataBrelach,4/1/2020,,632,643
82,BombasLLC,6/3/2020,11/11/2016,"1,728",
83,BridgewaterStateUniversity,8/28/2020,2/1/2020,22,"32,452"
84,BrooksInternational,5/6/2020,2/4/2020,6,454
85,Brown?Forman Corporation,8/25/2020,4/14/2020,456,456
86,BurkhartSign,,,,
87,CadwaladerWickershamTaftLLP,7/24/2020,3/27/2020,2,"1,404"
88,CambriaHotelNashvilleDowntown,8/13/2020,2/11/2019,5,73
89,CameronMemorialCommunityHospital,2/25/2020,1/10/2020,2,
90,CameronMemorialCommunityHospital,8/6/2020,8/5/2020,1,1
91,CameronMemorialCommunityHospital,7/21/2020,6/22/2020,1,1
92,CameronMemorialCommunityHospital,,12/23/2019,1,1
93,CameronMemorialCommunityHospital,7/21/2020,7/13/2020,1,1
94,CameronMemorialCommunityHospital,3/25/2020,3/1/2019,2,2
95,CameronMutualInsuranceCompany,6/29/2020,4/16/2020,1,"1,311"
96,CapitalBrandsDistributionLLC,4/29/2020,2/19/2020,17,"2,285"
97,CapitalOne,8/5/2020,11/2/2016,4,320
98,CapitalOneNA,2/4/2020,5/14/2019,10,899
99,CarWashPartnersIncdbaMisterCarWash,5/27/2020,12/12/2019,12,"48,834"
100,CardiovascularServiceAssociates,,,,
101,CarestarInc,,,,
102,CarestreamHealthInc,5/8/2020,5/1/2020,11,"2,427"
103,CargoluxAirlinesInternationalSA,7/23/2020,5/4/2020,3,265
104,CarMaxAutoSuperstoresInc,8/5/2020,7/27/2020,2,2
105,CarMaxAutoSuperstoresInc,8/18/2020,8/1/2020,1,1
106,CarnivalCorporationPLC,3/2/2020,4/11/2019,"1,699","372,500"
107,CaterpillarInc,2/11/2020,,1,8
108,CatholicCharitiesDioceseofSanDiego,5/29/2020,3/27/2020,8,"49,518"
109,CBMAccountingServices,,,,
