Company ,Address,Company Contact Information,Attorney                   (If Represented),Date of Breach,Date of Notification,Breach Start,Breach End,Date of Discovery,Type of Information,Number of Maine Residents Affected
"Whole Foods Market Group, Inc.","550 Bowie Street, Austin, TX 78703",None,"Craig Hoffman, Partner, Baker Hostetler LLP, 312 Walnut Street, Cinncinnati, OH 45202; 513-929-3491; cahoffman@bakerlaw.com",8/3/2018 (discovered 10/2/18),10/31/2018,8/3/2018,,10/2/2018,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",3
"LJCooper Capital Management, LLC d/b/a LJCooper Wealth Advisors","742 N 530 E, Orem, UT 84097",None,"R. David Lane, Marshall Dennehey Warner Coleman & Goggin, PC, 212-376-6413; Rdlane@mdwcg.com",9/18/2018,10/29/2018,9/18/2018,,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
University of Maine,"46 University Drive, Augusta, Maine 04330","Nina R. Lavoie, Sr. Associate Counsel, 621-3441; nlavoie@maine.edu",N/A,Discovered 10/23/18,10/27/2018,,,10/23/2018,Personal data including SSN,32
"Star Title Partners of Palm Harbor, LLC","30522 US Hwy 19 N. Ste. 101, Palm Harbor, FL 34684","Anne Cordell, General Manager & Counsel, 813-319-6644; anne@startitlepartners.com",N/A,6/4/2018,10/26/2018,6/4/2018,,,Name or other personal identifier in combination with SSN,4
"Cenera Funding, Inc.","3600 Benbrook Highway, Fort Worth, TX  76116","Mark Browning, CEO 817-546-0362; mbrowning@cenderafunding.com",N/A,9/29/2018,10/25/2018,9/29/2018,,,Name or other personal identifier in combination with SSN,1
Fifth Third Bank,"38 Fountain Square Plaza, Cincinnati, OH  45140","Robert Howell, Privacy Compliance Mgr, 513-358-0919; Robet.Howell@53.com",N/A,8/6/18-8/31/18 (discovered 8/29/18),10/26/2018,8/6/2018,8/31/2018,8/29/2018,Name or other personal identifier in combination with SSN and driver's license number or non-driver identification card numbe,1
Net32,,None,"Michael Gottlieb, Boes Schiller Flexner, 202-237-2727; mgottlieb@bsfllp.com",9/22/18 - 9/25/18,10/25/2018,9/22/2018,9/25/2018,,Personal information relating to Net32 orders potentially including credit card numbers.,25
TravisMathew LLC,"15202 Graham Street, Huntington Beach, CA 92649",None,"Andreas Kaltsounis, Baker & Hostetler LLP, 206-566-7080; akaltsounis@bakerlaw.com",8/13/18-9/24/18,10/25/2018,8/13/2018,9/24/2018,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",10
Heartland Hotel Corporation,"4403 First Ave., SE Suite 114; Cedar Rapids, IA  52402",None,"William Daugherty, Baker & Hostetler LLP, 713-646-1321; wdaugherty@bakerlaw.com",Unknown - 9/25/18,10/25/2018,NA,9/25/2018,,Name or other personal identifier in combination with SSN,1
"STL International, Inc., d/b/a Teeter","9902 162nd Street, Ct. E., Puyallup, WA 98375",None,"Alyssa Watzman, Lewis Brisbois Bisgaard & Smith LLP; 720-292-2052; alyssa.watzman@lewisbrisbois.com",4/11/18-9/13/18,10/25/2018,4/11/2018,9/13/2018,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",68
