ID,Case No,Case Title,Letter URL,Date Received,No of MD Residents,Information Breached,How Breach Occurred
1,ITU-329343,"Weber & Vanorio CPAs, P.C.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329343.pdf,6/30/2020,1,"name, ssn",unauthorized access to database
2,ITU-329329,The Reserve Trust Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329329.pdf,6/30/2020,6,"name, address, bank name, credit number and expiration date, date of birth, digital signatures, Driver's License number, financial account number, routing number, and Social Security number",unauthorized access to email account
3,ITU-329330,The New York City Bar Association and the City Bar Fund,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329330.pdf,6/30/2020,,"name, payment card info",malware
4,ITU-329333,Wildwood Crest,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329333.pdf,6/30/2020,1,"name, ssn",malware
5,ITU-329339 (1),EDP Renewables North America LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329339 (1).pdf,6/30/2020,,"name, ssn, dln",ransomware
6,ITU-329339 (2),EDP Renewables North America LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329339 (2).pdf,6/30/2020,,"name, ssn, dln",ransomware
7,ITU-329340,"Howard & Howard Attorneys, PLLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329340.pdf,6/30/2020,1,"name, ssn",unauthorized access to email account
8,ITU-329342,Codal Inc.,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329342.pdf,6/30/2020,50,"name, address, driver's license, government issued ID card",info inadvertently accessible
9,ITU-329318,"Northeast Arc, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329318.pdf,6/29/2020,2,"name,Driver's License information and/or Passport information.",unauthorized access to email account
10,ITU-329319,The Electrical Training Institute,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329319.pdf,6/29/2020,2,"names, Social Security numbers and medical treatment information",unauthorized access to email
11,ITU-329321,"CBRE, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329321.pdf,6/29/2020,34,"name, ssn",improper access by former employee
12,ITU-329322,Steel Partners Holdings L.P.,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329322.pdf,6/29/2020,292,"name, social security number, and date of birth or health information related to disability or workers compensation claims",unauthorized access to email account
13,ITU-329327,"US International Medial, LLC.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329327.pdf,6/29/2020,4,"name, driver's license number and Social Security number",unauthorized access to server
14,ITU-329310,Milford Regional Medical Center,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329310.pdf,6/26/2020,1,"name, ssn, bank info",unauthorized access
15,ITU-329311,"Healthcare Fiscal Management, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329311.pdf,6/26/2020,10,"names, date of birth, and Social Security numbers, as well as protected health information, including medical record numbers, account numbers and dates of service",ransomware
16,ITU-329312,"FEDITC, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329312.pdf,6/26/2020,11,"Name, Social Security Number, and date of birth",stolen laptop
17,ITU-329313 (1),"BCycle, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329313 (1).pdf,6/26/2020,14,"name, payment card info",malware
18,ITU-329313 (2),"BCycle, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329313 (2).pdf,6/26/2020,14,"name, payment card info",malware
19,ITU-329314 (1),"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329314 (1).pdf,6/26/2020,12,"name, address, phone number, date of birth, medical record number and appointment dates, as well as treatment, diagnosis and examination information.",improper access by employee
20,ITU-329314 (2),"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329314 (2).pdf,6/26/2020,12,"name, address, phone number, date of birth, medical record number and appointment dates, as well as treatment, diagnosis and examination information.",improper access by employee
21,ITU-329316,"Healthcents, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-329316.pdf,6/26/2020,1,"name, ssn",unauthorized access to email account
22,itu-329010,Lawyers Title Middle Peninsula Northern Neck Agency Inc.,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-329010.pdf,6/25/2020,12,"name, Social Security number, medical information, driver's license number, and financial account number",unauthorized access to email account
23,itu-329006 (1),"Realized Holdings, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-329006 (1).pdf,6/24/2020,,"name, address, dob, financial info, ssn",phishing
24,itu-329006 (2),"Realized Holdings, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-329006 (2).pdf,6/24/2020,,"name, address, dob, financial info, ssn",phishing
25,itu-329007,Kroto Inc. d/b/a iCanvas,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-329007.pdf,6/24/2020,179,"name, payment card info, address",malware
26,itu-329008,"Integrity Data, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-329008.pdf,6/24/2020,134,"name, ssn",unauthorized access to email account
27,itu-328985,Kustom US Inc.,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328985.pdf,6/23/2020,7,"names, Social Security number, driver's license number, account number, credit/debit card number, security code/PIN, expiration date, treatment information, health insurance information, treatment cost information, and digital signature",phishing
28,itu-328988,Eagle Community Credit Union,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328988.pdf,6/23/2020,13,"name, address, date of birth, Social Security number, credit or debit card number with access code, and/or financial account information",unauthorized access to email account
29,itu-328994,"Choice Health Management Services, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328994.pdf,6/23/2020,13,"name, Social Security number, health information, and health insurance policy and/or subscriber number in combination with a unique identifier used by an insurer or self insured employer, that permits access to an individual's health information",unauthorized access to email account
30,itu-328996 (1),Momentum Solutionz LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328996 (1).pdf,6/23/2020,1,"name, Social Security number, passport number, and driver's license or state identification number",unauthorized access to email account
31,itu-328996 (2),Momentum Solutionz LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328996 (2).pdf,6/23/2020,1,"name, Social Security number, passport number, and driver's license or state identification number",unauthorized access to email account
32,itu-328996 (3),Momentum Solutionz LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328996 (3).pdf,6/23/2020,1,"name, Social Security number, passport number, and driver's license or state identification number",unauthorized access to email account
33,itu-328998,DLL Finance LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328998.pdf,6/23/2020,1,"name, address, ssn",unauthorized access to email account
34,itu-329005,"CNY Works, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-329005.pdf,6/23/2020,143,personal information,ransomware
