Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
12310,1/3/2018,LiveGlam Inc,Electronic,,393,,,,Yes,Yes,,
12303,1/3/2018,Watertown Savings Bank,Electronic,,13,,,,Yes,,,
12304,1/3/2018,Webster Five Cents Savings Bank,Electronic,,56,,,,Yes,,,
12305,1/3/2018,"DJI Technology, Inc.",Electronic,,20,,,Yes,,,,
12306,1/3/2018,Multnomah Athletic Club,Paper,Yes,18,Yes,Yes,,,Yes,,
12326,1/3/2018,Bank of America,Electronic,Yes,2,Yes,Yes,,,Yes,,
12327,1/3/2018,Mutual One Bank,Electronic,,1,,,,Yes,,,
12328,1/3/2018,Savers Bank,Electronic,,2,,,,Yes,,,
12308,1/4/2018,American Express Travel Related Services Company Inc,Electronic,,12,,,,Yes,Yes,,
12309,1/5/2018,American Express Travel Related Services Company Inc,Electronic,,2,,,,Yes,,,
12307,1/5/2018,The Vanguard Group,Both,Yes,1,Yes,Yes,,,Yes,,
12311,1/5/2018,Weinstein & Wisser PC,Electronic,Yes,1,,Yes,,,,,
12312,1/5/2018,"Rea.deeming Beauty, Inc. d/b/a Beauty Blender",Electronic,Yes,350,,,,Yes,,,
12313,1/5/2018,American Express Travel Related Services Company Inc.,Electronic,,8,,,,Yes,,,
12314,1/5/2018,American Express Travel Related Services Company Inc.,Electronic,,1,,,,Yes,Yes,,
12315,1/5/2018,Northeast Arc,Electronic,,1713,Yes,Yes,,,Yes,,
12316,1/7/2018,Sturdy Memorial Associates dba Norton Medical Center,Paper,Yes,171,,Yes,,,Yes,,
12317,1/8/2018,American Express Travel Related Services Company Inc.,Electronic,,6,,,,Yes,,,
12318,1/8/2018,American Express Travel Related Services Company Inc.,Electronic,,5,,,,Yes,,,
12319,1/8/2018,American Express Travel Related Services Company Inc,Electronic,,56,,,,Yes,,,
12320,1/8/2018,American Express Travel Related Services Company Inc.,Electronic,,85,,,,Yes,,,
12321,1/8/2018,American Express Travel Related Services Company Inc.,Electronic,,1,,,,Yes,,,
12322,1/8/2018,Winchester Savings Bank,Electronic,,4,,,,Yes,,,
12323,1/8/2018,Cetera Advisors LLC,Electronic,Yes,95,Yes,,,,Yes,,
12324,1/8/2018,Intuit Inc.,Electronic,,1,Yes,Yes,Yes,,,,
12584,1/8/2018,Inn on Biltmore Estate,Electronic,,6,,,,Yes,,,
12325,1/9/2018,American Express Travel Related Services Company Inc.,Electronic,,85,,,,Yes,,,
12329,1/9/2018,Spaulding Rehabilation Hospital,Paper,Yes,1,Yes,,,,,,
12331,1/9/2018,The Vanguard Group Inc.,Both,Yes,2,Yes,Yes,,,Yes,,
12332,1/9/2018,Rockland Trust Company,Paper,Yes,2,,Yes,,,Yes,,
12333,1/9/2018,Rockland Trust Company,Paper,,1,,Yes,,,Yes,,
12334,1/10/2018,Alton Lane,Electronic,Yes,114,,,,Yes,,,
12335,1/10/2018,Trova Design Consultants Inc.,Electronic,Yes,90,Yes,Yes,Yes,,,,
12336,1/10/2018,Talentreef Inc,Electronic,,25,Yes,Yes,,Yes,,,
12337,1/10/2018,Hudson Structured Capital Management Ltd,Electronic,Yes,2,Yes,,,,Yes,,
12330,1/10/2018,American Express Travel Related Services Company Inc,Electronic,,81,,,,Yes,,,
12343,1/10/2018,Broward College,Electronic,Yes,183,Yes,Yes,,Yes,Yes,,
12344,1/11/2018,Fidelity Investments,Paper,,1,Yes,,,,,,
12347,1/11/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12338,1/11/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12339,1/11/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12340,1/11/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12341,1/11/2018,St. Mary's Credit Union,Electronic,,2,,Yes,,,,,
12342,1/11/2018,St.Mary's Credit Union,Electronic,,2,,Yes,,,,,
12348,1/12/2018,St. Mary's Credit Union,Electronic,,1,,Yes,,,,,
12350,1/12/2018,JP Morgan Chase Bank,Paper,,2,Yes,Yes,,,Yes,,
12351,1/12/2018,"Guaranteed Rate, Inc.",Electronic,,17018,Yes,Yes,Yes,Yes,Yes,,
12352,1/12/2018,"Deli Management, Inc. dba Jason's Deli Inc.",Electronic,,,,,,Yes,Yes,,
12346,1/12/2018,Winchester Savings Bank,Electronic,,7,Yes,,,Yes,,,
12784,1/12/2018,St. Mary's Credit Union,Electronic,,2,,Yes,,,,,
12349,1/15/2018,Heywood Hospital,Electronic,,1538,Yes,,,,,,
12360,1/16/2018,Eagle Bank,Electronic,,36,,,,Yes,,,
12353,1/16/2018,Hallmark Home Mortgage,Undefined,Yes,3,Yes,Yes,Yes,,Yes,,
12354,1/16/2018,Monticello Central School District,Electronic,Yes,2,Yes,,,,Yes,,
12355,1/16/2018,Bank of America,Paper,Yes,1,Yes,Yes,,,Yes,,
12356,1/16/2018,Eastern Bank,Electronic,,116,,,,Yes,,,
12357,1/16/2018,Capital One,Electronic,Yes,81,,Yes,,,Yes,,
12380,1/16/2018,Securadyne Systems LLC,Electronic,,3,Yes,Yes,,,Yes,,
12358,1/17/2018,Bio Scrip,Paper,,1,Yes,,,,Yes,,
12359,1/17/2018,Main Street Bank,Electronic,,1,,,,Yes,,,
12364,1/17/2018,Earnest Operations LLC,Electronic,Yes,3,,Yes,,,Yes,,
12362,1/17/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12363,1/18/2018,Fisher College,Electronic,,3,Yes,,,,Yes,,
12377,1/18/2018,Vinfen,Both,Yes,1,,,,,,,
12378,1/18/2018,Employer Leasing Company,Electronic,,1,Yes,,Yes,,,,
12379,1/18/2018,Pension Fund of the Christian Church,Electronic,,55,Yes,Yes,,,Yes,,
12365,1/18/2018,Steward Medical Group,Paper,Yes,1,,,,,Yes,,
12366,1/18/2018,Main Street Bank,Electronic,,1,,,,Yes,,,
12367,1/18/2018,Main Street Bank,Electronic,,1,,,,Yes,,,
12368,1/18/2018,Main Street Bank,Electronic,,10,,,,Yes,,,
12369,1/18/2018,Main Street Bank,Electronic,,17,,,,Yes,,,
12370,1/18/2018,Main Street Bank,Electronic,,2,,,,Yes,,,
12371,1/18/2018,Main Street Bank,Electronic,,1,,,,Yes,,,
12372,1/18/2018,Main Street Bank,Electronic,,4,,,,Yes,,,
12361,1/18/2018,American Express Travel Related Services Company Inc,Paper,,1,,,,Yes,Yes,,
12373,1/19/2018,Citizens Financial Group,Electronic,Yes,43,,,,Yes,,,
12374,1/19/2018,Winchester Savings Bank,Electronic,,6,Yes,,,Yes,,,
12375,1/19/2018,"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.",Electronic,,31,Yes,Yes,,Yes,Yes,,
12376,1/19/2018,Rosewood Hotel Group,Electronic,,158,,,,Yes,,,
12381,1/19/2018,The Coca-Cola Company,Electronic,Yes,11,Yes,,Yes,,Yes,,
12382,1/22/2018,National Stores Inc.,Electronic,,1,,,,Yes,,,
12383,1/22/2018,Verimatrix Inc,Electronic,,1,,,Yes,,Yes,,
12384,1/22/2018,Rockland Trust Company,Paper,,1,,Yes,,,Yes,,
12385,1/22/2018,Rockland Trust Company,Paper,,1,,Yes,,,,,
12386,1/22/2018,Pilgrim Bank,Electronic,,1,,,,Yes,,,
12387,1/22/2018,CCR Wealth Management LLC,Electronic,Yes,66,Yes,,,,Yes,,
12388,1/22/2018,American's Test Kitchen Limited Partnership,Electronic,Yes,61,Yes,,,,Yes,,
12389,1/22/2018,Mindlance Inc.,Electronic,Yes,85,Yes,,,,Yes,,
12345,1/22/2018,Spaulding Rehabilitation Hospital,Paper,Yes,2,Yes,,,,Yes,,
12390,1/23/2018,Savers Bank,Electronic,,1,,,,Yes,,,
12391,1/24/2018,Discover,Electronic,,9,,,,Yes,,,
12392,1/24/2018,The Vanguard Group Inc,Electronic,,1,Yes,Yes,,,Yes,,
12393,1/24/2018,Southcoast Health,Electronic,,1,Yes,,,,,,
12394,1/25/2018,The Salvation Army of Augusts,Electronic,Yes,2,,,,Yes,Yes,,
12395,1/25/2018,Adams Community Bank,Electronic,,10,,,,Yes,,,
12396,1/25/2018,Bank of America,Paper,Yes,2,Yes,Yes,Yes,,Yes,,
12397,1/25/2018,Center for Living & Working,Paper,Yes,1,,,,,,,
12398,1/25/2018,Rogin Nassau LLC,Electronic,Yes,19,Yes,,,,Yes,,
12399,1/26/2018,Winchester Savings Bank,Electronic,,13,,Yes,,Yes,,,
12400,1/26/2018,ZS Associates,Electronic,,2,Yes,Yes,,,Yes,,
12401,1/26/2018,Salem Five,Paper,Yes,2,,Yes,,,,,
12402,1/26/2018,Pilgrim Bank,Electronic,,2,,,,Yes,,,
12403,1/26/2018,GoldLeaf Partners Services Inc,Electronic,,38,Yes,Yes,,,Yes,,
12404,1/29/2018,American Express Travel Related Services Co Inc,Electronic,,2,,,,Yes,,,
12405,1/29/2018,American Express Travel Related Services Co Inc,Electronic,,334,,,,Yes,,,
12406,1/29/2018,Keypoint Intelligence,Electronic,Yes,40,Yes,,,,Yes,,
12407,1/29/2018,Aperio Group LLC,Electronic,Yes,216,,Yes,,,Yes,,
12408,1/29/2018,Rockland Trust Company,Paper,,2,,Yes,,,Yes,,
12429,1/29/2018,Blue Cross and Blue Shield of MA Inc.,Electronic,Yes,530,Yes,,,,Yes,,
12409,1/30/2018,American Express Travel Related Services Company Inc,Electronic,,1,,,,Yes,,,
12410,1/30/2018,Southcoast Health,Paper,Yes,1,Yes,,,,Yes,,
12411,1/30/2018,"Seterus, Inc",Paper,Yes,1,,Yes,,,Yes,,
12412,1/30/2018,Avidia Bannk,Electronic,,1,,Yes,,,Yes,,
12413,1/30/2018,American Express Travel Related Services Company Inc,Electronic,,60,,,,Yes,,,
12414,1/30/2018,Hobart William Smith Colleges,Electronic,,1,Yes,,,,Yes,,
12415,1/31/2018,SumCo Eco-Contracting LLC,Paper,Yes,56,Yes,,,,Yes,,
12416,1/31/2018,"Willam A. Robinson, CPA",Electronic,,1,Yes,,,,Yes,,
12417,1/31/2018,American Express Travel Related Services Company Inc,Electronic,,3,,,,Yes,,,
12418,1/31/2018,American Express Travel Related Services Company Inc,Electronic,,1,,,,Yes,,,
12419,1/31/2018,American Express Travel Related Services Company Inc,Electronic,,6,,,,Yes,,,
12420,1/31/2018,Duquesne University,Electronic,Yes,2,Yes,,,,Yes,,
12432,1/31/2018,RBC Royal Bank,Electronic,,13,,,,Yes,Yes,,
12433,2/1/2018,Bank of America,Electronic,Yes,1,Yes,Yes,,,Yes,,
12434,2/1/2018,Member First Mortgage LLC,Electronic,Yes,11,Yes,Yes,,,Yes,,
12430,2/1/2018,Brighthouse Life Insurance Company,Electronic,,44,Yes,Yes,,,Yes,,
12437,2/1/2018,The Cooperative Bank of Cape Cod,Electronic,,224,,Yes,,Yes,,,
12421,2/1/2018,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
12422,2/1/2018,St. Mary's Credit Union,Electronic,,13,,,,,,,
12424,2/1/2018,Watertown Savings Bank,Electronic,,70,,,,Yes,,,
12425,2/1/2018,St. Elizabeth's Medical Center,Both,,1,Yes,,,,,,
12426,2/1/2018,St. Elizabeth's Medical Center,Both,,1,,,,,Yes,,
12427,2/1/2018,St. Elizabeth's Medical Center,Both,,1,Yes,,,,Yes,,
12428,2/1/2018,Metropolitan Life Insurance Company,Electronic,,56,,,,,Yes,,
12438,2/2/2018,The Village bank,Electronic,,34,,,,Yes,,,
12439,2/2/2018,"Advanced Graphic Products, Inc. dba Advanced Online",Electronic,Yes,13,,,,Yes,Yes,,
12440,2/2/2018,KeyBank N.A.,Electronic,,1,,Yes,,,,,
12441,2/2/2018,Doral Corporation,Electronic,,1,Yes,,,,Yes,,
12442,2/2/2018,Make-up Designory,Paper,,9,Yes,,,,Yes,,
