BUSINESS NAME,NOTIFICATION DOCUMENTS,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
U.S. Bank,https://media.dojmt.gov/wp-content/uploads/US-Bank-Consumer.pdf,7/30/2020,9/4/2020,9/8/2020,3
H&R Block,https://media.dojmt.gov/wp-content/uploads/Consumer.docx,4/24/2020,6/25/2020,7/31/2020,
"Verigent, LLC",https://media.dojmt.gov/wp-content/uploads/Verigent-Consumer-ltr.pdf,1/3/2020,6/4/2020,7/17/2020,3
American Public Works Association,https://media.dojmt.gov/wp-content/uploads/American-Public-Works-Association-Consumer-ltr.pdf,4/10/2020,7/13/2020,7/17/2020,2
Lorien Health Services,https://media.dojmt.gov/wp-content/uploads/Lorien-Health-Services-Consumer-ltr.pdf,6/6/2020,6/10/2020,7/16/2020,1
"US HealthCenter, Inc.",https://media.dojmt.gov/wp-content/uploads/US-HealthCenter-Consumer-ltr.pdf,4/13/2020,6/30/2020,7/16/2020,5
Columbia College Chicago,https://media.dojmt.gov/wp-content/uploads/Columbia-College-Chicago-Consumer-ltr.pdf,5/30/2020,6/24/2020,7/15/2020,1
Gravis Law PLLC,https://media.dojmt.gov/wp-content/uploads/Gravis-Law-PLLC-Consumer-ltr.pdf,6/15/2020,6/16/2020,7/14/2020,16
Mid-Delaware Imaging,https://media.dojmt.gov/wp-content/uploads/Mid-Delaware-Imaging-Consumer-ltr.pdf,1/30/2020,5/11/2020,7/14/2020,2
Parkview Medical Center,https://media.dojmt.gov/wp-content/uploads/Parkview-Medical-Center-Consumer-ltr.pdf,4/1/2020,5/15/2020,7/14/2020,1
"Bailard, Inc.",https://media.dojmt.gov/wp-content/uploads/General-Notice-107.pdf,2/25/2020,3/5/2020,7/11/2020,2
Morgan Stanley,https://media.dojmt.gov/wp-content/uploads/Morgan-Stanley-Consumer-ltr.pdf,1/1/2016,7/10/2020,7/10/2020,32370
Thomas Cuisine,https://media.dojmt.gov/wp-content/uploads/Thomas-Cuisine-Consumer-ltr.pdf,1/24/2020,2/18/2020,7/10/2020,71
M&T Bank,https://media.dojmt.gov/wp-content/uploads/MT-Bank-Consumer-ltr.pdf,12/17/2019,4/30/2020,7/10/2020,2
Wells Fargo Bank,https://media.dojmt.gov/wp-content/uploads/Wells-Fargo-Bank-Consumer-ltr.pdf,12/1/2019,5/31/2020,7/10/2020,2
"Collabera, Inc.",https://media.dojmt.gov/wp-content/uploads/Collabera-Inc-Consumer-ltr.pdf,5/24/2020,6/8/2020,7/9/2020,14
McPherson College,https://media.dojmt.gov/wp-content/uploads/McPherson-College-Consumer-ltr.pdf,10/3/2019,11/30/2019,7/9/2020,7
Boeing Employees' Credit Union,https://media.dojmt.gov/wp-content/uploads/Boeing-Employees-Credit-Union-Consumer-ltr.pdf,4/1/2020,6/30/2020,7/9/2020,1
"Claire's Stores, Inc.",https://media.dojmt.gov/wp-content/uploads/Claires-Stores-Inc.-Consumer-ltr.pdf,4/7/2020,6/12/2020,7/8/2020,119
Society for Industrial and Applied Mathamatics,https://media.dojmt.gov/wp-content/uploads/Society-for-Industrial-and-Applied-Mathamatics-Consumer.pdf,2/13/2020,4/24/2020,7/6/2020,3
"Benefit Recovery Specialists, Inc.",https://media.dojmt.gov/wp-content/uploads/Benefit-Recovery-Specialist-Consumer.pdf,4/20/2020,4/30/2020,7/2/2020,1
"Urban Compass, Inc.",https://media.dojmt.gov/wp-content/uploads/Urban-Compass-Consumer.pdf,5/24/2019,1/8/2020,7/1/2020,2
"Sobel Westex, Inc.",https://media.dojmt.gov/wp-content/uploads/Sobel-Westex-Inc.-Consumer.pdf,4/10/2020,4/20/2020,7/1/2020,1
"Weber & Vanorio CPA's, P.C.",https://media.dojmt.gov/wp-content/uploads/Weber-Vanorio-Consumer.pdf,4/28/2020,5/29/2020,7/1/2020,2389
Good Samaritan Hospital,https://media.dojmt.gov/wp-content/uploads/Good-Samaritan-Hospital-Consumer.pdf,10/28/2019,11/8/2019,7/1/2020,14
"Codal, Inc.",https://media.dojmt.gov/wp-content/uploads/Codal-Inc-Consumer.pdf,1/24/2020,4/17/2020,6/30/2020,2
EDP Renewables North America,https://media.dojmt.gov/wp-content/uploads/EDP-Renewables-North-America-LLC-consumer.pdf,4/13/2020,5/8/2020,6/30/2020,3
American Express Travel Related Services Company,https://media.dojmt.gov/wp-content/uploads/American-Express-consumer.pdf,4/16/2020,4/18/2020,6/30/2020,3
Steel Partners Holdings L.P.,https://media.dojmt.gov/wp-content/uploads/Steel-Partners-Consumer-ltr.pdf,4/18/2020,4/29/2020,6/29/2020,92
"CBRE, Inc.",https://media.dojmt.gov/wp-content/uploads/CRBE-Inc.-Consumer.pdf,5/18/2020,6/8/2020,6/29/2020,2
US International Media (USIM),https://media.dojmt.gov/wp-content/uploads/USIM-ltr-Consumers.pdf,4/26/2020,5/9/2020,6/29/2020,1
The Electrical Training Institute,https://media.dojmt.gov/wp-content/uploads/The-Electrical-Training-Institute-Consumer-ltr-1.pdf,12/23/2019,12/26/2019,6/29/2020,2
Elam Consulting,https://media.dojmt.gov/wp-content/uploads/2020-06-29_Elam-Consulting-Consumer-ltr.pdf,7/1/2019,5/29/2020,6/29/2020,2
University of Utah,https://media.dojmt.gov/wp-content/uploads/General-Notice-98.pdf,4/6/2020,4/7/2020,6/26/2020,43
Yellowstone Hospitality Inc. / Loomis Enterprises Inc.,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-197.pdf,4/27/2020,4/27/2020,6/25/2020,20
"CNY Works, Inc.",https://media.dojmt.gov/wp-content/uploads/General-Notice-99.pdf,12/21/2019,12/21/2019,6/25/2020,9
Ketterer Company,https://media.dojmt.gov/wp-content/uploads/Consumer-112.pdf,2/7/2020,5/6/2020,6/24/2020,19
DLL Finance LLC,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-196.pdf,4/30/2020,5/8/2020,6/24/2020,2
"Kroto Inc., d/b/a iCanvas",https://media.dojmt.gov/wp-content/uploads/General-Notice-100.pdf,5/10/2020,5/28/2020,6/24/2020,26
Paramount Bank,https://media.dojmt.gov/wp-content/uploads/Consumer-108.pdf,11/26/2019,2/24/2020,6/23/2020,28
Eagle Community Credit Union,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-195.pdf,2/24/2020,2/24/2020,6/23/2020,9
"GAIN Capital Group, LLC",https://media.dojmt.gov/wp-content/uploads/Consumer-106.pdf,4/14/2020,4/18/2020,6/22/2020,27
"Young, Molohan, Cohen & Durrett, LLP",https://media.dojmt.gov/wp-content/uploads/Consumer-105.pdf,3/31/2020,3/31/2020,6/22/2020,2
Acceler8,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-194.pdf,4/1/2020,4/1/2020,6/22/2020,1
"Young, Molohan, Cohen & Durrett, LLP",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-193.pdf,1/1/1995,3/31/2020,6/22/2020,2
Florida Orthopaedic Institute,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-192.pdf,4/9/2020,4/9/2020,6/22/2020,70
Community Development Bank,https://media.dojmt.gov/wp-content/uploads/General-Notice-101.pdf,2/7/2020,3/26/2020,6/22/2020,6
Providence St. Joseph Health,https://media.dojmt.gov/wp-content/uploads/Consumer-107.pdf,1/12/2020,5/16/2020,6/19/2020,1
WESTECH International Inc.,https://media.dojmt.gov/wp-content/uploads/Consumer-104.pdf,5/10/2020,5/10/2020,6/19/2020,31
STRATA Trust Company,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-191.pdf,2/1/2020,2/14/2020,6/19/2020,36
CodeMetro,https://media.dojmt.gov/wp-content/uploads/General-Notice-109.pdf,4/21/2020,4/21/2020,6/19/2020,
"Le Duff America, Inc.",https://media.dojmt.gov/wp-content/uploads/Consumer-110.pdf,8/28/2019,9/21/2019,6/18/2020,44000
American Medical Technologies,https://media.dojmt.gov/wp-content/uploads/Consumer-109.pdf,12/17/2019,12/17/2019,6/18/2020,28
"CU Collections, LLC",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-190.pdf,2/1/2020,2/29/2020,6/18/2020,1
"Concorde Asset Management, LLC",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-189.pdf,9/17/2019,11/4/2019,6/17/2020,27
"Community Solutions, Inc.",https://media.dojmt.gov/wp-content/uploads/Consumer-103.pdf,11/11/2019,12/5/2019,6/15/2020,1
"Orascom Constuction USA, Inc.",https://media.dojmt.gov/wp-content/uploads/General-Notice-108.pdf,1/15/2020,2/8/2020,6/15/2020,5
New Horizons Credit Union,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-188.pdf,8/7/2019,8/7/2019,6/15/2020,6
BJC Healthcare,https://media.dojmt.gov/wp-content/uploads/Consumer-102.pdf,3/6/2020,3/6/2020,6/12/2020,14
"Masterfeeds, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-187.pdf,3/13/2020,3/13/2020,6/12/2020,8
Tait Towers Manufacturing LLC,https://media.dojmt.gov/wp-content/uploads/Consumer-101.pdf,2/16/2020,4/6/2020,6/11/2020,
"Karr Barth Administrators, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-186.pdf,3/6/2020,3/9/2020,6/11/2020,1
"Ohnstad Twitchell, P.C.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-185.pdf,1/13/2020,1/13/2020,6/10/2020,2
