Org_Name,Original_Text,Reported_Date,Cleaned_Date,URL,Name_Processing
A&A Global ImportsInc.,"A&A Global Imports, Inc., January 9, 2019 ","January 9, 2019 ",1/9/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/ez-up-20190111.pdf,"A&A Global ImportsInc., January 9, 2019 "
AAR CORP.,"AAR CORP., August 12, 2019 ","August 12, 2019 ",8/12/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aar-corp-20190812.pdf,"AAR CORP., August 12, 2019 "
Aaron's,"Aaron's, October 18 2011 ","October 18, 2011 ",10/18/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/aarons-20111018.pdf,"Aaron's, October 18, 2011 "
ABM Industries Incorporated,"ABM Industries Incorporated, July 23, 2019 ","July 23, 2019 ",7/23/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-industries-20190723.pdf,"ABM Industries Incorporated, July 23, 2019 "
ABM Industries Inc.,"ABM Industries Inc.March 08, 2018 ","March 08, 2018 ",3/8/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20180308.pdf,"ABM Industries Inc., March 08, 2018 "
ABM Industries Inc.,"ABM Industries Inc., November 14, 2017 ","November 14, 2017 ",11/14/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20171114.pdf,"ABM Industries Inc., November 14, 2017 "
AB Acquisition LLC (Shaw's),"AB Acquisition LLC (Shaw's) September 29, 2014 ","September 29, 2014 ",9/29/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140929.pdf,"AB Acquisition LLC (Shaw's), September 29, 2014 "
AB Acquisition LLC (Shaw's),"AB Acquisition LLC (Shaw's) August 29, 2014 ","August 29, 2014 ",8/29/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140829.pdf,"AB Acquisition LLC (Shaw's), August 29, 2014 "
AB Acquisition LLC (Shaw's),"AB Acquisition LLC (Shaw's), August 15, 2014 ","August 15, 2014 ",8/15/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140815.pdf,"AB Acquisition LLC (Shaw's), August 15, 2014 "
ABBInc.,"ABB, Inc., September 11, 2017 ","September 11, 2017 ",9/11/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/abb-20170911.pdf,"ABBInc., September 11, 2017 "
Abbott Laboratories,"Abbott Laboratories, February 5, 2019 ","February 5, 2019 ",2/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-laboratories-20190205.pdf,"Abbott Laboratories, February 5, 2019 "
Abbott Medical Optics Inc.,"Abbott Medical Optics Inc., February 01, 2010 ","February 01, 2010 ",2/1/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-medical-20100201.pdf,"Abbott Medical Optics Inc., February 01, 2010 "
Abbott Nutrition,"Abbott Nutrition, February 23, 2017 ","February 23, 2017 ",2/23/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-nutition-20170223.pdf,"Abbott Nutrition, February 23, 2017 "
ABC Carpet and Home,"ABC Carpet and Home, October 09, 2017 ","October 09, 2017 ",10/9/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-carpet-home-20171009.pdf,"ABC Carpet and Home, October 09, 2017 "
ABC Bus CompaniesInc.,"ABC Bus Companies, Inc., March 02. 2018 ",March 02. 2018 ,3/2/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-bus-20180302.pdf,"ABC Bus CompaniesInc., March 02. 2018 "
ABC Phones of North CarolinaInc. dba Victra,"ABC Phones of North Carolina, Inc. dba Victra, April 13, 2018 ","April 13, 2018 ",4/13/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-phones-20180413.pdf,"ABC Phones of North CarolinaInc. dba Victra, April 13, 2018 "
ABM Industries Incorporated,"ABM Industries Incorporated, March 19, 2019 ","March 19, 2019 ",3/19/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-industries-20190319.pdf,"ABM Industries Incorporated, March 19, 2019 "
Abel Womack,"Abel Womack, March 09, 2016 ","March 09, 2016 ",3/9/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/abel-womack-20160309.pdf,"Abel Womack, March 09, 2016 "
Abel HR,"Abel HR, April 29, 2019 ","April 29, 2019 ",4/29/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/abel-hr-20190429.pdf,"Abel HR, April 29, 2019 "
Abeles & Hoffman PC,"Abeles & Hoffman, PC, February 13, 2018 ","February 13, 2018 ",2/13/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/abeles-20180213.pdf,"Abeles & Hoffman PC, February 13, 2018 "
Abercrombie & Fitch,"Abercrombie & Fitch, April 15, 2015 ","April 15, 2015 ",4/15/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/abercrombie-fitch-20150415.pdf,"Abercrombie & Fitch, April 15, 2015 "
Abilene Telco FCU,"Abilene Telco FCU, October 10, 2011 ","October 10, 2011 ",10/10/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/abilene-telco-fcu-20111010.pdf,"Abilene Telco FCU, October 10, 2011 "
Academy of Art University,"Academy of Art University, April 12, 2016 ","April 12, 2016 ",4/12/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/academy-of-art-20160412.pdf,"Academy of Art University, April 12, 2016 "
Academy of Nutrition and Dietetics,"Academy of Nutrition and Dietetics, August 02, 2016 ","August 02, 2016 ",8/2/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/academy-nutrition-dietetics-20160802.pdf,"Academy of Nutrition and Dietetics, August 02, 2016 "
Accedian Networks US Inc.,"Accedian Networks US Inc., July 2, 2020 ","July 2, 2020 ",7/2/2020,https://www.doj.nh.gov/consumer/security-breaches/documents/accedian-networks-us-20200702.pdf,"Accedian Networks US Inc., July 2, 2020 "
Ace Surgical Supply,"Ace Surgical Supply, September 15, 2015 ","September 15, 2015 ",9/15/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/ace-surgical-supply-20150915.pdf,"Ace Surgical Supply, September 15, 2015 "
Acer Service Corporation,"Acer Service Corporation, June 03, 2016 ","June 03, 2016 ",6/3/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/acer-service-20160603.pdf,"Acer Service Corporation, June 03, 2016 "
Accucom Corporation,"Accucom Corporation, February 22, 2012 ","February 22, 2012 ",2/22/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/accucom-20120222.pdf,"Accucom Corporation, February 22, 2012 "
Accurate Word,"Accurate Word, September 16, 2019 ","September 16, 2019 ",9/16/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/accurate-word-20190916.pdf,"Accurate Word, September 16, 2019 "
AcostaInc. (Mosaic Sales Solutions US Operating Co. LLC),"Acosta, Inc. (Mosaic Sales Solutions US Operating Co. LLC), December 12, 2014 ","December 12, 2014 ",12/12/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/acosta-20141212.pdf,"AcostaInc. (Mosaic Sales Solutions US Operating Co. LLC), December 12, 2014 "
Acquis Consulting Group LLC,"Acquis Consulting Group LLC, December 20, 2018 ","December 20, 2018 ",12/20/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/acquis-consulting-20181220.pdf,"Acquis Consulting Group LLC, December 20, 2018 "
AcronisInc.,"Acronis, Inc., March 04, 2016 ","March 04, 2016 ",3/4/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/acronis-20160304.pdf,"AcronisInc., March 04, 2016 "
Actelis NetworksInc.,"Actelis Networks, Inc. December 13, 2013 ","December 13, 2013 ",12/13/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/actelis-networks-20131213.pdf,"Actelis NetworksInc., December 13, 2013 "
ActifioInc.,"Actifio, Inc., March 02, 2016 ","March 02, 2016 ",3/2/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/actifio-20160302.pdf,"ActifioInc., March 02, 2016 "
ACTIVE Network,"ACTIVE Network, February 23, 2018 ","February 23, 2018 ",2/23/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/active-20180223.pdf,"ACTIVE Network, February 23, 2018 "
