Company,Date,Type,Description,NJCCIC Recommendation
First American Financial Corporation,6/3/2019,Data Breach,"First American Financial Corporation left hundreds of millions of mortgage-related documents exposed online, including records dating back to 2003. The documents included bank account numbers and statements, mortgage and tax records, Social Security numbers, wire transaction receipts, and driver’s license images. These documents were available on a web server and could be accessed by modifying the URL of a document link received from First American. By the afternoon on Friday, May 24, the company disabled the site that served the records. More information on the breach can be found in the KrebsOnSecurity article.  ",
Boost Mobile,5/20/2019,Data Breach,"Boost Mobile, a California-based mobile phone company, has identified unauthorized online account activity affecting an unknown number of customers. The letter posted to customers on Boost’s site provided vague details; however, it was noted that the Boost Mobile team implemented a permanent solution. Customers were sent new temporary PIN codes and asked to create a new PIN upon notification. To avoid credential stuffing, it was recommended that customers refrain from using simple codes such as 1234.","The NJCCIC advises Boost users to immediately change their PIN and review their online account to ensure the information is correct. If any information has been changed without user permission, immediately contact Boost Mobile Customer Care at 1-866-402-7366. Lastly, enable multi-factor authentication (MFA) if available. For more information please review SecurityWeek’s article."
Ladders,5/13/2019,Data Breach,"Ladders, a popular employment website, has reportedly exposed more than 13.7 million user records due to a cloud misconfiguration. Some of the information leaked included users’ names, postal and email addresses, phone numbers, and detailed employment histories. The data was stored in an Elasticsearch database hosted by Amazon Web Server (AWS), and was not protected by password authentication. Ladders CEO, Marc Cenedella, confirmed the breach. The database was taken offline within an hour of notification","The NJCCIC recommends Ladders users verify their account information and exercise caution when opening Ladders-related emails, as the breached data could be used in social engineering and phishing attempts.  "
Docker,5/6/2019,Data Breach,"Threat actors have gained access to over 190,000 Docker users’ personal data via a single Docker Hub repository. Docker is a platform that enables developers to develop, deliver, and run applications inside containers. Exposed data includes usernames, hashed passwords, and API tokens which were used by developers with GitHub and Bitbucket. API tokens - an authentication token that replaces a username and password - have also been canceled, forcing users to reconnect manually. Docker has stated that they will “enhance the overall security processes and review policies.” The company does not yet offer multi-factor authentication despite users’ suggestions.",The NJCCIC recommends all Docker users change their password and follow recommendations found in the Docker advisory. We also advise those that have an API token to check API logs found on GitHub and BitBucket.
LinkedIn,4/30/2019,Data Breach,"GDI foundation security researcher, Sanyam Jain, has identified eight unprotected databases exposing 60 million records of LinkedIn user data. This information contains LinkedIn profile information: IDs, profile URLs, work history, education history, location, listed skills, other social profiles, and the last time the profile was updated. In addition, the data includes user email addresses, regardless if the user’s privacy settings were configured to hide that information from public view. LinkedIn refutes the claim that they were breached or that the leak originated from their database. Head of Trust & Safety at LinkedIn, Paul Rockwell, instead suggested that a third-party company exposed scraped data from LinkedIn public profiles.","The NJCCIC recommends LinkedIn users to review their public profile and update security and privacy settings as needed. As an added measure, we advise users to change their LinkedIn password immediately as well as other accounts that utilized the same password. For more information, please review BleepingComputer’s article. "
Earl Enterprises,4/8/2019,Data Breach,"Earl Enterprises has confirmed a Point of Sale (PoS) breach affecting patrons who dined at the parent company’s restaurants between May 23, 2018 and March 18, 2019. The restaurants include Buca di Beppo, Earl of Sandwich, Planet Hollywood, Chicken Guy!, Mixology, Disney Springs, and Tequila Taqueria at various locations across 40 states. Online orders were not affected as the malware was installed at PoS machines at various eateries. A threat intelligence analyst notified ZDNet of a “huge new card dump” for sale on a darknet forum claiming to contain 2.15 million stolen records. Earl Enterprises is currently working with federal law enforcement, and has published an online resourcefor customers who may have been affected.","The NJCCIC recommends users review all banking and credit cards statements for suspicious transactions and contact their bank if information has been compromised. To request a credit freeze, please contact the credit reporting bureaus of Experian, Transunion and Equifax."
Facebook | Facebook Lite | Instagram,4/1/2019,Data Breach,"Facebook recently revealed that millions of user passwords from Facebook, Facebook Lite, and Instagram have been exposed. The passwords were stored on an internal data storage system in plain text, easily accessible to all of its employees. There is no evidence that the passwords were compromised or used to access customer accounts. Also, the passwords were not visible to anyone outside of company employees. Facebook has ensured that all passwords are now concealed and the customers whose information was exposed will be notified.","The NJCCIC recommends users of Facebook, Facebook Lite, and Instagram to change their password and enable multi-factor authentication where available. For more details please review the Bleeping Computer blog postand Krebs Report here."
Sizmek,3/26/2019,Data Breach,"The online advertising firm Sizmek Inc., the third-largest ad server network in the world, recently suffered a data breach. A cybercriminal was discovered selling access to a basic user account on a dark web criminal forum in Russian. The account, however, was able to modify ads, offers, and marketing analysis for several well-known business brands in the US. This access could leave the site exposed to sabotage and its users subject to possible malware. It appears that the threat actor targeted accounts of key employees, and infiltrated those accounts of past employees, vendors, and partners that were not disabled. Two frequently used methods of compromise are password spraying and “brute-force light” attacks. Sizmek CEO, Mark Grether, stated that appropriate physical, technical, and administrative safeguards have been implemented, ensuring that the protocol issue has been corrected.",
Citrix,3/18/2019,Data Breach,"Citrix was contacted by the FBI recently about an internal network breach involving business documents potentially exposing customer data. The Iranian-linked group, IRIDIUM, has attacked more than 200 government agencies, oil and gas firms, and technology companies in the past. This targeted network intrusion, allegedly by the same group, was planned and organized with a likely used tactic of password spraying, which is a technique of exploiting weak passwords for a large number of accounts and ultimately bypassing additional layers of security. As this breach is still under investigation, the specific documents are currently unknown and there is no indication of compromise to Citrix products and services at the time of this writing.","The NJCCIC recommends using strong and unique passwords, using multi-factor authentication where available, and monitoring accounts and systems. We also encourage users to review Cybersecurity Best Practices here for more information on how to keep their accounts and data safe. More information about the Citrix breach can be found in their blog post here and Forbes’ blog post here."
Topps,3/4/2019,Data Breach,"The sports trading card and collectible company Topps suffered a cyber attack against its website topps[.]com, exposing names, mailing addresses, telephone numbers, email addresses, and payment card information. This type of attack, around for the last several years, is known as a “MageCart” attack occurs when a website is hacked and a malicious script is injected onto the site’s checkout page in order to steal data. Topps believes the malicious script was present on the site from November 19, 2018-January 9, 2019. Any customers who entered their information on topps[.]com during this time are highly advised to monitor their banking statements for unauthorized activity, review their credit history for any signs of identity theft, and consider placing a security freeze on their credit file.",
TurboTax,3/4/2019,Data Breach,"TurboTax customer tax return information has been exposed via a credential stuffing attack. In this attack, the networks of TurboTax were not compromised; instead, threat actors used username and password combinations from previous non-TurboTax security breaches to gain access to customer accounts. Any information disclosed on their tax return, such as Social Security number, date of birth, financial information, and any spouse and dependent information was available for the threat actor and can easily be used to commit identity theft. This incident is another reminder of the dangers of password reuse across multiple accounts. TurboTax temporarily disabled affected accounts; customers can call 1-800-944-8596 to verify their identity and reactivate their account. TurboTax is also offering a year of free identity protection, credit monitoring, and identity restoration services to impacted customers.",
