Business/Organization Name,Entity Type,Date Submitted,Breach Date,Breach Type,Individuals Affected,NC Residents Affected
Cincinnati Reds,GENERAL BUSINESS,11/16/2018,11/6/2018,PHISHING,1863,10
British Airways Plc,GENERAL BUSINESS,11/23/2018,9/5/2018,HACKERS/ UNAUTHORIZED,429000,595
"HSBC Bank USA, National Association",FINANCIAL SERVICES/INSURANCE,11/23/2018,10/29/2018,"HACKERS/ UNAUTHORIZED, ACCESS",903,16
"Haworth, Inc.",GENERAL BUSINESS,11/21/2018,11/1/2018,RELEASE/ DISPLAY OF INFO,1600,107
"Richard C. Malesich & Associates, LLC",FINANCIAL SERVICES/INSURANCE,11/21/2018,10/22/2018,PHISHING,1511,7
"Identifix, Inc.",GENERAL BUSINESS,11/21/2018,10/24/2018,PHISHING,11,2
Cumberland County Hospital System,HEALTHCARE,11/21/2018,11/13/2018,RELEASE/ DISPLAY OF INFO,1,1
Bank of Vernon,FINANCIAL SERVICES/INSURANCE,11/21/2018,9/12/2018,PHISHING,1084,2
"Hobart Private Capital, LLC",FINANCIAL SERVICES/INSURANCE,11/20/2018,11/12/2018,RELEASE/ DISPLAY OF INFO,6,6
Lundberg Family Farms,GENERAL BUSINESS,11/20/2018,8/2/2018,PHISHING,201,9
El Centro Regional Medical Center,HEALTHCARE,11/20/2018,10/2/2018,"HACKERS/ UNAUTHORIZED, ACCESS",26583,8
Knob Deco,GENERAL BUSINESS,11/20/2018,10/2/2018,HACKERS/ UNAUTHORIZED,88,1
"WNY Asset Management, LLC",FINANCIAL SERVICES/INSURANCE,11/20/2018,10/17/2018,PHISHING,238,1
R.R. Bowker LLC,GENERAL BUSINESS,11/20/2018,10/23/2018,HACKERS/ UNAUTHORIZED,18578,498
"New York Oncology Hematology, P.C.",HEALTHCARE,11/19/2018,10/1/2018,"HACKERS/ UNAUTHORIZED, ACCESS",128420,168
"Cumberland County Hospital System, Inc.",HEALTHCARE,11/19/2018,9/21/2018,RELEASE/ DISPLAY OF INFO,3,3
"Loeb Enterprises II, LLC",GENERAL BUSINESS,11/19/2018,10/8/2018,PHISHING,1656,54
American National Bank of Texas (ANBTX),FINANCIAL SERVICES/INSURANCE,11/19/2018,9/4/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",7200,2
Francesca's Services Corporation,GENERAL BUSINESS,11/19/2018,11/8/2018,"HACKERS/ UNAUTHORIZED, ACCESS",84275,2230
LPL Financial LLC,FINANCIAL SERVICES/INSURANCE,11/17/2018,11/1/2018,"HACKERS/ UNAUTHORIZED, ACCESS",270000,7518
"Johnson, Lauder & Savidge, LLP",GENERAL BUSINESS,11/16/2018,10/16/2018,PHISHING,300,5
"Wyndham Vacation Resorts,",GENERAL BUSINESS,11/16/2018,9/21/2018,LOST IN TRANSIT,26,1
"Group Dynamic, Inc.",HEALTHCARE,11/16/2018,9/17/2018,HACKERS/ UNAUTHORIZED,2528,19
Center for Vitreo-Retinal Diseases,HEALTHCARE,11/16/2018,9/18/2018,"HACKERS/ UNAUTHORIZED, ACCESS",20371,21
Collier Heggerness & Bronk CPA's PS Inc,FINANCIAL SERVICES/INSURANCE,11/16/2018,9/27/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2354,3
"1-800 Contacts, Inc.",HEALTHCARE,11/16/2018,10/10/2018,RELEASE/ DISPLAY OF INFO,150,4
Humana,HEALTHCARE,9/21/2018,8/21/2018,HACKERS/ UNAUTHORIZED,,2
Dr. Robert Carpenter,HEALTHCARE,10/22/2018,8/8/2018,HACKERS/ UNAUTHORIZED,,8
Wilmington Trust Company,GENERAL BUSINESS,9/20/2018,9/20/2018,LOST IN TRANSIT,,1
Dr. Amy Woodruff,GENERAL BUSINESS,10/22/2018,8/8/2018,HACKERS/ UNAUTHORIZED,,4
"Concept Title Services, Inc.",GENERAL BUSINESS,8/14/2018,8/7/2018,PHISHING,,2
RBC Wealth Management,GENERAL BUSINESS,8/3/2018,7/18/2018,PHISHING,,14
Payoneer Inc.,FINANCIAL SERVICES/INSURANCE,7/30/2018,7/16/2018,"HACKERS/ UNAUTHORIZED, ACCESS",,1
Data Intensity,GENERAL BUSINESS,9/27/2018,8/22/2018,HACKERS/ UNAUTHORIZED,,2
"Dorian Business Systems, LLC.",GENERAL BUSINESS,8/24/2018,7/17/2018,RELEASE/ DISPLAY OF INFO,,
"Bluegreen Vacations Unlimited, Inc.",GENERAL BUSINESS,9/4/2018,8/16/2018,LOST IN TRANSIT,,4
