ID,Entity Involved,Date Involved
1,Loeb Enterprises,11/28/2018
2,British Airways,11/28/2018
3,Smith & Nephew,11/28/2018
4,Independence Community College,11/26/2018
5,Richard C Malesich & Assoc.,11/26/2018
6,1-800 Contacts,11/26/2018
7,R.R. Bowker LLC,11/26/2018
8,Hats.com,11/26/2018
9,"Johnson, Lauder & Savidge",11/26/2018
10,AAVIN,11/26/2018
11,WNY Asset Management,11/26/2018
12,Valor Management,11/20/2018
13,LPL Financial (Capital Forensics),11/20/2018
14,Knob Deco,11/20/2018
15,Francesca's Services Corporation (Social Annex) Cloud,11/20/2018
16,NextGen Healthcare fka Quality Systems,11/19/2018
17,StataCorp,11/19/2018
18,Pharmacy Times Office Continuning Professional Education,11/19/2018
19,Employee Benefit Services of Maryland,11/19/2018
20,Cincinnati Reds/Reds Community/Reds Hall of Fame,11/19/2018
21,DC International,11/19/2018
22,Intuit (November),11/16/2018
23,Our Piece of the Pie,11/16/2018
24,Newegg,11/16/2018
25,Dabney S Lancaster Community College,11/16/2018
26,HealthEquity (November),11/16/2018
27,Unified Trust Company,11/14/2018
28,Snider Fleet Solutions,11/14/2018
29,Weddle Brothers Construction,11/14/2018
30,Marimekko Corporation,11/14/2018
31,Entrust Energy,11/14/2018
32,Collier Heggerness & Bronk,11/14/2018
33,Jennifer Miller Ltd,11/14/2018
34,BioMarin Pharmaceutical,11/14/2018
35,Alight Solutions (November),11/14/2018
36,Atlantic Bay Mortgage (November),11/9/2018
37,Health Authority,11/9/2018
38,El Paso-Los Angeles Limousine Express,11/8/2018
39,Nordstrom,11/8/2018
40,Inova Health System,11/6/2018
41,FHN Family Counseling Center,11/6/2018
42,Sirchie Acquisition Company,11/6/2018
43,Five Guys Holdings,11/6/2018
44,OXO,11/6/2018
45,Association of American Medical Colleges,11/6/2018
46,ImpactAssets,11/6/2018
47,Dane Street (United of Omaha),11/6/2018
48,LJCooper Capital Management,11/5/2018
49,Southeastern Trust Company,11/5/2018
50,Transamerica (November),11/5/2018
51,Martin Financial Group,11/1/2018
52,Whole Foods Market,11/1/2018
53,International Society of Explosives Engineers,10/31/2018
54,Beverly Loy,10/31/2018
55,Howard University (October),10/31/2018
56,Hairbow Center,10/31/2018
57,Strategic Risk Solutions,10/31/2018
58,Travel Leaders Group,10/31/2018
59,Cendera Funding,10/31/2018
60,Dr. Amy Woodruff,10/26/2018
61,Dr. Robert Carpenter,10/26/2018
62,Bankers Life,10/26/2018
63,STL International d/b/a Teeter,10/26/2018
64,TravisMathew,10/26/2018
65,Cigna,10/26/2018
66,Net32,10/26/2018
67,GSI US,10/26/2018
68,Landcar Management,10/25/2018
69,Uber Technologies,10/25/2018
70,Village People LLC,10/24/2018
71,TransUnion (October 23),10/24/2018
72,Byram Healthcare,10/24/2018
73,Challenger Sports,10/24/2018
74,Renaissance Philanthropic Solutions,10/23/2018
75,CRI-SF,10/22/2018
76,Scrapbook.com,10/22/2018
77,Quad Assoc,10/22/2018
78,Ransom Memorial Hospital,10/19/2018
79,Florida Farm Bureau,10/19/2018
80,Greenfield Senior Living,10/19/2018
81,Gulick Group,10/18/2018
82,Goody Tickets (Tickets-Online.com),10/18/2018
83,Buehler's Fresh Foods,10/18/2018
84,Northwest Surgical Specialists d/b/a Rebound Orthopedics,10/18/2018
85,DecisionHR Holdings,10/18/2018
86,Tallahassee Memorial Healthcare,10/18/2018
87,TransUnion,10/12/2018
88,Shoe Station,10/12/2018
89,Independent Office Products & Furniture Dealers Assoc,10/12/2018
90,Mount Saint Mary Academy,10/12/2018
91,Envision Healthcare Corporation,10/12/2018
92,Northwestern Mutual Life Insurance,10/12/2018
93,Five Below,10/10/2018
94,FirstGroup America (HealthFitness),10/10/2018
95,Professional Golf Ball Services,10/10/2018
96,Air Canada Mobile+ App,10/9/2018
97,LeafFilter North,10/9/2018
98,Broad Street Capital Advisors,10/9/2018
99,Another Planet Entertainment,10/9/2018
100,California State University East Bay,10/9/2018
101,Chew & Company,10/9/2018
102,AEI Fund Management,10/4/2018
103,ppi2pass.com,10/4/2018
104,HIS Markit Ltd,10/4/2018
105,Fellen and Fellen LLC,10/4/2018
106,Quest Nutrition,10/3/2018
107,Chesapeake College,10/3/2018
108,McKenna & Sachs,10/2/2018
109,Data Intensity,10/2/2018
110,Vanguard Dealer Services,10/1/2018
111,Safco-Mayline,10/1/2018
112,Smith Freed & Eberhard PC,9/25/2018
113,REDICO Management,9/25/2018
114,The Affiliated Group,9/25/2018
115,Archdiocese of Washington,9/24/2018
116,Dragas Mortgage,9/24/2018
117,Virginia Department of Motor Vehicles,9/24/2018
118,Virginia Department of Fire Programs,9/21/2018
119,CNU of Utah (September 13),9/21/2018
120,HI Innovation,9/21/2018
121,Tech Rabbit,9/21/2018
122,Plant Therapy (September),9/21/2018
123,Performance Food Group,9/21/2018
124,Commercial Equipment Finance,9/21/2018
125,Peaceful Valley Farm Supply,9/19/2018
126,VenatoRx Pharmaceuticals,9/19/2018
127,Insmed Incorporated,9/19/2018
128,Ebbs Roberts Head & Daw,9/18/2018
129,Monroe Capital Holdings,9/18/2018
130,TKC Holdings,9/18/2018
131,WBCM,9/18/2018
132,Comfort Inn Petersburg,9/18/2018
133,CNU of Utah d/b/a CashNetUSA (September),9/18/2018
134,HealthFitness,9/18/2018
135,Commonwealth Foreign Exchange,9/17/2018
136,Roadrunner Transportation Systems,9/17/2018
137,Kulig Accounting,9/17/2018
138,DuPont Community Credit Union,9/17/2018
139,Aetna (Mr. Spyros Panos),9/12/2018
140,CNU of Utah LLC (August),9/12/2018
141,Sanibel Captiva Trust,9/12/2018
142,Nardella & Taylor,9/12/2018
143,Citibank NA,9/12/2018
144,Skagit Bank,9/12/2018
145,Signator Investors,9/12/2018
146,Bankers Insurance,9/10/2018
147,Atlantic Bay Mortgage Group,9/10/2018
148,Zurich,9/10/2018
149,ESJ Towers,9/10/2018
150,HIAS,9/10/2018
151,Title Nine (Social Annex d/b/a Annex Cloud,9/10/2018
152,Business Financial d/b/a BFS Capital,9/10/2018
153,Stein Mart (Social Annex d/b/a Annex Cloud),9/10/2018
154,North American Risk Services,9/6/2018
155,Movement Mortgage,9/6/2018
156,Plant Therapy,9/6/2018
157,Delaware Life Insurance,9/6/2018
158,Richard Owen Nursery d/b/a Dutch Gardens,9/6/2018
159,The Arc of Southern Maryland,9/4/2018
160,Salter Labs,9/4/2018
161,Cain Watters & Associates,9/4/2018
162,Aqua Finance,9/4/2018
163,Lipscomb & Pitts Insurance,9/4/2018
164,Sierra Nevada Brewing,9/4/2018
165,Posternak Blankstein & Lund,9/4/2018
166,Towne Park,8/31/2018
167,Garretson Resolution Group,8/31/2018
168,REEB Millwork,8/31/2018
169,LILLEbaby,8/31/2018
170,Old Dominion Settlements t/a Key Title,8/30/2018
171,Cortland Partners,8/29/2018
172,Redhorse Corporation,8/29/2018
173,MedEvolve,8/29/2018
174,Dorian Business Systems,8/29/2018
175,Star Title Partners of Palm Harbor,8/27/2018
176,Biodesix,8/27/2018
177,Evalueserve (ComplyRight),8/27/2018
178,CNG Financial Corporation,8/24/2018
179,Chipotle Mexican Grill,8/24/2018
180,Cheddar's Scratch Kitchen,8/24/2018
181,The Conlan Company,8/23/2018
182,OneMain Financial (August),8/23/2018
183,Munro and Company,8/23/2018
184,Whitmer & Company (August),8/23/2018
185,Dallas County Community College District,8/22/2018
186,Druva,8/22/2018
187,OMNIA Partners,8/22/2018
188,FC Compassus,8/22/2018
189,Mondelez Global,8/22/2018
190,LA Fashion Enterprise,8/17/2018
191,Plan International USA,8/17/2018
192,City of Roanoke,8/15/2018
193,Anne Arundel Dermatology,8/15/2018
194,American Institute of Aeronautics,8/13/2018
195,Brown Construction Services,8/10/2018
196,Feld Entertainment,8/10/2018
197,TargetSt8,8/8/2018
198,RBC (Supernova),8/7/2018
199,A&F Engineers,8/7/2018
200,J E Sandifer Financial,8/7/2018
201,Bank of Hope,8/7/2018
202,Apex Systems,8/7/2018
203,Loyola University of Chicago,8/7/2018
204,Leader Bank,8/7/2018
205,Colorado Bankers Life Insurance,8/7/2018
206,Alight Solutions,8/7/2018
207,TCM Bank,8/7/2018
208,North American Power & Gas,8/7/2018
209,Our Honeymoon Wishes,8/7/2018
210,Clarkson PLC,8/3/2018
211,GSP Financial,8/3/2018
212,City of Midwest City,8/3/2018
213,Sunspire Health,8/1/2018
214,Matrix Design Group,8/1/2018
215,ZP Group,8/1/2018
216,Concannon Miller,7/31/2018
217,pavaso,7/31/2018
218,Automated Pet Care Products,7/31/2018
219,Moore Stephens Tiller LLC,7/30/2018
220,Welk Resort Group,7/30/2018
221,SVAM International,7/30/2018
222,Southern College of Optometry,7/30/2018
223,Stoneleigh Recovery Associates,7/30/2018
224,ConnectYourCare,7/30/2018
225,TradeMotion,7/30/2018
226,Yale 2008 2009,7/30/2018
227,Yale 2016 2018,7/30/2018
228,Dane Street,7/26/2018
229,Optoma Technology,7/25/2018
230,Councilor Buchanan & Mitchell,7/25/2018
231,Simma Flottemesch & Orensteinin,7/25/2018
232,Boys Town National Research Hospital,7/24/2018
233,Delta Global Services,7/24/2018
234,HSBC Bank (June 20),7/24/2018
235,iRemedy Healthcare Companies,7/24/2018
236,Kaplan Plavin & Steinhardt LLP,7/24/2018
237,HSBC Bank (June 25),7/24/2018
238,Fairbanks North Star Borough,7/23/2018
239,Rocky Mountain Health Care Services,7/23/2018
240,Helly Hansen A.S.,7/23/2018
241,Heacock Insurance Group,7/23/2018
242,CBIZ MHM,7/20/2018
243,ComplyRight,7/20/2018
244,Vacation Resorts,7/18/2018
245,VCU Health System,7/17/2018
246,Jenny Yoo Collection,7/17/2018
247,Jewish Federation of Cincinnati,7/17/2018
248,Sanford Heisler Sharp,7/17/2018
249,Howard University,7/17/2018
250,Alive Hospice,7/17/2018
251,Tommie Copper,7/17/2018
252,Pinnacle Trailer Sales,7/17/2018
253,City of Bozeman Montana,7/17/2018
254,STX LLC,7/17/2018
255,Village of Wellington,7/13/2018
256,The Fruitful Yield,7/12/2018
257,SA Stone (July),7/11/2018
258,International Mission Board,7/11/2018
259,Toyo Tire Holdings of America,7/10/2018
260,Coty,7/10/2018
261,The Information and Referral Federation of Los Angeles,7/10/2018
262,MSK Group,7/10/2018
263,Macys,7/10/2018
264,Terteling Company,7/10/2018
265,Naviaux Dubow & Harris,7/10/2018
266,SJ Gorowitz Accounting & Tax Services,7/10/2018
267,Vector Security,7/10/2018
268,Career & Technology Education,7/10/2018
269,Malcom and Baker CPAs,7/10/2018
270,Erie Family Life Insurance,7/10/2018
271,Virginia Community Capital,7/10/2018
272,ASRC Federal Holding,7/10/2018
273,Real Alloy Recycling,7/10/2018
274,Pastoral,7/6/2018
275,Hasbro Inc.,7/6/2018
276,Carilion Clinic,7/6/2018
277,SOS Intl,7/6/2018
278,RubinBrown,7/5/2018
279,Waller & Associates,7/5/2018
280,Game Plan Advisors / Wootton Financial Group,7/5/2018
281,TCI Holdings / Trust Company of Illinois / TC Wealth,7/5/2018
282,Equity National Title (The Huntington National Bank),7/2/2018
283,Northwest University,7/2/2018
284,Spinnaker Trust,7/2/2018
285,Foundation Building Materials,7/2/2018
286,SGS North America (Lockton Companies),7/2/2018
287,TRI Pointe Group,6/29/2018
288,Dollar Shave Club,6/29/2018
289,U.S. Cellular,6/29/2018
290,Tuskegee University,6/28/2018
291,Equity National Title (Digital Federal Credit Union),6/28/2018
292,BEL,6/27/2018
293,City of Williamsburg,6/27/2018
294,Thomas Chandler Thomas & Hinshaw,6/27/2018
295,Solera National Bank,6/27/2018
296,Central Christian College of Kansas,6/25/2018
297,Penn Mutual Life Insurance,6/25/2018
298,Notre Dame de Namur University,6/25/2018
299,Passport Inc.,6/25/2018
300,RevUp Group,6/25/2018
301,DiCicco Gulman & Company,6/25/2018
302,L'Occitane,6/25/2018
303,City of Goodyear,6/21/2018
304,Med Associates,6/21/2018
305,Utica Mutual Insurance,6/21/2018
306,America's Essential Hospitals,6/21/2018
307,Elmcroft Senior Living,6/21/2018
308,Population Connection,6/21/2018
309,Black River Medical Center,6/21/2018
310,Total Phase,6/21/2018
311,Manchester Capital Management,6/21/2018
312,GreatBanc Trust,6/21/2018
313,Weichert Co.,6/18/2018
314,Energy Management,6/18/2018
315,"Brown, Lisle/Cummings",6/18/2018
316,Guaranteed Rate (March),6/18/2018
317,Marion County Bank,6/18/2018
318,Intuit (June),6/18/2018
319,Ithaca College,6/18/2018
320,Old Second National Bank,6/18/2018
321,Willis Towers Watson,6/18/2018
322,Creative Bus Services,6/18/2018
323,Educational Employees' Supplementary Retire (Fairfax),6/18/2018
324,World Wildfire Fund,6/15/2018
325,AdvanSix,6/15/2018
326,POPdisplays,6/15/2018
327,Walgreen Co.,6/14/2018
328,plae.co,6/14/2018
329,HealthEquity,6/14/2018
330,CNU of Utah d/b/a CashNetUSA (June),6/14/2018
331,Securus Technologies,6/14/2018
332,Baldwin & Associates,6/12/2018
333,Aimbridge Hospitality Holdings,6/12/2018
334,Qualified Plans,6/12/2018
335,Aultman Hospital,6/12/2018
336,Benefit Outsourcing Solutions (Faurecia USA Holdings),6/12/2018
337,Lutz & Carr CPAs,6/12/2018
338,RISE Wisconsin,6/12/2018
339,Wilkins Reinicke & Co,6/12/2018
340,Bronco Federal Credit Union,6/11/2018
341,Quad-C Management,6/11/2018
342,Equivity,6/11/2018
343,First American Title Insurance,6/11/2018
344,Lehman-Roberts Company,6/8/2018
345,City of Portland,6/8/2018
346,Weil Akman Baylin & Coleman PA,6/8/2018
347,Red River Technology,6/8/2018
348,Systeme Software,6/8/2018
349,Kirby & Associates,6/8/2018
350,American National Insurance Company,6/7/2018
351,Advanced Technology Group,6/6/2018
352,Michael J Duranceau CPA,6/6/2018
353,SEIU Local 32BJ,6/6/2018
354,St Marys Health d/b/a St Vincent Evansville,6/6/2018
355,Stein Eriksen Lodge Hotel,6/6/2018
356,Temecula Motorsports,6/4/2018
357,Uno Alla Volta,6/4/2018
358,Roane County Government,6/4/2018
359,USI Insurance Services,6/4/2018
360,Target Direct Marketing,6/4/2018
361,Chattanooga Clothing Company,6/1/2018
362,Areion Global,6/1/2018
363,Ullico,6/1/2018
364,Cruise Lines International Association,5/31/2018
365,Abod & Caruso LLC,5/31/2018
366,Sheltering Arms,5/31/2018
367,Bell Partners,5/30/2018
368,Care Partners Hospice and Palliative,5/30/2018
369,Employee Benefits Corporation,5/30/2018
370,Stephen J Flood CPA,5/30/2018
371,Pendleton Square Trust Company,5/30/2018
372,Starr Companies,5/30/2018
373,Bellwether Enterprise Real Estate,5/30/2018
374,Jarrett & Luitjens,5/29/2018
375,RM Mechanical,5/29/2018
376,Luxury Retreats,5/25/2018
377,Principal Financial Group,5/24/2018
378,The Hartford,5/24/2018
379,National Railroad (Amtrak) Orbitz,5/24/2018
380,TaskRabbit,5/22/2018
381,Pinnacle Advisory Group,5/22/2018
382,University of Toledo,5/22/2018
383,The Coca Cola Company,5/22/2018
384,Conservest Capital Advisors,5/22/2018
385,Hudson's Bay Company (HBC) Saks,5/22/2018
386,Brinker International (Chilis Grill & Bar),5/22/2018
387,American Telecommunications,5/22/2018
388,ZRS Management,5/22/2018
389,Corporation Service Company (CSC),5/22/2018
390,Bombas LLC,5/21/2018
391,Cactus Wellhead,5/21/2018
392,Cable Hill Partners,5/21/2018
393,Intuit (May),5/18/2018
394,The Arc Northern Chesapeake Region,5/16/2018
395,Seterus,5/16/2018
396,Varanko & Black CPA,5/15/2018
397,Taco John's of Iowa,5/15/2018
398,Haynes Furniture,5/15/2018
399,Verint Systems,5/15/2018
400,Global University,5/15/2018
401,SP Industries (Julian Sur),5/15/2018
402,Paramount Health Resources,5/15/2018
403,Cambridge Dental Consulting,5/14/2018
404,Sears Holdings (Kmart),5/14/2018
405,FINEC Corporation,5/14/2018
406,Virginia Department of Motor Vehicles,5/11/2018
